Time,HR
00:00:00,60
00:00:10,71
00:00:20,70
00:00:30,69
00:00:40,71
00:00:50,68
00:01:00,74
00:01:10,86
00:01:20,86
00:01:30,86
00:01:40,79
00:01:50,79
00:02:00,77
00:02:10,87
00:02:20,86
00:02:30,83
00:02:40,80
00:02:50,93
00:03:00,86
00:03:10,75
00:03:20,68
00:03:30,69
00:03:40,73
00:03:50,78
00:04:00,80
00:04:10,74
00:04:20,77
00:04:30,81
00:04:40,86
00:04:50,85
00:05:00,86
00:05:10,88
00:05:20,81
00:05:30,95
00:05:40,85
00:05:50,80
00:06:00,93
00:06:10,94
00:06:20,91
00:06:30,94
00:06:40,106
00:06:50,104
00:07:00,102
00:07:10,103
00:07:20,103
00:07:30,103
00:07:40,103
00:07:50,103
00:08:00,103
00:08:10,103
00:08:20,103
00:08:30,103
00:08:40,103
00:08:50,103
00:09:00,103
00:09:10,103
00:09:20,103
00:09:30,103
00:09:40,103
00:09:50,103
00:10:00,103
00:10:10,103
00:10:20,103
00:10:30,103
00:10:40,103
00:10:50,103
00:11:00,103
00:11:10,103
00:11:20,103
00:11:30,103
00:11:40,103
00:11:50,103
00:12:00,103
00:12:10,103
00:12:20,102
00:12:30,87
00:12:40,89
00:12:50,92
00:13:00,94
00:13:10,98
00:13:20,101
00:13:30,105
00:13:40,109
00:13:50,114
00:14:00,120
00:14:10,127
00:14:20,135
00:14:30,145
00:14:40,152
00:14:50,156
00:15:00,169
00:15:10,171
00:15:20,172
00:15:30,173
00:15:40,170
00:15:50,169
00:16:00,170
00:16:10,171
00:16:20,173
00:16:30,171
00:16:40,171
00:16:50,171
00:17:00,171
00:17:10,171
00:17:20,171
00:17:30,173
00:17:40,175
00:17:50,173
00:18:00,175
00:18:10,173
00:18:20,172
00:18:30,176
00:18:40,175
00:18:50,168
00:19:00,173
00:19:10,170
00:19:20,165
00:19:30,172
00:19:40,173
00:19:50,172
00:20:00,169
00:20:10,169
00:20:20,169
00:20:30,171
00:20:40,168
00:20:50,168
00:21:00,170
00:21:10,172
00:21:20,172
00:21:30,171
00:21:40,170
00:21:50,170
00:22:00,170
00:22:10,172
00:22:20,173
00:22:30,177
00:22:40,173
00:22:50,173
00:23:00,172
00:23:10,172
00:23:20,172
00:23:30,173
00:23:40,173
00:23:50,173
00:24:00,173
00:24:10,170
00:24:20,169
00:24:30,168
00:24:40,168
00:24:50,167
00:25:00,169
00:25:10,172
00:25:20,173
00:25:30,174
00:25:40,171
00:25:50,168
00:26:00,172
00:26:10,173
00:26:20,171
00:26:30,176
00:26:40,175
00:26:50,174
00:27:00,173
00:27:10,171
00:27:20,174
00:27:30,175
00:27:40,171
00:27:50,172
00:28:00,173
00:28:10,167
00:28:20,172
00:28:30,172
00:28:40,171
00:28:50,166
00:29:00,166
00:29:10,169
