Time,HR
00:00:00,63
00:00:01,64
00:00:02,64
00:00:03,64
00:00:04,64
00:00:05,65
00:00:06,66
00:00:07,68
00:00:08,69
00:00:09,71
00:00:10,73
00:00:11,75
00:00:12,76
00:00:13,79
00:00:14,80
00:00:15,82
00:00:16,83
00:00:17,85
00:00:18,86
00:00:19,88
00:00:20,89
00:00:21,90
00:00:22,91
00:00:23,91
00:00:24,92
00:00:25,93
00:00:26,93
00:00:27,94
00:00:28,94
00:00:29,95
00:00:30,96
00:00:31,96
00:00:32,97
00:00:33,98
00:00:34,98
00:00:35,99
00:00:36,100
00:00:37,100
00:00:38,101
00:00:39,102
00:00:40,103
00:00:41,104
00:00:42,105
00:00:43,106
00:00:44,107
00:00:45,107
00:00:46,108
00:00:47,108
00:00:48,109
00:00:49,109
00:00:50,109
00:00:51,110
00:00:52,110
00:00:53,110
00:00:54,109
00:00:55,109
00:00:56,109
00:00:57,108
00:00:58,108
00:00:59,108
00:01:00,107
00:01:01,107
00:01:02,107
00:01:03,106
00:01:04,106
00:01:05,106
00:01:06,106
00:01:07,106
00:01:08,106
00:01:09,106
00:01:10,106
00:01:11,106
00:01:12,106
00:01:13,106
00:01:14,106
00:01:15,106
00:01:16,106
00:01:17,107
00:01:18,107
00:01:19,108
00:01:20,108
00:01:21,109
00:01:22,109
00:01:23,110
00:01:24,111
00:01:25,111
00:01:26,112
00:01:27,113
00:01:28,114
00:01:29,114
00:01:30,114
00:01:31,115
00:01:32,115
00:01:33,115
00:01:34,115
00:01:35,115
00:01:36,115
00:01:37,115
00:01:38,115
00:01:39,115
00:01:40,115
00:01:41,115
00:01:42,115
00:01:43,115
00:01:44,115
00:01:45,116
00:01:46,116
00:01:47,116
00:01:48,117
00:01:49,117
00:01:50,117
00:01:51,117
00:01:52,118
00:01:53,118
00:01:54,118
00:01:55,119
00:01:56,119
00:01:57,119
00:01:58,120
00:01:59,120
00:02:00,120
00:02:01,121
00:02:02,121
00:02:03,121
00:02:04,121
00:02:05,122
00:02:06,122
00:02:07,122
00:02:08,123
00:02:09,123
00:02:10,123
00:02:11,123
00:02:12,123
00:02:13,123
00:02:14,123
00:02:15,124
00:02:16,124
00:02:17,124
00:02:18,124
00:02:19,124
00:02:20,124
00:02:21,124
00:02:22,124
00:02:23,124
00:02:24,124
00:02:25,124
00:02:26,124
00:02:27,123
00:02:28,123
00:02:29,123
00:02:30,123
00:02:31,123
00:02:32,123
00:02:33,123
00:02:34,122
00:02:35,122
00:02:36,121
00:02:37,121
00:02:38,120
00:02:39,120
00:02:40,119
00:02:41,118
00:02:42,118
00:02:43,117
00:02:44,117
00:02:45,116
00:02:46,116
00:02:47,116
00:02:48,116
00:02:49,116
00:02:50,116
00:02:51,117
00:02:52,117
00:02:53,117
00:02:54,117
00:02:55,118
00:02:56,118
00:02:57,118
00:02:58,119
00:02:59,118
00:03:00,119
00:03:01,119
00:03:02,119
00:03:03,119
00:03:04,119
00:03:05,118
00:03:06,118
00:03:07,118
00:03:08,118
00:03:09,118
00:03:10,118
00:03:11,118
00:03:12,118
00:03:13,117
00:03:14,118
00:03:15,118
00:03:16,118
00:03:17,118
00:03:18,118
00:03:19,118
00:03:20,118
00:03:21,117
00:03:22,117
00:03:23,117
00:03:24,117
00:03:25,116
00:03:26,116
00:03:27,116
00:03:28,116
00:03:29,116
00:03:30,116
00:03:31,116
00:03:32,116
00:03:33,115
00:03:34,115
00:03:35,115
00:03:36,115
00:03:37,115
00:03:38,115
00:03:39,115
00:03:40,115
00:03:41,115
00:03:42,115
00:03:43,115
00:03:44,115
00:03:45,115
00:03:46,115
00:03:47,115
00:03:48,115
00:03:49,115
00:03:50,115
00:03:51,115
00:03:52,115
00:03:53,115
00:03:54,115
00:03:55,115
00:03:56,115
00:03:57,115
00:03:58,115
00:03:59,115
00:04:00,114
00:04:01,114
00:04:02,114
00:04:03,114
00:04:04,114
00:04:05,114
00:04:06,113
00:04:07,113
00:04:08,113
00:04:09,113
00:04:10,113
00:04:11,113
00:04:12,113
00:04:13,113
00:04:14,113
00:04:15,113
00:04:16,113
00:04:17,113
00:04:18,113
00:04:19,113
00:04:20,113
00:04:21,113
00:04:22,113
00:04:23,113
00:04:24,113
00:04:25,113
00:04:26,114
00:04:27,114
00:04:28,114
00:04:29,114
00:04:30,114
00:04:31,114
00:04:32,114
00:04:33,114
00:04:34,114
00:04:35,114
00:04:36,114
00:04:37,114
00:04:38,114
00:04:39,114
00:04:40,114
00:04:41,115
00:04:42,114
00:04:43,114
00:04:44,115
00:04:45,115
00:04:46,115
00:04:47,115
00:04:48,115
00:04:49,115
00:04:50,115
00:04:51,115
