Time,HR
2015-02-05T17:52:42Z,84
2015-02-05T17:52:46Z,85
2015-02-05T17:52:47Z,97
2015-02-05T17:52:48Z,97
2015-02-05T17:52:51Z,97
2015-02-05T17:52:52Z,107
2015-02-05T17:52:53Z,119
2015-02-05T17:52:54Z,130
2015-02-05T17:52:55Z,130
2015-02-05T17:52:57Z,130
2015-02-05T17:53:00Z,130
2015-02-05T17:53:01Z,130
2015-02-05T17:53:03Z,134
2015-02-05T17:53:04Z,134
2015-02-05T17:53:05Z,134
2015-02-05T17:53:09Z,134
2015-02-05T17:53:13Z,132
2015-02-05T17:53:18Z,130
2015-02-05T17:53:21Z,127
2015-02-05T17:53:24Z,125
2015-02-05T17:53:28Z,126
2015-02-05T17:53:33Z,127
2015-02-05T17:53:34Z,127
2015-02-05T17:53:36Z,130
2015-02-05T17:53:38Z,130
2015-02-05T17:53:39Z,130
2015-02-05T17:53:41Z,130
2015-02-05T17:53:43Z,132
2015-02-05T17:53:44Z,135
2015-02-05T17:53:45Z,138
2015-02-05T17:53:46Z,139
2015-02-05T17:53:50Z,141
2015-02-05T17:53:55Z,141
2015-02-05T17:54:00Z,139
2015-02-05T17:54:05Z,137
2015-02-05T17:54:10Z,135
2015-02-05T17:54:16Z,136
2015-02-05T17:54:20Z,137
2015-02-05T17:54:24Z,137
2015-02-05T17:54:26Z,139
2015-02-05T17:54:29Z,143
2015-02-05T17:54:30Z,143
2015-02-05T17:54:32Z,146
2015-02-05T17:54:34Z,146
2015-02-05T17:54:38Z,146
2015-02-05T17:54:42Z,144
2015-02-05T17:54:47Z,141
2015-02-05T17:54:51Z,138
2015-02-05T17:54:52Z,138
2015-02-05T17:54:53Z,138
2015-02-05T17:54:57Z,138
2015-02-05T17:55:02Z,138
2015-02-05T17:55:04Z,139
2015-02-05T17:55:07Z,139
2015-02-05T17:55:09Z,139
2015-02-05T17:55:11Z,141
2015-02-05T17:55:12Z,145
2015-02-05T17:55:13Z,145
2015-02-05T17:55:17Z,145
2015-02-05T17:55:21Z,145
2015-02-05T17:55:25Z,143
2015-02-05T17:55:26Z,142
2015-02-05T17:55:29Z,141
2015-02-05T17:55:34Z,138
2015-02-05T17:55:37Z,136
2015-02-05T17:55:38Z,136
2015-02-05T17:55:42Z,136
2015-02-05T17:55:43Z,136
2015-02-05T17:55:46Z,137
2015-02-05T17:55:50Z,138
2015-02-05T17:55:54Z,140
2015-02-05T17:55:55Z,141
2015-02-05T17:55:58Z,143
2015-02-05T17:55:59Z,143
2015-02-05T17:56:02Z,146
2015-02-05T17:56:03Z,146
2015-02-05T17:56:07Z,146
2015-02-05T17:56:09Z,146
2015-02-05T17:56:10Z,145
2015-02-05T17:56:13Z,144
2015-02-05T17:56:17Z,142
2015-02-05T17:56:21Z,140
2015-02-05T17:56:24Z,137
2015-02-05T17:56:26Z,135
2015-02-05T17:56:30Z,135
2015-02-05T17:56:35Z,137
2015-02-05T17:56:36Z,138
2015-02-05T17:56:40Z,138
2015-02-05T17:56:41Z,139
2015-02-05T17:56:44Z,146
2015-02-05T17:56:45Z,146
2015-02-05T17:56:46Z,146
2015-02-05T17:56:48Z,146
