Time,HR
00:00:00,66
00:00:01,66
00:00:02,66
00:00:03,66
00:00:04,66
00:00:05,66
00:00:06,71
00:00:07,77
00:00:08,84
00:00:09,89
00:00:10,91
00:00:11,96
00:00:12,99
00:00:13,103
00:00:14,106
00:00:15,108
00:00:16,111
00:00:17,113
00:00:18,115
00:00:19,116
00:00:20,118
00:00:21,119
00:00:22,121
00:00:23,122
00:00:24,124
00:00:25,126
00:00:26,127
00:00:27,128
00:00:28,129
00:00:29,130
00:00:30,131
00:00:31,132
00:00:32,133
00:00:33,133
00:00:34,134
00:00:35,134
00:00:36,134
00:00:37,134
00:00:38,135
00:00:39,135
00:00:40,135
00:00:41,135
00:00:42,135
00:00:43,135
00:00:44,134
00:00:45,134
00:00:46,134
00:00:47,133
00:00:48,132
00:00:49,132
00:00:50,131
00:00:51,131
00:00:52,131
00:00:53,131
00:00:54,131
00:00:55,132
00:00:56,133
00:00:57,133
00:00:58,134
00:00:59,134
00:01:00,134
00:01:01,136
00:01:02,136
00:01:03,137
00:01:04,138
00:01:05,138
00:01:06,138
00:01:07,139
00:01:08,140
00:01:09,140
00:01:10,141
00:01:11,141
00:01:12,142
00:01:13,143
00:01:14,143
00:01:15,144
00:01:16,144
00:01:17,144
00:01:18,145
00:01:19,145
00:01:20,145
00:01:21,145
00:01:22,145
00:01:23,145
00:01:24,145
00:01:25,145
00:01:26,145
00:01:27,145
00:01:28,145
00:01:29,145
00:01:30,145
00:01:31,145
00:01:32,145
00:01:33,145
00:01:34,145
00:01:35,145
00:01:36,145
00:01:37,146
00:01:38,146
00:01:39,146
00:01:40,146
00:01:41,146
00:01:42,146
00:01:43,147
00:01:44,147
00:01:45,147
00:01:46,147
00:01:47,148
00:01:48,148
00:01:49,148
00:01:50,148
00:01:51,148
00:01:52,147
00:01:53,146
00:01:54,146
00:01:55,145
00:01:56,146
00:01:57,146
00:01:58,146
00:01:59,146
00:02:00,146
00:02:01,147
00:02:02,146
00:02:03,147
00:02:04,147
00:02:05,147
00:02:06,148
00:02:07,148
00:02:08,147
00:02:09,148
00:02:10,148
00:02:11,148
00:02:12,148
00:02:13,148
00:02:14,148
00:02:15,148
00:02:16,148
00:02:17,147
00:02:18,147
00:02:19,147
00:02:20,147
00:02:21,146
00:02:22,146
00:02:23,145
00:02:24,145
00:02:25,144
00:02:26,143
00:02:27,143
00:02:28,142
00:02:29,141
00:02:30,141
00:02:31,140
00:02:32,139
00:02:33,138
00:02:34,137
00:02:35,137
00:02:36,136
00:02:37,136
00:02:38,136
00:02:39,136
00:02:40,135
00:02:41,135
00:02:42,133
00:02:43,132
00:02:44,131
00:02:45,129
00:02:46,128
00:02:47,127
00:02:48,126
00:02:49,127
00:02:50,127
00:02:51,128
00:02:52,128
00:02:53,128
00:02:54,128
00:02:55,128
00:02:56,127
00:02:57,127
00:02:58,127
00:02:59,127
00:03:00,128
00:03:01,128
00:03:02,129
00:03:03,129
00:03:04,128
00:03:05,128
00:03:06,127
00:03:07,126
00:03:08,126
00:03:09,124
00:03:10,123
00:03:11,122
00:03:12,122
00:03:13,121
00:03:14,120
00:03:15,118
00:03:16,116
00:03:17,116
00:03:18,114
00:03:19,112
00:03:20,111
00:03:21,111
00:03:22,111
00:03:23,112
00:03:24,114
00:03:25,115
00:03:26,117
00:03:27,117
00:03:28,118
00:03:29,119
00:03:30,120
00:03:31,120
00:03:32,121
00:03:33,121
00:03:34,122
00:03:35,122
00:03:36,123
00:03:37,123
00:03:38,123
00:03:39,123
00:03:40,123
00:03:41,123
00:03:42,123
00:03:43,123
00:03:44,123
00:03:45,123
00:03:46,122
00:03:47,122
00:03:48,122
00:03:49,122
00:03:50,123
00:03:51,123
00:03:52,124
00:03:53,124
00:03:54,124
00:03:55,124
00:03:56,124
00:03:57,124
00:03:58,124
00:03:59,123
00:04:00,123
00:04:01,123
00:04:02,123
00:04:03,123
00:04:04,123
00:04:05,123
00:04:06,123
00:04:07,122
00:04:08,122
00:04:09,122
00:04:10,122
00:04:11,121
00:04:12,120
00:04:13,119
00:04:14,118
00:04:15,117
00:04:16,117
00:04:17,116
00:04:18,115
00:04:19,114
00:04:20,112
00:04:21,109
00:04:22,109
00:04:23,110
00:04:24,112
00:04:25,115
00:04:26,117
00:04:27,119
00:04:28,121
00:04:29,123
00:04:30,124
00:04:31,125
00:04:32,126
00:04:33,127
00:04:34,127
00:04:35,128
00:04:36,128
00:04:37,129
00:04:38,129
00:04:39,129
00:04:40,129
00:04:41,129
00:04:42,129
00:04:43,128
00:04:44,128
00:04:45,128
00:04:46,129
00:04:47,128
00:04:48,128
00:04:49,128
00:04:50,128
00:04:51,128
00:04:52,127
00:04:53,127
00:04:54,127
00:04:55,127
00:04:56,126
00:04:57,126
00:04:58,126
00:04:59,126
00:05:00,127
00:05:01,127
00:05:02,128
00:05:03,129
00:05:04,129
00:05:05,130
00:05:06,130
00:05:07,130
00:05:08,130
00:05:09,129
00:05:10,129
00:05:11,130
00:05:12,130
00:05:13,130
00:05:14,131
00:05:15,131
00:05:16,131
00:05:17,131
00:05:18,131
00:05:19,131
00:05:20,132
00:05:21,132
00:05:22,133
00:05:23,134
00:05:24,134
00:05:25,135
00:05:26,135
00:05:27,136
00:05:28,136
00:05:29,137
00:05:30,137
00:05:31,138
00:05:32,138
00:05:33,138
00:05:34,139
00:05:35,139
00:05:36,139
00:05:37,139
00:05:38,140
00:05:39,140
00:05:40,141
00:05:41,141
00:05:42,142
00:05:43,142
00:05:44,142
00:05:45,143
00:05:46,143
00:05:47,143
00:05:48,144
00:05:49,144
00:05:50,144
00:05:51,144
00:05:52,144
00:05:53,144
00:05:54,144
00:05:55,144
00:05:56,144
00:05:57,144
00:05:58,144
00:05:59,144
00:06:00,144
00:06:01,145
00:06:02,145
00:06:03,145
00:06:04,145
00:06:05,145
00:06:06,144
00:06:07,144
00:06:08,144
00:06:09,144
00:06:10,144
00:06:11,143
00:06:12,142
00:06:13,142
00:06:14,141
00:06:15,141
00:06:16,140
00:06:17,140
00:06:18,139
00:06:19,139
00:06:20,139
00:06:21,138
00:06:22,138
00:06:23,138
00:06:24,138
00:06:25,137
00:06:26,137
00:06:27,137
00:06:28,137
00:06:29,136
00:06:30,137
00:06:31,137
00:06:32,137
00:06:33,136
00:06:34,136
00:06:35,137
00:06:36,137
00:06:37,137
00:06:38,137
00:06:39,137
00:06:40,137
00:06:41,137
00:06:42,137
00:06:43,136
00:06:44,135
00:06:45,135
00:06:46,135
00:06:47,134
00:06:48,134
00:06:49,133
00:06:50,134
00:06:51,133
00:06:52,133
00:06:53,133
00:06:54,132
00:06:55,131
00:06:56,131
00:06:57,130
00:06:58,130
00:06:59,130
00:07:00,130
00:07:01,130
00:07:02,130
00:07:03,130
00:07:04,129
00:07:05,129
00:07:06,128
00:07:07,128
00:07:08,127
00:07:09,126
00:07:10,126
00:07:11,125
00:07:12,126
00:07:13,126
00:07:14,127
00:07:15,127
00:07:16,127
00:07:17,127
00:07:18,127
00:07:19,126
00:07:20,126
00:07:21,126
00:07:22,127
00:07:23,127
00:07:24,127
00:07:25,127
00:07:26,127
00:07:27,127
00:07:28,127
00:07:29,127
00:07:30,127
00:07:31,127
00:07:32,128
00:07:33,128
00:07:34,129
00:07:35,129
00:07:36,130
00:07:37,131
00:07:38,131
00:07:39,132
00:07:40,132
00:07:41,132
00:07:42,132
00:07:43,132
00:07:44,133
00:07:45,133
00:07:46,134
00:07:47,134
00:07:48,135
00:07:49,136
00:07:50,136
00:07:51,136
00:07:52,137
00:07:53,137
00:07:54,138
00:07:55,138
00:07:56,138
00:07:57,138
00:07:58,138
00:07:59,139
00:08:00,139
00:08:01,140
00:08:02,140
00:08:03,141
00:08:04,141
00:08:05,141
00:08:06,141
00:08:07,141
00:08:08,141
00:08:09,142
00:08:10,142
00:08:11,142
00:08:12,142
00:08:13,142
00:08:14,143
00:08:15,143
00:08:16,143
00:08:17,143
00:08:18,143
00:08:19,143
00:08:20,143
00:08:21,144
00:08:22,144
00:08:23,145
00:08:24,146
00:08:25,146
00:08:26,146
00:08:27,147
00:08:28,147
00:08:29,148
00:08:30,148
00:08:31,149
00:08:32,149
00:08:33,149
00:08:34,150
00:08:35,150
00:08:36,150
00:08:37,150
00:08:38,150
00:08:39,150
00:08:40,150
00:08:41,150
00:08:42,150
00:08:43,150
00:08:44,150
00:08:45,149
00:08:46,149
00:08:47,148
00:08:48,148
00:08:49,148
00:08:50,147
00:08:51,147
00:08:52,147
00:08:53,147
00:08:54,147
00:08:55,147
00:08:56,147
00:08:57,147
00:08:58,147
00:08:59,147
00:09:00,147
00:09:01,147
00:09:02,147
00:09:03,147
00:09:04,147
00:09:05,147
00:09:06,146
00:09:07,147
00:09:08,147
00:09:09,147
00:09:10,147
00:09:11,147
00:09:12,147
00:09:13,147
00:09:14,146
00:09:15,146
00:09:16,146
00:09:17,146
00:09:18,146
00:09:19,146
00:09:20,146
00:09:21,147
00:09:22,147
00:09:23,147
00:09:24,148
00:09:25,148
00:09:26,148
00:09:27,148
00:09:28,148
00:09:29,148
00:09:30,147
00:09:31,148
00:09:32,147
00:09:33,147
00:09:34,146
00:09:35,146
00:09:36,146
00:09:37,146
00:09:38,146
00:09:39,147
00:09:40,147
00:09:41,147
00:09:42,147
00:09:43,148
00:09:44,148
00:09:45,148
00:09:46,148
00:09:47,148
00:09:48,148
00:09:49,148
00:09:50,147
00:09:51,148
00:09:52,148
00:09:53,148
00:09:54,147
00:09:55,147
00:09:56,147
00:09:57,147
00:09:58,147
00:09:59,148
00:10:00,148
00:10:01,148
00:10:02,148
00:10:03,149
00:10:04,148
00:10:05,149
00:10:06,149
00:10:07,150
00:10:08,149
00:10:09,150
00:10:10,150
00:10:11,150
00:10:12,151
00:10:13,151
00:10:14,151
00:10:15,151
00:10:16,151
00:10:17,150
00:10:18,149
00:10:19,149
00:10:20,148
00:10:21,148
00:10:22,148
00:10:23,148
00:10:24,149
00:10:25,149
00:10:26,149
00:10:27,150
00:10:28,150
00:10:29,150
00:10:30,150
00:10:31,150
00:10:32,150
00:10:33,150
00:10:34,150
00:10:35,150
00:10:36,150
00:10:37,150
00:10:38,149
00:10:39,149
00:10:40,149
00:10:41,149
00:10:42,149
00:10:43,149
00:10:44,149
00:10:45,150
00:10:46,149
00:10:47,149
00:10:48,149
00:10:49,150
00:10:50,150
00:10:51,150
00:10:52,150
00:10:53,150
00:10:54,150
00:10:55,151
00:10:56,151
00:10:57,151
00:10:58,151
00:10:59,151
00:11:00,150
00:11:01,150
00:11:02,150
00:11:03,150
00:11:04,150
00:11:05,150
00:11:06,150
00:11:07,150
00:11:08,150
00:11:09,151
00:11:10,151
00:11:11,151
00:11:12,151
00:11:13,151
00:11:14,150
00:11:15,151
00:11:16,150
00:11:17,150
00:11:18,149
00:11:19,149
00:11:20,149
00:11:21,149
00:11:22,148
