Time,HR
2015-04-03T06:38:50.000Z,72
2015-04-03T06:38:51.000Z,72
2015-04-03T06:38:56.000Z,85
2015-04-03T06:38:57.000Z,85
2015-04-03T06:39:01.000Z,95
2015-04-03T06:39:02.000Z,100
2015-04-03T06:39:04.000Z,115
2015-04-03T06:39:05.000Z,123
2015-04-03T06:39:06.000Z,129
2015-04-03T06:39:09.000Z,137
2015-04-03T06:39:10.000Z,137
2015-04-03T06:39:17.000Z,139
2015-04-03T06:39:19.000Z,144
2015-04-03T06:39:20.000Z,149
2015-04-03T06:39:21.000Z,149
2015-04-03T06:39:27.000Z,156
2015-04-03T06:39:33.000Z,157
2015-04-03T06:39:38.000Z,159
2015-04-03T06:39:45.000Z,159
2015-04-03T06:39:52.000Z,159
2015-04-03T06:39:58.000Z,159
2015-04-03T06:40:04.000Z,157
2015-04-03T06:40:10.000Z,156
2015-04-03T06:40:16.000Z,156
2015-04-03T06:40:22.000Z,156
2015-04-03T06:40:28.000Z,153
2015-04-03T06:40:35.000Z,146
2015-04-03T06:40:39.000Z,141
2015-04-03T06:40:44.000Z,134
2015-04-03T06:40:46.000Z,131
2015-04-03T06:40:51.000Z,127
2015-04-03T06:40:57.000Z,126
2015-04-03T06:41:02.000Z,124
2015-04-03T06:41:06.000Z,124
2015-04-03T06:41:07.000Z,123
2015-04-03T06:41:11.000Z,126
2015-04-03T06:41:17.000Z,126
2015-04-03T06:41:23.000Z,123
2015-04-03T06:41:31.000Z,121
2015-04-03T06:41:37.000Z,121
2015-04-03T06:41:43.000Z,121
2015-04-03T06:41:49.000Z,122
2015-04-03T06:41:55.000Z,123
2015-04-03T06:42:03.000Z,124
2015-04-03T06:42:09.000Z,124
2015-04-03T06:42:16.000Z,124
2015-04-03T06:42:21.000Z,124
2015-04-03T06:42:28.000Z,123
2015-04-03T06:42:34.000Z,124
2015-04-03T06:42:39.000Z,123
2015-04-03T06:42:44.000Z,123
2015-04-03T06:42:50.000Z,119
2015-04-03T06:42:55.000Z,121
2015-04-03T06:43:01.000Z,124
2015-04-03T06:43:07.000Z,124
2015-04-03T06:43:12.000Z,124
2015-04-03T06:43:18.000Z,123
2015-04-03T06:43:24.000Z,123
2015-04-03T06:43:30.000Z,124
2015-04-03T06:43:36.000Z,123
2015-04-03T06:43:42.000Z,123
2015-04-03T06:43:47.000Z,124
2015-04-03T06:43:53.000Z,125
2015-04-03T06:43:58.000Z,125
2015-04-03T06:44:04.000Z,126
2015-04-03T06:44:09.000Z,126
2015-04-03T06:44:13.000Z,125
2015-04-03T06:44:19.000Z,125
2015-04-03T06:44:24.000Z,124
2015-04-03T06:44:29.000Z,123
2015-04-03T06:44:34.000Z,124
2015-04-03T06:44:39.000Z,124
2015-04-03T06:44:43.000Z,124
2015-04-03T06:44:49.000Z,124
2015-04-03T06:44:51.000Z,125
2015-04-03T06:44:57.000Z,125
2015-04-03T06:45:02.000Z,126
2015-04-03T06:45:08.000Z,126
2015-04-03T06:45:12.000Z,126
2015-04-03T06:45:19.000Z,126
2015-04-03T06:45:24.000Z,126
2015-04-03T06:45:29.000Z,128
2015-04-03T06:45:34.000Z,128
2015-04-03T06:45:40.000Z,127
2015-04-03T06:45:47.000Z,126
2015-04-03T06:45:54.000Z,125
2015-04-03T06:46:01.000Z,125
2015-04-03T06:46:07.000Z,125
2015-04-03T06:46:12.000Z,125
2015-04-03T06:46:18.000Z,125
2015-04-03T06:46:23.000Z,126
2015-04-03T06:46:28.000Z,125
2015-04-03T06:46:32.000Z,125
2015-04-03T06:46:37.000Z,125
2015-04-03T06:46:43.000Z,125
2015-04-03T06:46:49.000Z,125
2015-04-03T06:46:55.000Z,126
2015-04-03T06:47:01.000Z,126
2015-04-03T06:47:07.000Z,125
2015-04-03T06:47:12.000Z,125
2015-04-03T06:47:19.000Z,124
2015-04-03T06:47:25.000Z,124
2015-04-03T06:47:30.000Z,124
2015-04-03T06:47:36.000Z,124
2015-04-03T06:47:42.000Z,125
2015-04-03T06:47:47.000Z,126
2015-04-03T06:47:54.000Z,125
2015-04-03T06:48:00.000Z,125
2015-04-03T06:48:05.000Z,124
2015-04-03T06:48:12.000Z,125
2015-04-03T06:48:18.000Z,125
2015-04-03T06:48:24.000Z,125
2015-04-03T06:48:31.000Z,127
2015-04-03T06:48:36.000Z,127
2015-04-03T06:48:42.000Z,127
2015-04-03T06:48:48.000Z,127
2015-04-03T06:48:55.000Z,127
2015-04-03T06:49:00.000Z,127
2015-04-03T06:49:07.000Z,127
2015-04-03T06:49:08.000Z,127
2015-04-03T06:49:15.000Z,126
2015-04-03T06:49:20.000Z,125
2015-04-03T06:49:26.000Z,125
2015-04-03T06:49:31.000Z,125
2015-04-03T06:49:35.000Z,126
2015-04-03T06:49:39.000Z,128
2015-04-03T06:49:40.000Z,
2015-04-03T06:50:30.000Z,
2015-04-03T06:50:31.000Z,96
2015-04-03T06:50:32.000Z,96
2015-04-03T06:50:33.000Z,94
2015-04-03T06:50:36.000Z,93
2015-04-03T06:50:41.000Z,98
2015-04-03T06:50:44.000Z,104
2015-04-03T06:50:45.000Z,110
2015-04-03T06:50:50.000Z,112
2015-04-03T06:50:54.000Z,114
2015-04-03T06:50:57.000Z,116
2015-04-03T06:51:02.000Z,119
2015-04-03T06:51:03.000Z,120
2015-04-03T06:51:10.000Z,126
2015-04-03T06:51:14.000Z,127
2015-04-03T06:51:18.000Z,129
2015-04-03T06:51:23.000Z,132
2015-04-03T06:51:28.000Z,136
2015-04-03T06:51:33.000Z,137
2015-04-03T06:51:37.000Z,138
2015-04-03T06:51:42.000Z,140
2015-04-03T06:51:46.000Z,140
2015-04-03T06:51:51.000Z,140
2015-04-03T06:51:55.000Z,140
2015-04-03T06:51:59.000Z,141
2015-04-03T06:52:05.000Z,142
2015-04-03T06:52:09.000Z,142
2015-04-03T06:52:15.000Z,142
2015-04-03T06:52:19.000Z,142
2015-04-03T06:52:26.000Z,143
2015-04-03T06:52:31.000Z,142
2015-04-03T06:52:35.000Z,142
2015-04-03T06:52:40.000Z,141
2015-04-03T06:52:44.000Z,141
2015-04-03T06:52:50.000Z,142
2015-04-03T06:52:55.000Z,142
2015-04-03T06:53:00.000Z,144
2015-04-03T06:53:04.000Z,144
2015-04-03T06:53:08.000Z,144
2015-04-03T06:53:13.000Z,145
2015-04-03T06:53:17.000Z,145
2015-04-03T06:53:22.000Z,146
2015-04-03T06:53:27.000Z,147
2015-04-03T06:53:32.000Z,148
2015-04-03T06:53:35.000Z,
2015-04-03T06:54:12.000Z,
2015-04-03T06:54:13.000Z,120
2015-04-03T06:54:16.000Z,114
2015-04-03T06:54:20.000Z,117
2015-04-03T06:54:24.000Z,120
2015-04-03T06:54:30.000Z,124
2015-04-03T06:54:35.000Z,127
2015-04-03T06:54:39.000Z,129
2015-04-03T06:54:44.000Z,133
2015-04-03T06:54:49.000Z,135
2015-04-03T06:54:56.000Z,138
2015-04-03T06:55:01.000Z,140
2015-04-03T06:55:05.000Z,141
2015-04-03T06:55:10.000Z,143
2015-04-03T06:55:16.000Z,144
2015-04-03T06:55:21.000Z,146
2015-04-03T06:55:25.000Z,147
