Time,HR
2015-03-26T17:47:13.000Z,86
2015-03-26T17:47:15.000Z,89
2015-03-26T17:47:17.000Z,93
2015-03-26T17:47:18.000Z,95
2015-03-26T17:47:20.000Z,99
2015-03-26T17:47:23.000Z,102
2015-03-26T17:47:25.000Z,104
2015-03-26T17:47:28.000Z,107
2015-03-26T17:47:29.000Z,107
2015-03-26T17:47:33.000Z,109
2015-03-26T17:47:35.000Z,111
2015-03-26T17:47:36.000Z,112
2015-03-26T17:47:40.000Z,115
2015-03-26T17:47:41.000Z,115
2015-03-26T17:47:42.000Z,116
2015-03-26T17:47:46.000Z,118
2015-03-26T17:47:47.000Z,119
2015-03-26T17:47:52.000Z,120
2015-03-26T17:47:55.000Z,119
2015-03-26T17:47:58.000Z,119
2015-03-26T17:48:04.000Z,120
2015-03-26T17:48:05.000Z,120
2015-03-26T17:48:11.000Z,121
2015-03-26T17:48:16.000Z,122
2015-03-26T17:48:17.000Z,122
2015-03-26T17:48:18.000Z,123
2015-03-26T17:48:21.000Z,123
2015-03-26T17:48:26.000Z,125
2015-03-26T17:48:30.000Z,125
2015-03-26T17:48:31.000Z,125
2015-03-26T17:48:36.000Z,126
2015-03-26T17:48:39.000Z,126
2015-03-26T17:48:40.000Z,127
2015-03-26T17:48:45.000Z,128
2015-03-26T17:48:49.000Z,128
2015-03-26T17:48:52.000Z,128
2015-03-26T17:48:53.000Z,129
2015-03-26T17:48:57.000Z,131
2015-03-26T17:49:02.000Z,134
2015-03-26T17:49:03.000Z,134
2015-03-26T17:49:09.000Z,136
2015-03-26T17:49:10.000Z,136
2015-03-26T17:49:14.000Z,136
2015-03-26T17:49:20.000Z,136
2015-03-26T17:49:25.000Z,136
2015-03-26T17:49:31.000Z,134
2015-03-26T17:49:38.000Z,134
2015-03-26T17:49:39.000Z,134
2015-03-26T17:49:46.000Z,133
2015-03-26T17:49:53.000Z,135
2015-03-26T17:50:00.000Z,136
2015-03-26T17:50:01.000Z,136
2015-03-26T17:50:07.000Z,137
2015-03-26T17:50:13.000Z,137
2015-03-26T17:50:19.000Z,136
2015-03-26T17:50:25.000Z,134
2015-03-26T17:50:32.000Z,134
2015-03-26T17:50:38.000Z,134
2015-03-26T17:50:44.000Z,135
2015-03-26T17:50:49.000Z,135
2015-03-26T17:50:55.000Z,137
2015-03-26T17:50:56.000Z,137
2015-03-26T17:51:02.000Z,139
2015-03-26T17:51:03.000Z,139
2015-03-26T17:51:10.000Z,140
2015-03-26T17:51:11.000Z,141
2015-03-26T17:51:16.000Z,142
2015-03-26T17:51:17.000Z,142
2015-03-26T17:51:23.000Z,142
2015-03-26T17:51:29.000Z,143
2015-03-26T17:51:30.000Z,143
2015-03-26T17:51:36.000Z,140
2015-03-26T17:51:37.000Z,139
2015-03-26T17:51:39.000Z,138
2015-03-26T17:51:43.000Z,138
2015-03-26T17:51:49.000Z,139
2015-03-26T17:51:54.000Z,141
2015-03-26T17:51:59.000Z,143
2015-03-26T17:52:04.000Z,144
2015-03-26T17:52:06.000Z,145
2015-03-26T17:52:09.000Z,145
2015-03-26T17:52:16.000Z,145
2015-03-26T17:52:21.000Z,145
2015-03-26T17:52:27.000Z,143
2015-03-26T17:52:33.000Z,142
2015-03-26T17:52:39.000Z,141
2015-03-26T17:52:46.000Z,142
2015-03-26T17:52:52.000Z,143
2015-03-26T17:52:59.000Z,144
2015-03-26T17:53:00.000Z,144
2015-03-26T17:53:06.000Z,143
2015-03-26T17:53:13.000Z,142
2015-03-26T17:53:19.000Z,143
2015-03-26T17:53:25.000Z,142
2015-03-26T17:53:31.000Z,141
2015-03-26T17:53:36.000Z,139
2015-03-26T17:53:38.000Z,138
2015-03-26T17:53:43.000Z,137
2015-03-26T17:53:49.000Z,137
2015-03-26T17:53:50.000Z,137
2015-03-26T17:53:56.000Z,137
2015-03-26T17:54:02.000Z,138
2015-03-26T17:54:03.000Z,138
2015-03-26T17:54:09.000Z,140
2015-03-26T17:54:10.000Z,140
2015-03-26T17:54:16.000Z,142
2015-03-26T17:54:22.000Z,142
2015-03-26T17:54:29.000Z,141
2015-03-26T17:54:35.000Z,142
2015-03-26T17:54:42.000Z,141
2015-03-26T17:54:49.000Z,141
2015-03-26T17:54:55.000Z,141
2015-03-26T17:55:01.000Z,140
2015-03-26T17:55:07.000Z,140
2015-03-26T17:55:13.000Z,141
2015-03-26T17:55:19.000Z,142
2015-03-26T17:55:24.000Z,143
2015-03-26T17:55:25.000Z,142
2015-03-26T17:55:31.000Z,142
2015-03-26T17:55:32.000Z,141
2015-03-26T17:55:36.000Z,142
2015-03-26T17:55:37.000Z,141
2015-03-26T17:55:43.000Z,140
2015-03-26T17:55:49.000Z,138
2015-03-26T17:55:50.000Z,137
2015-03-26T17:55:57.000Z,135
2015-03-26T17:56:02.000Z,135
2015-03-26T17:56:03.000Z,135
2015-03-26T17:56:09.000Z,134
2015-03-26T17:56:10.000Z,134
2015-03-26T17:56:17.000Z,135
2015-03-26T17:56:23.000Z,138
2015-03-26T17:56:29.000Z,140
2015-03-26T17:56:36.000Z,142
2015-03-26T17:56:43.000Z,142
2015-03-26T17:56:50.000Z,141
2015-03-26T17:56:56.000Z,142
2015-03-26T17:57:02.000Z,142
2015-03-26T17:57:03.000Z,142
2015-03-26T17:57:09.000Z,143
2015-03-26T17:57:13.000Z,144
2015-03-26T17:57:14.000Z,144
2015-03-26T17:57:17.000Z,145
2015-03-26T17:57:21.000Z,146
2015-03-26T17:57:22.000Z,147
2015-03-26T17:57:24.000Z,148
2015-03-26T17:57:26.000Z,149
2015-03-26T17:57:28.000Z,151
2015-03-26T17:57:30.000Z,154
2015-03-26T17:57:33.000Z,155
2015-03-26T17:57:34.000Z,156
2015-03-26T17:57:35.000Z,158
2015-03-26T17:57:39.000Z,161
2015-03-26T17:57:40.000Z,161
2015-03-26T17:57:42.000Z,162
2015-03-26T17:57:43.000Z,163
2015-03-26T17:57:46.000Z,164
2015-03-26T17:57:48.000Z,164
2015-03-26T17:57:52.000Z,165
2015-03-26T17:57:55.000Z,166
2015-03-26T17:57:59.000Z,167
2015-03-26T17:58:01.000Z,168
2015-03-26T17:58:02.000Z,168
2015-03-26T17:58:04.000Z,168
2015-03-26T17:58:08.000Z,170
2015-03-26T17:58:10.000Z,170
2015-03-26T17:58:14.000Z,170
2015-03-26T17:58:15.000Z,170
2015-03-26T17:58:16.000Z,171
2015-03-26T17:58:19.000Z,171
2015-03-26T17:58:21.000Z,170
2015-03-26T17:58:29.000Z,167
2015-03-26T17:58:33.000Z,164
2015-03-26T17:58:35.000Z,163
2015-03-26T17:58:41.000Z,160
2015-03-26T17:58:48.000Z,158
2015-03-26T17:58:54.000Z,156
2015-03-26T17:59:00.000Z,155
2015-03-26T17:59:06.000Z,153
2015-03-26T17:59:07.000Z,153
2015-03-26T17:59:14.000Z,152
2015-03-26T17:59:20.000Z,149
2015-03-26T17:59:25.000Z,148
2015-03-26T17:59:31.000Z,146
2015-03-26T17:59:37.000Z,145
2015-03-26T17:59:43.000Z,143
2015-03-26T17:59:45.000Z,143
2015-03-26T17:59:51.000Z,141
2015-03-26T17:59:52.000Z,141
2015-03-26T17:59:53.000Z,140
2015-03-26T17:59:58.000Z,139
2015-03-26T18:00:01.000Z,139
2015-03-26T18:00:03.000Z,139
2015-03-26T18:00:08.000Z,136
2015-03-26T18:00:10.000Z,135
2015-03-26T18:00:11.000Z,135
2015-03-26T18:00:17.000Z,134
2015-03-26T18:00:18.000Z,135
2015-03-26T18:00:24.000Z,133
2015-03-26T18:00:30.000Z,135
2015-03-26T18:00:35.000Z,138
2015-03-26T18:00:37.000Z,138
2015-03-26T18:00:44.000Z,138
2015-03-26T18:00:45.000Z,139
2015-03-26T18:00:52.000Z,140
2015-03-26T18:00:58.000Z,140
2015-03-26T18:01:00.000Z,141
2015-03-26T18:01:03.000Z,141
2015-03-26T18:01:09.000Z,143
2015-03-26T18:01:16.000Z,143
2015-03-26T18:01:21.000Z,144
2015-03-26T18:01:26.000Z,145
2015-03-26T18:01:29.000Z,145
2015-03-26T18:01:35.000Z,145
2015-03-26T18:01:41.000Z,145
2015-03-26T18:01:47.000Z,145
2015-03-26T18:01:52.000Z,146
2015-03-26T18:01:55.000Z,145
2015-03-26T18:01:58.000Z,144
2015-03-26T18:02:02.000Z,142
2015-03-26T18:02:03.000Z,142
2015-03-26T18:02:06.000Z,141
2015-03-26T18:02:09.000Z,140
2015-03-26T18:02:15.000Z,140
2015-03-26T18:02:21.000Z,139
2015-03-26T18:02:27.000Z,138
2015-03-26T18:02:29.000Z,139
2015-03-26T18:02:36.000Z,140
2015-03-26T18:02:42.000Z,143
2015-03-26T18:02:43.000Z,143
2015-03-26T18:02:47.000Z,143
2015-03-26T18:02:50.000Z,145
2015-03-26T18:02:54.000Z,148
2015-03-26T18:02:56.000Z,150
2015-03-26T18:02:59.000Z,153
2015-03-26T18:03:02.000Z,156
2015-03-26T18:03:05.000Z,159
2015-03-26T18:03:08.000Z,161
2015-03-26T18:03:09.000Z,162
2015-03-26T18:03:11.000Z,163
2015-03-26T18:03:12.000Z,164
2015-03-26T18:03:14.000Z,164
2015-03-26T18:03:17.000Z,166
2015-03-26T18:03:20.000Z,167
2015-03-26T18:03:24.000Z,168
2015-03-26T18:03:26.000Z,168
2015-03-26T18:03:28.000Z,169
2015-03-26T18:03:30.000Z,170
2015-03-26T18:03:32.000Z,171
2015-03-26T18:03:35.000Z,171
2015-03-26T18:03:37.000Z,171
2015-03-26T18:03:38.000Z,171
2015-03-26T18:03:41.000Z,172
2015-03-26T18:03:42.000Z,172
2015-03-26T18:03:45.000Z,172
2015-03-26T18:03:46.000Z,173
2015-03-26T18:03:49.000Z,173
2015-03-26T18:03:53.000Z,174
2015-03-26T18:03:54.000Z,174
2015-03-26T18:03:55.000Z,174
2015-03-26T18:03:56.000Z,174
2015-03-26T18:03:59.000Z,174
2015-03-26T18:04:05.000Z,172
2015-03-26T18:04:09.000Z,170
