Time;HR
19:35:18;67
19:35:19;67
19:35:20;72
19:35:21;77
19:35:22;80
19:35:23;86
19:35:24;90
19:35:25;91
19:35:26;94
19:35:27;97
19:35:28;98
19:35:29;100
19:35:30;101
19:35:31;101
19:35:32;103
19:35:33;104
19:35:34;105
19:35:35;106
19:35:36;106
19:35:37;106
19:35:38;107
19:35:39;107
19:35:40;107
19:35:41;108
19:35:42;109
19:35:43;109
19:35:44;109
19:35:45;110
19:35:46;111
19:35:47;111
19:35:48;112
19:35:49;114
19:35:50;113
19:35:51;113
19:35:52;113
19:35:53;114
19:35:54;114
19:35:55;114
19:35:56;115
19:35:57;115
19:35:58;115
19:35:59;115
19:36:00;115
19:36:01;116
19:36:02;116
19:36:03;116
19:36:04;117
19:36:05;117
19:36:06;118
19:36:07;118
19:36:08;119
19:36:09;119
19:36:10;119
19:36:11;120
19:36:12;121
19:36:13;121
19:36:14;122
19:36:15;122
19:36:16;122
19:36:17;122
19:36:18;123
19:36:19;124
19:36:20;124
19:36:21;126
19:36:22;126
19:36:23;126
19:36:24;126
19:36:25;127
19:36:26;127
19:36:27;127
19:36:28;127
19:36:29;126
19:36:30;126
19:36:31;126
19:36:32;126
19:36:33;127
19:36:34;126
19:36:35;126
19:36:36;127
19:36:37;126
19:36:38;127
19:36:39;127
19:36:40;127
19:36:41;127
19:36:42;127
19:36:43;127
19:36:44;128
19:36:45;128
19:36:46;129
19:36:47;129
19:36:48;128
19:36:49;128
19:36:50;128
19:36:51;129
19:36:52;128
19:36:53;128
19:36:54;128
19:36:55;127
19:36:56;126
19:36:57;126
19:36:58;126
19:36:59;125
19:37:00;124
19:37:01;124
19:37:02;123
19:37:03;124
19:37:04;123
19:37:05;124
19:37:06;125
19:37:07;125
19:37:08;125
19:37:09;125
19:37:10;126
19:37:11;126
19:37:12;127
19:37:13;127
19:37:14;127
19:37:15;127
19:37:16;128
19:37:17;127
19:37:18;127
19:37:19;127
19:37:20;127
19:37:21;127
19:37:22;127
19:37:23;127
19:37:24;127
19:37:25;127
19:37:26;127
19:37:27;130
19:37:28;129
19:37:29;129
19:37:30;132
19:37:31;136
19:37:32;136
19:37:33;138
19:37:34;135
19:37:35;132
19:37:36;131
19:37:37;131
19:37:38;130
19:37:39;130
19:37:40;130
19:37:41;129
19:37:42;128
19:37:43;128
19:37:44;127
19:37:45;126
19:37:46;126
19:37:47;126
19:37:48;125
19:37:49;125
19:37:50;125
19:37:51;125
19:37:52;124
19:37:53;124
19:37:54;124
19:37:55;124
19:37:56;124
19:37:57;124
19:37:58;124
19:37:59;124
19:38:00;124
19:38:01;124
19:38:02;124
19:38:03;124
19:38:04;124
19:38:05;124
19:38:06;124
19:38:07;124
19:38:08;124
19:38:09;124
19:38:10;124
19:38:11;124
19:38:12;124
19:38:13;124
19:38:14;124
19:38:15;124
19:38:16;124
19:38:17;124
19:38:18;124
19:38:19;124
19:38:20;124
19:38:21;124
19:38:22;120
19:38:23;117
19:38:24;118
19:38:25;119
19:38:26;120
19:38:27;121
19:38:28;121
19:38:29;121
19:38:30;122
19:38:31;122
19:38:32;122
19:38:33;122
19:38:34;122
19:38:35;123
19:38:36;123
19:38:37;124
19:38:38;124
19:38:39;124
19:38:40;124
19:38:41;125
19:38:42;125
19:38:43;125
19:38:44;125
19:38:45;125
19:38:46;128
19:38:47;128
19:38:48;127
19:38:49;127
19:38:50;127
19:38:51;126
19:38:52;126
19:38:53;126
19:38:54;126
19:38:55;126
19:38:56;126
19:38:57;126
19:38:58;126
19:38:59;126
19:39:00;127
19:39:01;127
19:39:02;127
19:39:03;127
19:39:04;127
19:39:05;127
19:39:06;127
19:39:07;127
19:39:08;127
19:39:09;128
19:39:10;128
19:39:11;128
19:39:12;128
19:39:13;128
19:39:14;128
19:39:15;129
19:39:16;129
19:39:17;129
19:39:18;130
19:39:19;130
19:39:20;130
19:39:21;130
19:39:22;130
19:39:23;130
19:39:24;130
19:39:25;130
19:39:26;130
19:39:27;129
19:39:28;128
19:39:29;127
19:39:30;127
19:39:31;127
19:39:32;127
19:39:33;126
19:39:34;126
19:39:35;126
19:39:36;126
19:39:37;126
19:39:38;126
19:39:39;126
19:39:40;126
19:39:41;127
19:39:42;127
19:39:43;127
19:39:44;127
19:39:45;127
19:39:46;127
19:39:47;128
19:39:48;128
19:39:49;128
19:39:50;128
19:39:51;128
19:39:52;128
19:39:53;128
19:39:54;128
19:39:55;128
19:39:56;128
19:39:57;128
19:39:58;128
19:39:59;129
19:40:00;129
19:40:01;129
19:40:02;129
19:40:03;129
19:40:04;129
19:40:05;129
19:40:06;129
19:40:07;129
19:40:08;130
19:40:09;130
19:40:10;130
19:40:11;130
19:40:12;130
19:40:13;130
19:40:14;130
19:40:15;130
19:40:16;130
19:40:17;130
19:40:18;130
19:40:19;130
19:40:20;130
19:40:21;130
19:40:22;130
19:40:23;130
19:40:24;130
19:40:25;130
19:40:26;129
19:40:27;128
19:40:28;128
19:40:29;128
19:40:30;128
19:40:31;128
19:40:32;128
19:40:33;128
19:40:34;128
19:40:35;128
19:40:36;129
19:40:37;129
19:40:38;129
19:40:39;129
19:40:40;129
19:40:41;129
19:40:42;130
19:40:43;130
19:40:44;130
19:40:45;130
19:40:46;131
19:40:47;131
19:40:48;131
19:40:49;131
19:40:50;131
19:40:51;131
19:40:52;131
19:40:53;130
19:40:54;131
19:40:55;131
19:40:56;131
19:40:57;131
19:40:58;132
19:40:59;132
19:41:00;132
19:41:01;132
19:41:02;132
19:41:03;132
19:41:04;132
19:41:05;133
19:41:06;133
19:41:07;133
19:41:08;133
19:41:09;133
19:41:10;133
19:41:11;133
19:41:12;133
19:41:13;133
19:41:14;133
19:41:15;133
19:41:16;133
19:41:17;133
19:41:18;134
19:41:19;133
19:41:20;133
19:41:21;132
19:41:22;132
19:41:23;131
19:41:24;131
19:41:25;131
19:41:26;132
19:41:27;132
19:41:28;133
19:41:29;134
19:41:30;134
19:41:31;135
19:41:32;136
19:41:33;137
19:41:34;138
19:41:35;139
19:41:36;140
19:41:37;142
19:41:38;143
19:41:39;144
19:41:40;144
19:41:41;145
19:41:42;145
19:41:43;145
19:41:44;146
19:41:45;146
19:41:46;146
19:41:47;146
19:41:48;146
19:41:49;146
19:41:50;145
19:41:51;145
19:41:52;145
19:41:53;145
