Time,HR
2015-04-20T09:53:11.000Z,82
2015-04-20T09:53:12.000Z,83
2015-04-20T09:53:14.000Z,87
2015-04-20T09:53:15.000Z,91
2015-04-20T09:53:16.000Z,94
2015-04-20T09:53:17.000Z,94
2015-04-20T09:53:18.000Z,99
2015-04-20T09:53:19.000Z,103
2015-04-20T09:53:21.000Z,108
2015-04-20T09:53:22.000Z,111
2015-04-20T09:53:24.000Z,117
2015-04-20T09:53:26.000Z,121
2015-04-20T09:53:28.000Z,125
2015-04-20T09:53:29.000Z,125
2015-04-20T09:53:32.000Z,128
2015-04-20T09:53:40.000Z,129
2015-04-20T09:53:48.000Z,131
2015-04-20T09:53:53.000Z,134
2015-04-20T09:54:02.000Z,136
2015-04-20T09:54:10.000Z,137
2015-04-20T09:54:18.000Z,138
2015-04-20T09:54:27.000Z,137
2015-04-20T09:54:30.000Z,140
2015-04-20T09:54:39.000Z,140
2015-04-20T09:54:47.000Z,143
2015-04-20T09:54:56.000Z,143
2015-04-20T09:55:05.000Z,144
2015-04-20T09:55:14.000Z,144
2015-04-20T09:55:23.000Z,145
2015-04-20T09:55:32.000Z,146
2015-04-20T09:55:41.000Z,145
2015-04-20T09:55:50.000Z,146
2015-04-20T09:55:58.000Z,147
2015-04-20T09:56:07.000Z,149
2015-04-20T09:56:17.000Z,149
2015-04-20T09:56:27.000Z,151
2015-04-20T09:56:37.000Z,149
2015-04-20T09:56:45.000Z,148
2015-04-20T09:56:54.000Z,149
2015-04-20T09:57:03.000Z,150
2015-04-20T09:57:12.000Z,150
2015-04-20T09:57:20.000Z,150
2015-04-20T09:57:28.000Z,150
2015-04-20T09:57:36.000Z,149
2015-04-20T09:57:45.000Z,149
2015-04-20T09:57:54.000Z,149
2015-04-20T09:58:02.000Z,149
2015-04-20T09:58:11.000Z,147
2015-04-20T09:58:21.000Z,149
2015-04-20T09:58:27.000Z,149
2015-04-20T09:58:35.000Z,151
2015-04-20T09:58:44.000Z,153
2015-04-20T09:58:52.000Z,152
2015-04-20T09:58:58.000Z,149
2015-04-20T09:59:06.000Z,146
2015-04-20T09:59:14.000Z,144
2015-04-20T09:59:23.000Z,144
2015-04-20T09:59:32.000Z,142
2015-04-20T09:59:35.000Z,142
2015-04-20T09:59:42.000Z,141
2015-04-20T09:59:46.000Z,141
2015-04-20T09:59:55.000Z,140
2015-04-20T10:00:03.000Z,140
2015-04-20T10:00:11.000Z,138
2015-04-20T10:00:20.000Z,137
2015-04-20T10:00:28.000Z,136
2015-04-20T10:00:37.000Z,134
2015-04-20T10:00:46.000Z,137
2015-04-20T10:00:55.000Z,139
2015-04-20T10:01:04.000Z,140
2015-04-20T10:01:12.000Z,140
2015-04-20T10:01:17.000Z,137
2015-04-20T10:01:26.000Z,135
2015-04-20T10:01:34.000Z,133
2015-04-20T10:01:43.000Z,131
2015-04-20T10:01:50.000Z,128
2015-04-20T10:01:59.000Z,129
2015-04-20T10:02:07.000Z,130
2015-04-20T10:02:15.000Z,129
2015-04-20T10:02:19.000Z,130
2015-04-20T10:02:23.000Z,133
2015-04-20T10:02:28.000Z,135
2015-04-20T10:02:36.000Z,135
2015-04-20T10:02:44.000Z,135
2015-04-20T10:02:50.000Z,138
2015-04-20T10:02:58.000Z,137
2015-04-20T10:03:07.000Z,138
2015-04-20T10:03:16.000Z,139
2015-04-20T10:03:25.000Z,138
2015-04-20T10:03:34.000Z,137
2015-04-20T10:03:43.000Z,137
2015-04-20T10:03:52.000Z,137
2015-04-20T10:04:01.000Z,139
2015-04-20T10:04:10.000Z,141
2015-04-20T10:04:20.000Z,143
2015-04-20T10:04:29.000Z,141
