Time,HR
20:09:51,119
20:09:52,119
20:09:53,119
20:09:54,120
20:09:55,120
20:09:56,121
20:09:57,121
20:09:58,122
20:09:59,123
20:10:00,123
20:10:01,124
20:10:02,124
20:10:03,124
20:10:04,125
20:10:05,125
20:10:06,126
20:10:07,126
20:10:08,127
20:10:09,127
20:10:10,128
20:10:11,128
20:10:12,129
20:10:13,130
20:10:14,131
20:10:15,132
20:10:16,134
20:10:17,135
20:10:18,135
20:10:19,136
20:10:20,137
20:10:21,138
20:10:22,139
20:10:23,140
20:10:24,141
20:10:25,142
20:10:26,142
20:10:27,143
20:10:28,143
20:10:29,143
20:10:30,144
20:10:31,144
20:10:32,144
20:10:33,145
20:10:34,145
20:10:35,146
20:10:36,146
20:10:37,146
20:10:38,147
20:10:39,147
20:10:40,147
20:10:41,148
20:10:42,148
20:10:43,149
20:10:44,149
20:10:45,149
20:10:46,149
20:10:47,149
20:10:48,149
20:10:49,150
20:10:50,150
20:10:51,150
20:10:52,150
20:10:53,150
20:10:54,149
20:10:55,149
20:10:56,148
20:10:57,148
20:10:58,148
20:10:59,147
20:11:00,147
20:11:01,148
20:11:02,148
20:11:03,148
20:11:04,149
20:11:05,149
20:11:06,149
20:11:07,149
20:11:08,148
20:11:09,148
20:11:10,148
20:11:11,149
20:11:12,149
20:11:13,149
20:11:14,149
20:11:15,149
20:11:16,149
20:11:17,149
20:11:18,149
20:11:19,149
20:11:20,148
20:11:21,147
20:11:22,147
20:11:23,147
20:11:24,147
20:11:25,147
20:11:26,147
20:11:27,147
20:11:28,147
20:11:29,146
20:11:30,146
20:11:31,146
20:11:32,147
20:11:33,147
20:11:34,147
20:11:35,148
20:11:36,147
20:11:37,147
20:11:38,147
20:11:39,147
20:11:40,147
20:11:41,147
20:11:42,148
20:11:43,148
20:11:44,148
20:11:45,148
20:11:46,148
20:11:47,147
20:11:48,147
20:11:49,147
20:11:50,147
20:11:51,147
20:11:52,147
20:11:53,147
20:11:54,147
20:11:55,147
20:11:56,147
20:11:57,147
20:11:58,147
20:11:59,147
20:12:00,147
20:12:01,146
20:12:02,146
20:12:03,145
20:12:04,145
20:12:05,145
20:12:06,144
20:12:07,144
20:12:08,144
20:12:09,144
20:12:10,144
20:12:11,145
20:12:12,145
20:12:13,145
20:12:14,145
20:12:15,145
20:12:16,146
20:12:17,146
20:12:18,147
20:12:19,147
20:12:20,147
20:12:21,148
20:12:22,147
20:12:23,147
20:12:24,147
20:12:25,147
20:12:26,147
20:12:27,147
20:12:28,146
20:12:29,146
20:12:30,146
20:12:31,146
20:12:32,147
20:12:33,146
20:12:34,146
20:12:35,146
20:12:36,147
20:12:37,147
20:12:38,148
20:12:39,148
20:12:40,148
20:12:41,149
20:12:42,148
20:12:43,149
20:12:44,149
20:12:45,149
20:12:46,149
20:12:47,150
20:12:48,151
20:12:49,151
20:12:50,152
20:12:51,152
20:12:52,152
20:12:53,152
20:12:54,152
20:12:55,152
20:12:56,152
20:12:57,151
20:12:58,151
20:12:59,150
20:13:00,150
20:13:01,149
20:13:02,149
20:13:03,149
20:13:04,149
20:13:05,150
20:13:06,150
20:13:07,149
20:13:08,149
20:13:09,149
20:13:10,149
20:13:11,150
20:13:12,150
20:13:13,150
20:13:14,151
20:13:15,151
20:13:16,151
20:13:17,151
20:13:18,151
20:13:19,151
20:13:20,151
20:13:21,151
20:13:22,151
20:13:23,152
20:13:24,152
20:13:25,152
20:13:26,152
20:13:27,152
20:13:28,152
20:13:29,152
20:13:30,152
20:13:31,153
20:13:32,154
20:13:33,155
20:13:34,155
20:13:35,155
20:13:36,155
20:13:37,156
20:13:38,156
20:13:39,156
20:13:40,156
20:13:41,156
20:13:42,156
20:13:43,156
20:13:44,156
20:13:45,156
20:13:46,155
20:13:47,155
20:13:48,154
20:13:49,154
20:13:50,153
20:13:51,153
20:13:52,152
20:13:53,152
20:13:54,151
20:13:55,150
20:13:56,150
20:13:57,150
20:13:58,150
20:13:59,151
20:14:00,152
20:14:01,152
20:14:02,152
20:14:03,152
20:14:04,153
20:14:05,152
20:14:06,152
20:14:07,152
20:14:08,152
20:14:09,152
20:14:10,152
20:14:11,152
20:14:12,152
20:14:13,152
20:14:14,152
20:14:15,152
20:14:16,152
20:14:17,152
20:14:18,152
20:14:19,151
20:14:20,151
20:14:21,151
20:14:22,151
20:14:23,151
20:14:24,150
20:14:25,150
20:14:26,150
20:14:27,151
20:14:28,152
20:14:29,153
20:14:30,154
20:14:31,156
20:14:32,157
20:14:33,157
20:14:34,158
20:14:35,159
20:14:36,159
20:14:37,160
20:14:38,160
20:14:39,160
20:14:40,160
20:14:41,160
20:14:42,160
20:14:43,160
20:14:44,160
20:14:45,160
20:14:46,160
20:14:47,161
20:14:48,161
20:14:49,162
20:14:50,162
20:14:51,163
20:14:52,163
20:14:53,163
20:14:54,164
20:14:55,164
20:14:56,164
20:14:57,165
20:14:58,165
20:14:59,165
20:15:00,165
20:15:01,166
20:15:02,166
20:15:03,166
20:15:04,166
20:15:05,166
20:15:06,167
20:15:07,167
20:15:08,167
20:15:09,167
20:15:10,167
20:15:11,167
20:15:12,167
20:15:13,167
20:15:14,168
20:15:15,168
20:15:16,168
20:15:17,168
20:15:18,168
20:15:19,169
20:15:20,169
20:15:21,169
20:15:22,169
20:15:23,169
20:15:24,169
20:15:25,169
20:15:26,170
20:15:27,170
20:15:28,170
20:15:29,170
20:15:30,170
20:15:31,171
20:15:32,171
20:15:33,171
20:15:34,171
20:15:35,172
20:15:36,172
20:15:37,172
20:15:38,172
20:15:39,172
20:15:40,172
20:15:41,173
20:15:42,173
20:15:43,173
20:15:44,173
20:15:45,174
20:15:46,174
20:15:47,174
20:15:48,174
20:15:49,174
20:15:50,174
20:15:51,174
20:15:52,174
20:15:53,174
20:15:54,174
20:15:55,174
20:15:56,174
20:15:57,174
20:15:58,174
20:15:59,173
20:16:00,174
20:16:01,174
20:16:02,174
20:16:03,174
20:16:04,174
20:16:05,174
20:16:06,173
20:16:07,173
20:16:08,173
20:16:09,172
20:16:10,172
20:16:11,171
20:16:12,171
20:16:13,171
20:16:14,170
20:16:15,170
20:16:16,169
20:16:17,169
20:16:18,168
20:16:19,167
20:16:20,167
20:16:21,166
20:16:22,166
20:16:23,165
20:16:24,165
20:16:25,164
20:16:26,164
20:16:27,164
20:16:28,163
20:16:29,163
20:16:30,163
20:16:31,162
20:16:32,162
20:16:33,161
20:16:34,160
20:16:35,160
20:16:36,159
20:16:37,160
20:16:38,160
20:16:39,160
20:16:40,160
20:16:41,160
20:16:42,161
20:16:43,161
20:16:44,160
20:16:45,161
20:16:46,161
20:16:47,161
20:16:48,161
20:16:49,160
20:16:50,160
20:16:51,160
20:16:52,161
20:16:53,162
20:16:54,162
20:16:55,163
20:16:56,164
20:16:57,164
20:16:58,165
20:16:59,166
20:17:00,166
20:17:01,167
20:17:02,167
20:17:03,168
20:17:04,169
20:17:05,169
20:17:06,170
20:17:07,170
20:17:08,170
20:17:09,170
20:17:10,170
20:17:11,171
20:17:12,171
20:17:13,171
20:17:14,171
20:17:15,172
20:17:16,172
20:17:17,172
20:17:18,172
20:17:19,173
20:17:20,173
20:17:21,173
20:17:22,173
20:17:23,173
20:17:24,174
20:17:25,174
20:17:26,174
20:17:27,174
20:17:28,174
20:17:29,175
20:17:30,175
20:17:31,175
20:17:32,175
20:17:33,175
20:17:34,175
20:17:35,174
20:17:36,175
20:17:37,175
20:17:38,175
20:17:39,175
20:17:40,175
20:17:41,175
20:17:42,175
20:17:43,175
20:17:44,176
20:17:45,176
20:17:46,176
20:17:47,176
20:17:48,176
20:17:49,176
20:17:50,176
20:17:51,176
20:17:52,176
20:17:53,176
20:17:54,176
20:17:55,176
20:17:56,176
20:17:57,176
20:17:58,175
20:17:59,175
20:18:00,175
20:18:01,175
20:18:02,175
20:18:03,176
20:18:04,175
20:18:05,175
20:18:06,175
20:18:07,174
