Time,HR
00:00:00,63
00:00:10,66
00:00:20,67
00:00:30,66
00:00:40,69
00:00:50,69
00:01:00,70
00:01:10,70
00:01:20,68
00:01:30,74
00:01:40,77
00:01:50,73
00:02:00,78
00:02:10,75
00:02:20,78
00:02:30,79
00:02:40,93
00:02:50,100
00:03:00,95
00:03:10,84
00:03:20,83
00:03:30,91
00:03:40,91
00:03:50,95
00:04:00,107
00:04:10,109
00:04:20,105
00:04:30,109
00:04:40,114
00:04:50,116
00:05:00,119
00:05:10,120
00:05:20,117
00:05:30,113
00:05:40,111
00:05:50,110
00:06:00,110
00:06:10,107
00:06:20,110
00:06:30,109
00:06:40,109
00:06:50,111
00:07:00,110
00:07:10,110
00:07:20,110
00:07:30,110
00:07:40,112
00:07:50,110
00:08:00,110
00:08:10,109
00:08:20,108
00:08:30,109
00:08:40,109
00:08:50,109
00:09:00,109
00:09:10,111
00:09:20,111
00:09:30,110
00:09:40,110
00:09:50,107
00:10:00,108
00:10:10,107
00:10:20,106
00:10:30,107
00:10:40,110
00:10:50,109
00:11:00,108
00:11:10,109
00:11:20,108
00:11:30,107
00:11:40,106
00:11:50,106
00:12:00,106
00:12:10,106
00:12:20,108
00:12:30,111
00:12:40,111
00:12:50,115
00:13:00,115
00:13:10,115
00:13:20,111
00:13:30,109
00:13:40,107
00:13:50,106
00:14:00,107
00:14:10,107
00:14:20,108
00:14:30,108
00:14:40,103
00:14:50,93
00:15:00,88
00:15:10,85
00:15:20,78
00:15:30,80
00:15:40,82
00:15:50,95
00:16:00,96
00:16:10,94
00:16:20,99
00:16:30,101
00:16:40,100
00:16:50,97
00:17:00,97
00:17:10,91
00:17:20,89
00:17:30,95
00:17:40,101
00:17:50,108
00:18:00,109
00:18:10,108
00:18:20,113
00:18:30,115
00:18:40,111
00:18:50,116
00:19:00,123
00:19:10,128
00:19:20,128
00:19:30,126
00:19:40,119
00:19:50,113
00:20:00,107
00:20:10,105
00:20:20,102
00:20:30,104
00:20:40,105
00:20:50,101
00:21:00,94
00:21:10,90
00:21:20,88
00:21:30,91
00:21:40,89
00:21:50,91
00:22:00,90
00:22:10,86
00:22:20,85
00:22:30,79
00:22:40,81
00:22:50,81
00:23:00,80
00:23:10,79
00:23:20,72
00:23:30,78
00:23:40,117
00:23:50,140
00:24:00,147
00:24:10,149
00:24:20,153
00:24:30,156
00:24:40,156
00:24:50,157
00:25:00,157
00:25:10,156
00:25:20,158
00:25:30,157
00:25:40,156
00:25:50,158
00:26:00,157
00:26:10,155
00:26:20,157
00:26:30,157
00:26:40,156
00:26:50,157
00:27:00,157
00:27:10,156
00:27:20,158
00:27:30,156
00:27:40,152
00:27:50,144
00:28:00,139
00:28:10,135
00:28:20,129
00:28:30,126
00:28:40,124
00:28:50,123
00:29:00,121
00:29:10,119
00:29:20,117
00:29:30,118
00:29:40,117
00:29:50,116
00:30:00,115
00:30:10,116
00:30:20,116
00:30:30,116
00:30:40,117
00:30:50,115
00:31:00,114
00:31:10,116
00:31:20,118
00:31:30,128
00:31:40,139
00:31:50,144
00:32:00,145
00:32:10,150
00:32:20,152
00:32:30,152
00:32:40,154
00:32:50,155
00:33:00,154
00:33:10,157
00:33:20,158
00:33:30,158
00:33:40,159
00:33:50,158
00:34:00,157
00:34:10,159
00:34:20,158
00:34:30,158
00:34:40,160
00:34:50,158
00:35:00,158
00:35:10,161
00:35:20,160
00:35:30,155
00:35:40,150
00:35:50,144
00:36:00,138
00:36:10,132
00:36:20,126
00:36:30,124
00:36:40,122
00:36:50,121
00:37:00,119
00:37:10,117
00:37:20,116
00:37:30,115
00:37:40,117
00:37:50,116
00:38:00,116
00:38:10,114
00:38:20,113
00:38:30,113
00:38:40,113
00:38:50,113
00:39:00,117
00:39:10,117
00:39:20,125
00:39:30,140
00:39:40,146
00:39:50,146
00:40:00,151
00:40:10,154
00:40:20,154
00:40:30,156
00:40:40,156
00:40:50,155
00:41:00,159
00:41:10,159
00:41:20,158
00:41:30,160
00:41:40,160
00:41:50,159
00:42:00,161
00:42:10,161
00:42:20,160
00:42:30,162
00:42:40,162
00:42:50,161
00:43:00,163
00:43:10,162
00:43:20,157
00:43:30,152
00:43:40,145
00:43:50,139
00:44:00,133
00:44:10,129
00:44:20,123
00:44:30,123
00:44:40,120
00:44:50,118
00:45:00,118
00:45:10,118
00:45:20,116
00:45:30,116
00:45:40,114
00:45:50,113
00:46:00,112
00:46:10,112
00:46:20,110
00:46:30,114
00:46:40,114
00:46:50,112
00:47:00,113
00:47:10,123
00:47:20,138
00:47:30,145
00:47:40,147
00:47:50,152
00:48:00,155
00:48:10,156
00:48:20,158
00:48:30,158
00:48:40,158
00:48:50,160
00:49:00,159
00:49:10,159
00:49:20,161
00:49:30,160
00:49:40,159
00:49:50,161
00:50:00,161
00:50:10,160
00:50:20,161
00:50:30,161
00:50:40,161
00:50:50,163
00:51:00,162
00:51:10,158
00:51:20,152
00:51:30,146
00:51:40,139
00:51:50,133
00:52:00,129
00:52:10,125
00:52:20,123
00:52:30,119
00:52:40,120
00:52:50,120
00:53:00,120
00:53:10,117
00:53:20,116
00:53:30,115
00:53:40,114
00:53:50,114
00:54:00,115
00:54:10,115
00:54:20,114
00:54:30,112
00:54:40,113
00:54:50,112
00:55:00,111
00:55:10,111
00:55:20,114
00:55:30,116
00:55:40,117
00:55:50,119
00:56:00,119
00:56:10,119
00:56:20,118
00:56:30,116
00:56:40,115
00:56:50,114
00:57:00,112
00:57:10,113
00:57:20,114
00:57:30,115
00:57:40,116
00:57:50,116
00:58:00,117
00:58:10,116
00:58:20,116
00:58:30,115
00:58:40,115
00:58:50,115
00:59:00,114
00:59:10,114
00:59:20,113
00:59:30,113
00:59:40,114
00:59:50,114
01:00:00,113
01:00:10,113
01:00:20,114
01:00:30,113
01:00:40,112
01:00:50,112
01:01:00,112
01:01:10,111
01:01:20,111
01:01:30,112
01:01:40,114
01:01:50,115
01:02:00,116
01:02:10,117
01:02:20,117
01:02:30,116
01:02:40,115
01:02:50,114
01:03:00,112
01:03:10,112
01:03:20,112
01:03:30,107
01:03:40,100
01:03:50,96
01:04:00,91
01:04:10,92
01:04:20,92
01:04:30,92
01:04:40,93
01:04:50,92
01:05:00,88
01:05:10,90
01:05:20,91
01:05:30,86
01:05:40,85
01:05:50,85
01:06:00,85
01:06:10,86
01:06:20,88
01:06:30,87
01:06:40,85
01:06:50,85
01:07:00,83
