Time,HR
00:00:00,104
00:00:10,102
00:00:20,96
00:00:30,86
00:00:40,104
00:00:50,106
00:01:00,107
00:01:10,116
00:01:20,124
00:01:30,118
00:01:40,110
00:01:50,102
00:02:00,106
00:02:10,122
00:02:20,127
00:02:30,132
00:02:40,135
00:02:50,134
00:03:00,135
00:03:10,135
00:03:20,133
00:03:30,136
00:03:40,141
00:03:50,140
00:04:00,138
00:04:10,142
00:04:20,143
00:04:30,141
00:04:40,141
00:04:50,139
00:05:00,143
00:05:10,148
00:05:20,147
00:05:30,145
00:05:40,144
00:05:50,148
00:06:00,148
00:06:10,145
00:06:20,148
00:06:30,149
00:06:40,148
00:06:50,147
00:07:00,149
00:07:10,150
00:07:20,151
00:07:30,146
00:07:40,150
00:07:50,153
00:08:00,153
00:08:10,155
00:08:20,154
00:08:30,151
00:08:40,146
00:08:50,146
00:09:00,150
00:09:10,149
00:09:20,147
00:09:30,153
00:09:40,155
00:09:50,152
00:10:00,151
00:10:10,149
00:10:20,150
00:10:30,153
00:10:40,149
00:10:50,145
00:11:00,153
00:11:10,155
00:11:20,154
00:11:30,149
00:11:40,146
00:11:50,148
00:12:00,149
00:12:10,150
00:12:20,153
00:12:30,154
00:12:40,155
00:12:50,155
00:13:00,156
00:13:10,160
00:13:20,165
00:13:30,169
00:13:40,168
00:13:50,168
00:14:00,168
00:14:10,166
00:14:20,163
00:14:30,157
00:14:40,152
00:14:50,151
00:15:00,151
00:15:10,154
00:15:20,154
00:15:30,158
00:15:40,162
00:15:50,166
00:16:00,171
00:16:10,177
00:16:20,178
00:16:30,177
00:16:40,177
00:16:50,177
00:17:00,175
00:17:10,170
00:17:20,166
00:17:30,162
00:17:40,159
00:17:50,156
00:18:00,156
00:18:10,154
00:18:20,155
00:18:30,160
00:18:40,157
00:18:50,156
00:19:00,156
00:19:10,159
00:19:20,162
00:19:30,167
00:19:40,171
00:19:50,174
00:20:00,176
00:20:10,177
00:20:20,180
00:20:30,183
00:20:40,184
00:20:50,185
00:21:00,184
00:21:10,182
00:21:20,179
00:21:30,177
00:21:40,171
00:21:50,167
00:22:00,169
00:22:10,168
00:22:20,165
00:22:30,164
00:22:40,165
00:22:50,164
00:23:00,168
00:23:10,170
00:23:20,171
00:23:30,172
00:23:40,172
00:23:50,174
00:24:00,175
00:24:10,172
00:24:20,169
00:24:30,171
00:24:40,173
00:24:50,171
00:25:00,169
00:25:10,169
00:25:20,166
00:25:30,165
00:25:40,165
00:25:50,163
00:26:00,161
00:26:10,167
00:26:20,172
00:26:30,172
00:26:40,171
00:26:50,171
00:27:00,173
00:27:10,173
00:27:20,174
00:27:30,176
00:27:40,179
00:27:50,181
00:28:00,184
00:28:10,187
00:28:20,189
00:28:30,189
00:28:40,190
00:28:50,188
00:29:00,187
00:29:10,186
00:29:20,185
00:29:30,183
00:29:40,182
00:29:50,180
00:30:00,178
00:30:10,176
00:30:20,176
00:30:30,179
00:30:40,178
00:30:50,180
00:31:00,183
00:31:10,186
00:31:20,188
00:31:30,187
00:31:40,189
00:31:50,189
00:32:00,189
00:32:10,192
00:32:20,192
00:32:30,195
00:32:40,197
00:32:50,195
00:33:00,195
00:33:10,198
00:33:20,198
00:33:30,194
00:33:40,195
00:33:50,197
00:34:00,194
00:34:10,190
00:34:20,186
00:34:30,184
00:34:40,180
00:34:50,177
00:35:00,173
00:35:10,168
00:35:20,162
00:35:30,158
00:35:40,157
00:35:50,157
00:36:00,157
00:36:10,155
00:36:20,152
00:36:30,151
00:36:40,149
00:36:50,145
00:37:00,140
00:37:10,140
00:37:20,137
00:37:30,132
00:37:40,131
00:37:50,128
00:38:00,127
00:38:10,129
00:38:20,129
00:38:30,131
00:38:40,127
00:38:50,126
00:39:00,125
00:39:10,128
00:39:20,127
