Time,HR
00:00:00,88
00:00:10,91
00:00:20,91
00:00:30,91
00:00:40,90
00:00:50,87
00:01:00,75
00:01:10,92
00:01:20,95
00:01:30,94
00:01:40,92
00:01:50,91
00:02:00,96
00:02:10,100
00:02:20,96
00:02:30,94
00:02:40,81
00:02:50,86
00:03:00,87
00:03:10,87
00:03:20,93
00:03:30,89
00:03:40,88
00:03:50,91
00:04:00,97
00:04:10,98
00:04:20,104
00:04:30,107
00:04:40,107
00:04:50,109
00:05:00,110
00:05:10,100
00:05:20,94
00:05:30,96
00:05:40,94
00:05:50,96
00:06:00,98
00:06:10,108
00:06:20,113
00:06:30,116
00:06:40,121
00:06:50,126
00:07:00,128
00:07:10,128
00:07:20,126
00:07:30,125
00:07:40,126
00:07:50,123
00:08:00,122
00:08:10,122
00:08:20,124
00:08:30,126
00:08:40,126
00:08:50,127
00:09:00,127
00:09:10,128
00:09:20,128
00:09:30,128
00:09:40,127
00:09:50,130
00:10:00,134
00:10:10,137
00:10:20,138
00:10:30,139
00:10:40,137
00:10:50,136
00:11:00,135
00:11:10,135
00:11:20,132
00:11:30,131
00:11:40,133
00:11:50,134
00:12:00,136
00:12:10,137
00:12:20,138
00:12:30,138
00:12:40,138
00:12:50,137
00:13:00,136
00:13:10,135
00:13:20,134
00:13:30,135
00:13:40,135
00:13:50,135
00:14:00,136
00:14:10,135
00:14:20,134
00:14:30,134
00:14:40,134
00:14:50,134
00:15:00,137
00:15:10,137
00:15:20,137
00:15:30,137
00:15:40,138
00:15:50,138
00:16:00,137
00:16:10,137
00:16:20,137
00:16:30,137
00:16:40,136
00:16:50,137
00:17:00,136
00:17:10,135
00:17:20,135
00:17:30,135
00:17:40,133
00:17:50,132
00:18:00,133
00:18:10,133
00:18:20,136
00:18:30,137
00:18:40,138
00:18:50,137
00:19:00,137
00:19:10,136
00:19:20,137
00:19:30,137
00:19:40,137
00:19:50,136
00:20:00,135
00:20:10,133
00:20:20,132
00:20:30,132
00:20:40,133
00:20:50,134
00:21:00,136
00:21:10,137
00:21:20,137
00:21:30,136
00:21:40,134
00:21:50,135
00:22:00,135
00:22:10,135
00:22:20,136
00:22:30,137
00:22:40,137
00:22:50,136
00:23:00,136
00:23:10,138
00:23:20,139
00:23:30,140
00:23:40,140
00:23:50,138
00:24:00,138
00:24:10,138
00:24:20,138
00:24:30,138
00:24:40,139
00:24:50,139
00:25:00,138
00:25:10,138
00:25:20,138
00:25:30,137
00:25:40,136
00:25:50,137
00:26:00,137
00:26:10,136
00:26:20,138
00:26:30,138
00:26:40,137
00:26:50,137
00:27:00,138
00:27:10,139
00:27:20,138
00:27:30,138
00:27:40,138
00:27:50,138
00:28:00,138
00:28:10,137
00:28:20,137
00:28:30,136
00:28:40,135
00:28:50,137
00:29:00,138
00:29:10,138
00:29:20,138
00:29:30,138
00:29:40,137
00:29:50,136
00:30:00,138
00:30:10,140
00:30:20,140
00:30:30,139
00:30:40,138
00:30:50,137
00:31:00,137
00:31:10,137
00:31:20,137
00:31:30,137
00:31:40,136
00:31:50,135
00:32:00,136
00:32:10,138
00:32:20,139
00:32:30,139
00:32:40,138
00:32:50,137
00:33:00,136
00:33:10,136
00:33:20,136
00:33:30,137
00:33:40,137
00:33:50,138
00:34:00,138
00:34:10,139
00:34:20,139
00:34:30,140
00:34:40,139
00:34:50,138
