Time,HR
2015-03-14T08:06:38Z,75
2015-03-14T08:06:39Z,77
2015-03-14T08:06:41Z,79
2015-03-14T08:06:43Z,81
2015-03-14T08:06:45Z,82
2015-03-14T08:06:47Z,85
2015-03-14T08:06:49Z,87
2015-03-14T08:06:50Z,90
2015-03-14T08:06:52Z,92
2015-03-14T08:06:53Z,93
2015-03-14T08:06:54Z,98
2015-03-14T08:06:57Z,101
2015-03-14T08:06:59Z,104
2015-03-14T08:07:01Z,105
2015-03-14T08:07:03Z,106
2015-03-14T08:07:05Z,108
2015-03-14T08:07:07Z,109
2015-03-14T08:07:09Z,111
2015-03-14T08:07:11Z,110
2015-03-14T08:07:13Z,110
2015-03-14T08:07:15Z,110
2015-03-14T08:07:17Z,110
2015-03-14T08:07:19Z,109
2015-03-14T08:07:21Z,109
2015-03-14T08:07:23Z,111
2015-03-14T08:07:25Z,111
2015-03-14T08:07:27Z,112
2015-03-14T08:07:28Z,112
2015-03-14T08:07:30Z,113
2015-03-14T08:07:32Z,113
2015-03-14T08:07:34Z,112
2015-03-14T08:07:35Z,113
2015-03-14T08:07:37Z,113
2015-03-14T08:07:39Z,112
2015-03-14T08:07:41Z,112
2015-03-14T08:07:43Z,113
2015-03-14T08:07:45Z,113
2015-03-14T08:07:47Z,112
2015-03-14T08:07:49Z,111
2015-03-14T08:07:50Z,112
2015-03-14T08:07:52Z,113
2015-03-14T08:07:54Z,114
2015-03-14T08:07:56Z,114
2015-03-14T08:07:58Z,115
2015-03-14T08:07:59Z,116
2015-03-14T08:08:01Z,116
2015-03-14T08:08:03Z,114
2015-03-14T08:08:05Z,113
2015-03-14T08:08:07Z,114
2015-03-14T08:08:09Z,115
2015-03-14T08:08:10Z,116
2015-03-14T08:08:12Z,117
2015-03-14T08:08:14Z,116
2015-03-14T08:08:16Z,116
2015-03-14T08:08:18Z,116
2015-03-14T08:08:20Z,116
2015-03-14T08:08:22Z,116
2015-03-14T08:08:23Z,117
2015-03-14T08:08:25Z,117
2015-03-14T08:08:27Z,117
2015-03-14T08:08:28Z,118
2015-03-14T08:08:30Z,119
2015-03-14T08:08:32Z,119
2015-03-14T08:08:34Z,118
2015-03-14T08:08:36Z,117
2015-03-14T08:08:38Z,116
2015-03-14T08:08:40Z,115
2015-03-14T08:08:42Z,116
2015-03-14T08:08:43Z,117
2015-03-14T08:08:45Z,118
2015-03-14T08:08:47Z,119
2015-03-14T08:08:49Z,119
2015-03-14T08:08:50Z,118
2015-03-14T08:08:53Z,117
2015-03-14T08:08:54Z,117
2015-03-14T08:08:56Z,116
2015-03-14T08:08:58Z,114
2015-03-14T08:08:59Z,114
2015-03-14T08:09:01Z,113
2015-03-14T08:09:03Z,112
2015-03-14T08:09:05Z,111
2015-03-14T08:09:07Z,112
2015-03-14T08:09:09Z,115
2015-03-14T08:09:11Z,115
2015-03-14T08:09:13Z,115
2015-03-14T08:09:15Z,114
2015-03-14T08:09:17Z,113
2015-03-14T08:09:19Z,111
2015-03-14T08:09:21Z,109
2015-03-14T08:09:23Z,108
2015-03-14T08:09:24Z,109
2015-03-14T08:09:26Z,109
2015-03-14T08:09:28Z,110
2015-03-14T08:09:29Z,110
2015-03-14T08:09:31Z,107
2015-03-14T08:09:33Z,104
2015-03-14T08:09:35Z,106
2015-03-14T08:09:37Z,109
2015-03-14T08:09:39Z,112
2015-03-14T08:09:41Z,109
2015-03-14T08:09:43Z,104
2015-03-14T08:09:45Z,103
2015-03-14T08:09:47Z,106
2015-03-14T08:09:49Z,108
2015-03-14T08:09:51Z,109
2015-03-14T08:09:53Z,107
2015-03-14T08:09:55Z,104
2015-03-14T08:09:57Z,103
2015-03-14T08:09:59Z,105
2015-03-14T08:10:00Z,106
2015-03-14T08:10:02Z,107
2015-03-14T08:10:04Z,109
2015-03-14T08:10:06Z,108
2015-03-14T08:10:08Z,109
2015-03-14T08:10:10Z,111
2015-03-14T08:10:12Z,112
2015-03-14T08:10:14Z,113
2015-03-14T08:10:15Z,114
2015-03-14T08:10:17Z,114
2015-03-14T08:10:19Z,111
2015-03-14T08:10:21Z,107
2015-03-14T08:10:23Z,108
2015-03-14T08:10:25Z,111
2015-03-14T08:10:27Z,113
2015-03-14T08:10:29Z,111
2015-03-14T08:10:31Z,109
2015-03-14T08:10:33Z,109
2015-03-14T08:10:35Z,112
2015-03-14T08:10:37Z,113
2015-03-14T08:10:39Z,109
2015-03-14T08:10:41Z,111
2015-03-14T08:10:43Z,108
2015-03-14T08:10:45Z,106
2015-03-14T08:10:47Z,109
2015-03-14T08:10:49Z,110
2015-03-14T08:10:51Z,110
2015-03-14T08:10:53Z,110
2015-03-14T08:10:55Z,111
2015-03-14T08:10:57Z,112
2015-03-14T08:10:59Z,113
2015-03-14T08:11:00Z,114
2015-03-14T08:11:02Z,115
2015-03-14T08:11:04Z,114
2015-03-14T08:11:06Z,113
2015-03-14T08:11:08Z,110
2015-03-14T08:11:09Z,108
2015-03-14T08:11:11Z,106
2015-03-14T08:11:13Z,106
2015-03-14T08:11:15Z,108
2015-03-14T08:11:17Z,111
2015-03-14T08:11:19Z,112
2015-03-14T08:11:21Z,110
2015-03-14T08:11:23Z,109
2015-03-14T08:11:25Z,110
2015-03-14T08:11:26Z,111
2015-03-14T08:11:28Z,112
2015-03-14T08:11:30Z,113
2015-03-14T08:11:32Z,113
2015-03-14T08:11:34Z,114
2015-03-14T08:11:35Z,115
2015-03-14T08:11:37Z,113
2015-03-14T08:11:39Z,112
2015-03-14T08:11:40Z,112
2015-03-14T08:11:42Z,110
2015-03-14T08:11:43Z,108
2015-03-14T08:11:44Z,107
2015-03-14T08:11:45Z,107
2015-03-14T08:11:47Z,108
2015-03-14T08:11:49Z,109
2015-03-14T08:11:51Z,113
2015-03-14T08:11:53Z,112
2015-03-14T08:11:55Z,114
2015-03-14T08:11:57Z,116
2015-03-14T08:11:59Z,117
2015-03-14T08:12:00Z,117
2015-03-14T08:12:02Z,117
2015-03-14T08:12:04Z,116
2015-03-14T08:12:05Z,115
2015-03-14T08:12:07Z,114
2015-03-14T08:12:09Z,112
2015-03-14T08:12:11Z,113
2015-03-14T08:12:13Z,114
2015-03-14T08:12:15Z,114
2015-03-14T08:12:17Z,114
2015-03-14T08:12:19Z,116
2015-03-14T08:12:21Z,116
2015-03-14T08:12:23Z,115
2015-03-14T08:12:25Z,116
2015-03-14T08:12:27Z,116
2015-03-14T08:12:29Z,116
2015-03-14T08:12:30Z,117
2015-03-14T08:12:32Z,118
2015-03-14T08:12:34Z,120
2015-03-14T08:12:35Z,122
2015-03-14T08:12:37Z,123
2015-03-14T08:12:39Z,123
2015-03-14T08:12:41Z,123
2015-03-14T08:12:43Z,122
2015-03-14T08:12:45Z,123
2015-03-14T08:12:46Z,124
2015-03-14T08:12:48Z,125
2015-03-14T08:12:50Z,127
2015-03-14T08:12:52Z,128
2015-03-14T08:12:54Z,127
2015-03-14T08:12:56Z,125
2015-03-14T08:12:58Z,126
2015-03-14T08:12:59Z,126
2015-03-14T08:13:01Z,128
2015-03-14T08:13:03Z,129
2015-03-14T08:13:05Z,130
2015-03-14T08:13:07Z,125
2015-03-14T08:13:09Z,124
2015-03-14T08:13:11Z,123
2015-03-14T08:13:13Z,122
2015-03-14T08:13:15Z,121
2015-03-14T08:13:17Z,123
2015-03-14T08:13:19Z,127
2015-03-14T08:13:21Z,128
2015-03-14T08:13:23Z,127
2015-03-14T08:13:25Z,127
2015-03-14T08:13:27Z,128
2015-03-14T08:13:29Z,129
2015-03-14T08:13:31Z,129
2015-03-14T08:13:33Z,129
2015-03-14T08:13:35Z,127
2015-03-14T08:13:37Z,127
2015-03-14T08:13:39Z,127
2015-03-14T08:13:41Z,126
2015-03-14T08:13:42Z,125
2015-03-14T08:13:44Z,126
2015-03-14T08:13:45Z,125
2015-03-14T08:13:46Z,125
2015-03-14T08:13:48Z,125
2015-03-14T08:13:50Z,126
2015-03-14T08:13:52Z,125
2015-03-14T08:13:54Z,124
2015-03-14T08:13:56Z,123
2015-03-14T08:13:58Z,122
2015-03-14T08:13:59Z,122
2015-03-14T08:14:01Z,124
2015-03-14T08:14:03Z,123
2015-03-14T08:14:05Z,124
2015-03-14T08:14:07Z,125
2015-03-14T08:14:09Z,124
2015-03-14T08:14:11Z,123
2015-03-14T08:14:13Z,123
2015-03-14T08:14:15Z,124
2015-03-14T08:14:17Z,122
2015-03-14T08:14:19Z,120
2015-03-14T08:14:21Z,119
2015-03-14T08:14:23Z,118
2015-03-14T08:14:25Z,119
2015-03-14T08:14:27Z,118
2015-03-14T08:14:29Z,117
2015-03-14T08:14:30Z,115
2015-03-14T08:14:32Z,116
2015-03-14T08:14:33Z,117
2015-03-14T08:14:35Z,119
2015-03-14T08:14:37Z,118
2015-03-14T08:14:39Z,115
2015-03-14T08:14:41Z,116
2015-03-14T08:14:43Z,117
2015-03-14T08:14:45Z,114
2015-03-14T08:14:47Z,112
2015-03-14T08:14:49Z,112
2015-03-14T08:14:51Z,116
2015-03-14T08:14:52Z,117
2015-03-14T08:14:54Z,115
2015-03-14T08:14:56Z,111
2015-03-14T08:14:57Z,108
2015-03-14T08:14:59Z,106
2015-03-14T08:15:01Z,112
2015-03-14T08:15:03Z,113
2015-03-14T08:15:05Z,112
2015-03-14T08:15:07Z,112
2015-03-14T08:15:08Z,113
2015-03-14T08:15:10Z,115
2015-03-14T08:15:12Z,111
2015-03-14T08:15:13Z,110
2015-03-14T08:15:15Z,111
2015-03-14T08:15:17Z,114
2015-03-14T08:15:19Z,117
2015-03-14T08:15:21Z,117
2015-03-14T08:15:23Z,119
2015-03-14T08:15:25Z,121
2015-03-14T08:15:27Z,118
2015-03-14T08:15:29Z,115
2015-03-14T08:15:31Z,114
2015-03-14T08:15:33Z,114
2015-03-14T08:15:35Z,115
2015-03-14T08:15:37Z,114
2015-03-14T08:15:38Z,114
2015-03-14T08:15:40Z,116
2015-03-14T08:15:42Z,118
2015-03-14T08:15:44Z,117
2015-03-14T08:15:46Z,116
2015-03-14T08:15:48Z,116
2015-03-14T08:15:50Z,116
2015-03-14T08:15:52Z,117
2015-03-14T08:15:54Z,118
2015-03-14T08:15:55Z,118
2015-03-14T08:15:57Z,119
2015-03-14T08:15:59Z,118
2015-03-14T08:16:00Z,119
2015-03-14T08:16:02Z,120
2015-03-14T08:16:04Z,121
2015-03-14T08:16:06Z,122
2015-03-14T08:16:07Z,123
2015-03-14T08:16:09Z,123
2015-03-14T08:16:10Z,124
2015-03-14T08:16:11Z,125
2015-03-14T08:16:13Z,127
2015-03-14T08:16:15Z,127
2015-03-14T08:16:17Z,128
2015-03-14T08:16:19Z,131
2015-03-14T08:16:21Z,132
2015-03-14T08:16:23Z,134
2015-03-14T08:16:24Z,134
2015-03-14T08:16:25Z,134
2015-03-14T08:16:27Z,135
2015-03-14T08:16:28Z,135
2015-03-14T08:16:30Z,136
2015-03-14T08:16:32Z,136
2015-03-14T08:16:34Z,135
2015-03-14T08:16:36Z,133
2015-03-14T08:16:38Z,132
2015-03-14T08:16:39Z,133
2015-03-14T08:16:40Z,133
2015-03-14T08:16:41Z,133
2015-03-14T08:16:43Z,131
2015-03-14T08:16:45Z,132
2015-03-14T08:16:46Z,132
2015-03-14T08:16:48Z,132
2015-03-14T08:16:49Z,133
2015-03-14T08:16:51Z,133
2015-03-14T08:16:53Z,132
2015-03-14T08:16:54Z,131
2015-03-14T08:16:56Z,131
2015-03-14T08:16:58Z,130
2015-03-14T08:16:59Z,130
2015-03-14T08:17:01Z,131
2015-03-14T08:17:03Z,131
2015-03-14T08:17:05Z,132
2015-03-14T08:17:07Z,132
2015-03-14T08:17:08Z,133
2015-03-14T08:17:09Z,133
2015-03-14T08:17:11Z,133
2015-03-14T08:17:13Z,131
2015-03-14T08:17:15Z,130
2015-03-14T08:17:17Z,130
2015-03-14T08:17:19Z,129
2015-03-14T08:17:21Z,127
2015-03-14T08:17:23Z,125
2015-03-14T08:17:25Z,125
2015-03-14T08:17:27Z,126
2015-03-14T08:17:29Z,127
2015-03-14T08:17:31Z,129
2015-03-14T08:17:33Z,129
2015-03-14T08:17:35Z,129
2015-03-14T08:17:37Z,128
2015-03-14T08:17:38Z,128
2015-03-14T08:17:40Z,127
2015-03-14T08:17:42Z,128
2015-03-14T08:17:43Z,128
2015-03-14T08:17:45Z,128
2015-03-14T08:17:47Z,127
2015-03-14T08:17:49Z,127
2015-03-14T08:17:51Z,125
2015-03-14T08:17:53Z,126
2015-03-14T08:17:55Z,125
2015-03-14T08:17:57Z,126
2015-03-14T08:17:59Z,127
2015-03-14T08:18:00Z,127
2015-03-14T08:18:02Z,126
2015-03-14T08:18:04Z,124
2015-03-14T08:18:06Z,123
2015-03-14T08:18:08Z,122
2015-03-14T08:18:09Z,123
2015-03-14T08:18:11Z,125
2015-03-14T08:18:13Z,125
2015-03-14T08:18:15Z,124
2015-03-14T08:18:17Z,125
2015-03-14T08:18:19Z,126
2015-03-14T08:18:21Z,128
2015-03-14T08:18:23Z,130
2015-03-14T08:18:25Z,130
2015-03-14T08:18:27Z,129
2015-03-14T08:18:28Z,130
2015-03-14T08:18:30Z,130
2015-03-14T08:18:32Z,132
2015-03-14T08:18:34Z,133
2015-03-14T08:18:36Z,133
2015-03-14T08:18:38Z,134
2015-03-14T08:18:40Z,134
2015-03-14T08:18:42Z,135
2015-03-14T08:18:44Z,135
2015-03-14T08:18:59Z,136
2015-03-14T08:19:06Z,133
2015-03-14T08:19:08Z,132
2015-03-14T08:19:10Z,130
2015-03-14T08:19:11Z,128
2015-03-14T08:19:13Z,125
2015-03-14T08:19:15Z,125
2015-03-14T08:19:17Z,123
2015-03-14T08:19:19Z,123
2015-03-14T08:19:21Z,124
2015-03-14T08:19:23Z,125
2015-03-14T08:19:25Z,128
2015-03-14T08:19:27Z,129
2015-03-14T08:19:29Z,128
2015-03-14T08:19:31Z,128
2015-03-14T08:19:32Z,128
2015-03-14T08:19:34Z,127
2015-03-14T08:19:36Z,126
2015-03-14T08:19:37Z,125
2015-03-14T08:19:39Z,124
2015-03-14T08:19:41Z,123
2015-03-14T08:19:43Z,125
2015-03-14T08:19:45Z,125
2015-03-14T08:19:47Z,125
2015-03-14T08:19:49Z,125
2015-03-14T08:19:50Z,127
2015-03-14T08:19:53Z,129
2015-03-14T08:19:55Z,128
2015-03-14T08:19:57Z,129
2015-03-14T08:19:59Z,129
2015-03-14T08:20:01Z,128
2015-03-14T08:20:03Z,127
2015-03-14T08:20:05Z,127
2015-03-14T08:20:07Z,126
2015-03-14T08:20:09Z,126
2015-03-14T08:20:11Z,124
2015-03-14T08:20:13Z,124
2015-03-14T08:20:15Z,123
2015-03-14T08:20:16Z,122
2015-03-14T08:20:18Z,124
2015-03-14T08:20:20Z,124
2015-03-14T08:20:22Z,123
2015-03-14T08:20:23Z,123
2015-03-14T08:20:25Z,122
2015-03-14T08:20:27Z,120
2015-03-14T08:20:29Z,119
2015-03-14T08:20:31Z,119
2015-03-14T08:20:32Z,119
2015-03-14T08:20:34Z,120
2015-03-14T08:20:36Z,121
2015-03-14T08:20:38Z,122
2015-03-14T08:20:40Z,121
2015-03-14T08:20:41Z,120
2015-03-14T08:20:43Z,120
2015-03-14T08:20:45Z,121
2015-03-14T08:20:47Z,121
2015-03-14T08:20:48Z,121
2015-03-14T08:20:50Z,119
2015-03-14T08:20:52Z,119
2015-03-14T08:20:54Z,119
2015-03-14T08:20:55Z,120
2015-03-14T08:20:57Z,120
2015-03-14T08:20:59Z,119
2015-03-14T08:21:00Z,118
2015-03-14T08:21:02Z,118
2015-03-14T08:21:04Z,117
2015-03-14T08:21:06Z,116
2015-03-14T08:21:07Z,117
2015-03-14T08:21:09Z,118
2015-03-14T08:21:11Z,118
2015-03-14T08:21:13Z,119
2015-03-14T08:21:15Z,119
2015-03-14T08:21:17Z,118
2015-03-14T08:21:19Z,117
2015-03-14T08:21:21Z,118
2015-03-14T08:21:22Z,119
2015-03-14T08:21:24Z,119
2015-03-14T08:21:26Z,120
2015-03-14T08:21:27Z,119
2015-03-14T08:21:29Z,119
