Time,HR
11:15:11,68
11:15:12,69
11:15:13,69
11:15:14,69
11:15:15,71
11:15:16,78
11:15:17,85
11:15:18,88
11:15:19,94
11:15:20,97
11:15:21,100
11:15:22,102
11:15:23,103
11:15:24,104
11:15:25,105
11:15:26,105
11:15:27,106
11:15:28,107
11:15:29,108
11:15:30,109
11:15:31,109
11:15:32,110
11:15:33,111
11:15:34,112
11:15:35,112
11:15:36,112
11:15:37,109
11:15:38,108
11:15:39,107
11:15:40,106
11:15:41,105
11:15:42,106
11:15:43,107
11:15:44,108
11:15:45,108
11:15:46,109
11:15:47,110
11:15:48,111
11:15:49,111
11:15:50,112
11:15:51,112
11:15:52,111
11:15:53,112
11:15:54,112
11:15:55,113
11:15:56,114
11:15:57,114
11:15:58,114
11:15:59,114
11:16:00,115
11:16:01,115
11:16:02,114
11:16:03,115
11:16:04,115
11:16:05,111
11:16:06,112
11:16:07,112
11:16:08,110
11:16:09,109
11:16:10,109
11:16:11,109
11:16:12,109
11:16:13,109
11:16:14,109
11:16:15,109
11:16:16,110
11:16:17,111
11:16:18,112
11:16:19,114
11:16:20,115
11:16:21,117
11:16:22,118
11:16:23,118
11:16:24,119
11:16:25,118
11:16:26,118
11:16:27,118
11:16:28,118
11:16:29,119
11:16:30,119
11:16:31,119
11:16:32,120
11:16:33,120
11:16:34,120
11:16:35,121
11:16:36,122
11:16:37,122
11:16:38,123
11:16:39,123
11:16:40,122
11:16:41,123
11:16:42,122
11:16:43,122
11:16:44,122
11:16:45,122
11:16:46,123
11:16:47,124
11:16:48,124
11:16:49,124
11:16:50,126
11:16:51,127
11:16:52,128
11:16:53,127
11:16:54,127
11:16:55,127
11:16:56,127
11:16:57,127
11:16:58,126
11:16:59,126
11:17:00,126
11:17:01,125
11:17:02,124
11:17:03,124
11:17:04,124
11:17:05,124
11:17:06,124
11:17:07,125
11:17:08,125
11:17:09,124
11:17:10,125
11:17:11,124
11:17:12,124
11:17:13,125
11:17:14,124
11:17:15,124
11:17:16,125
11:17:17,125
11:17:18,125
11:17:19,125
11:17:20,125
11:17:21,125
11:17:22,125
11:17:23,124
11:17:24,124
11:17:25,132
11:17:26,133
11:17:27,133
11:17:28,128
11:17:29,127
11:17:30,126
11:17:31,124
11:17:32,124
11:17:33,124
11:17:34,124
11:17:35,124
11:17:36,124
11:17:37,124
11:17:38,124
11:17:39,124
11:17:40,123
11:17:41,123
11:17:42,123
11:17:43,123
11:17:44,124
11:17:45,123
11:17:46,124
11:17:47,124
11:17:48,123
11:17:49,124
11:17:50,123
11:17:51,123
11:17:52,123
11:17:53,122
11:17:54,121
11:17:55,121
11:17:56,120
11:17:57,121
11:17:58,121
11:17:59,121
11:18:00,120
11:18:01,121
11:18:02,121
11:18:03,121
11:18:04,122
11:18:05,124
11:18:06,123
11:18:07,124
11:18:08,124
11:18:09,124
11:18:10,124
11:18:11,124
11:18:12,125
11:18:13,125
11:18:14,126
11:18:15,125
11:18:16,125
11:18:17,125
11:18:18,124
11:18:19,124
11:18:20,124
11:18:21,123
11:18:22,121
11:18:23,121
11:18:24,120
11:18:25,120
11:18:26,120
11:18:27,121
11:18:28,121
11:18:29,122
11:18:30,123
11:18:31,124
11:18:32,124
11:18:33,122
11:18:34,124
11:18:35,122
11:18:36,122
11:18:37,122
11:18:38,121
11:18:39,120
11:18:40,120
11:18:41,121
11:18:42,121
11:18:43,121
11:18:44,120
11:18:45,120
11:18:46,120
11:18:47,119
11:18:48,118
11:18:49,118
11:18:50,127
11:18:51,133
11:18:52,138
11:18:53,140
11:18:54,141
11:18:55,141
11:18:56,136
11:18:57,129
11:18:58,124
11:18:59,124
11:19:00,124
11:19:01,122
11:19:02,121
11:19:03,120
11:19:04,119
11:19:05,118
11:19:06,116
11:19:07,115
11:19:08,115
11:19:09,114
11:19:10,113
11:19:11,114
11:19:12,113
11:19:13,113
11:19:14,111
11:19:15,111
11:19:16,112
11:19:17,113
11:19:18,113
11:19:19,114
11:19:20,116
11:19:21,118
11:19:22,118
11:19:23,117
11:19:24,116
11:19:25,115
11:19:26,113
11:19:27,112
11:19:28,114
11:19:29,112
11:19:30,112
11:19:31,111
11:19:32,113
11:19:33,112
11:19:34,113
11:19:35,114
11:19:36,113
11:19:37,112
11:19:38,111
11:19:39,111
11:19:40,110
11:19:41,110
11:19:42,110
11:19:43,110
11:19:44,110
11:19:45,111
11:19:46,111
11:19:47,111
11:19:48,111
11:19:49,111
11:19:50,111
11:19:51,111
11:19:52,111
11:19:53,111
11:19:54,111
11:19:55,111
11:19:56,111
11:19:57,111
11:19:58,112
11:19:59,114
11:20:00,116
11:20:01,117
11:20:02,117
11:20:03,116
11:20:04,115
11:20:05,114
11:20:06,114
11:20:07,114
11:20:08,114
11:20:09,114
11:20:10,115
11:20:11,115
11:20:12,115
11:20:13,115
11:20:14,115
11:20:15,116
11:20:16,116
11:20:17,117
11:20:18,117
11:20:19,116
11:20:20,117
11:20:21,117
11:20:22,117
11:20:23,117
11:20:24,118
11:20:25,118
11:20:26,119
11:20:27,119
11:20:28,120
11:20:29,120
11:20:30,121
11:20:31,121
11:20:32,121
11:20:33,121
11:20:34,121
11:20:35,122
