Time,HR
2015-06-09T16:52:22Z,142
2015-06-09T16:52:23Z,142
2015-06-09T16:52:24Z,142
2015-06-09T16:52:25Z,142
2015-06-09T16:52:27Z,144
2015-06-09T16:52:28Z,143
2015-06-09T16:52:29Z,143
2015-06-09T16:52:30Z,142
2015-06-09T16:52:32Z,142
2015-06-09T16:52:33Z,144
2015-06-09T16:52:34Z,150
2015-06-09T16:52:36Z,151
2015-06-09T16:52:37Z,150
2015-06-09T16:52:39Z,151
2015-06-09T16:52:40Z,151
2015-06-09T16:52:42Z,153
2015-06-09T16:52:44Z,161
2015-06-09T16:52:46Z,169
2015-06-09T16:52:48Z,167
2015-06-09T16:52:50Z,166
2015-06-09T16:52:52Z,165
2015-06-09T16:52:54Z,166
2015-06-09T16:52:56Z,170
2015-06-09T16:52:58Z,174
2015-06-09T16:52:59Z,174
2015-06-09T16:53:01Z,173
2015-06-09T16:53:03Z,174
2015-06-09T16:53:04Z,174
2015-06-09T16:53:06Z,170
2015-06-09T16:53:08Z,167
2015-06-09T16:53:10Z,167
2015-06-09T16:53:12Z,168
2015-06-09T16:53:14Z,167
2015-06-09T16:53:16Z,168
2015-06-09T16:53:17Z,168
2015-06-09T16:53:18Z,168
2015-06-09T16:53:19Z,168
2015-06-09T16:53:20Z,168
2015-06-09T16:53:22Z,168
2015-06-09T16:53:23Z,168
2015-06-09T16:53:25Z,169
2015-06-09T16:53:26Z,170
2015-06-09T16:53:27Z,173
2015-06-09T16:53:28Z,173
2015-06-09T16:53:30Z,174
2015-06-09T16:53:32Z,172
2015-06-09T16:53:34Z,174
2015-06-09T16:53:35Z,173
2015-06-09T16:53:36Z,172
2015-06-09T16:53:38Z,172
2015-06-09T16:53:40Z,172
2015-06-09T16:53:42Z,172
2015-06-09T16:53:44Z,172
2015-06-09T16:53:46Z,172
2015-06-09T16:53:47Z,172
2015-06-09T16:53:48Z,172
2015-06-09T16:53:49Z,172
2015-06-09T16:53:50Z,172
2015-06-09T16:53:52Z,174
2015-06-09T16:53:54Z,175
2015-06-09T16:53:55Z,176
2015-06-09T16:53:56Z,177
2015-06-09T16:53:58Z,177
2015-06-09T16:54:00Z,175
2015-06-09T16:54:02Z,176
2015-06-09T16:54:03Z,175
2015-06-09T16:54:04Z,174
2015-06-09T16:54:05Z,173
2015-06-09T16:54:06Z,172
2015-06-09T16:54:08Z,172
2015-06-09T16:54:10Z,171
2015-06-09T16:54:12Z,171
2015-06-09T16:54:13Z,171
2015-06-09T16:54:15Z,171
2015-06-09T16:54:17Z,171
2015-06-09T16:54:18Z,171
2015-06-09T16:54:20Z,171
2015-06-09T16:54:22Z,171
2015-06-09T16:54:23Z,171
2015-06-09T16:54:25Z,170
2015-06-09T16:54:26Z,169
2015-06-09T16:54:27Z,168
2015-06-09T16:54:28Z,168
2015-06-09T16:54:30Z,165
2015-06-09T16:54:32Z,164
2015-06-09T16:54:34Z,162
2015-06-09T16:54:35Z,162
2015-06-09T16:54:36Z,163
2015-06-09T16:54:37Z,161
2015-06-09T16:54:38Z,160
2015-06-09T16:54:39Z,159
2015-06-09T16:54:41Z,159
2015-06-09T16:54:42Z,159
2015-06-09T16:54:44Z,159
2015-06-09T16:54:46Z,159
2015-06-09T16:54:47Z,161
2015-06-09T16:54:48Z,161
2015-06-09T16:54:50Z,159
2015-06-09T16:54:51Z,160
2015-06-09T16:54:52Z,161
2015-06-09T16:54:54Z,162
2015-06-09T16:54:56Z,164
2015-06-09T16:54:58Z,163
2015-06-09T16:54:59Z,164
2015-06-09T16:55:01Z,163
2015-06-09T16:55:02Z,163
2015-06-09T16:55:04Z,162
2015-06-09T16:55:06Z,162
2015-06-09T16:55:08Z,164
2015-06-09T16:55:10Z,167
2015-06-09T16:55:11Z,169
2015-06-09T16:55:12Z,171
2015-06-09T16:55:14Z,173
2015-06-09T16:55:16Z,173
2015-06-09T16:55:17Z,173
2015-06-09T16:55:18Z,172
2015-06-09T16:55:20Z,176
2015-06-09T16:55:22Z,178
2015-06-09T16:55:24Z,175
2015-06-09T16:55:26Z,177
2015-06-09T16:55:28Z,177
2015-06-09T16:55:29Z,176
2015-06-09T16:55:30Z,178
2015-06-09T16:55:32Z,179
2015-06-09T16:55:34Z,179
2015-06-09T16:55:36Z,178
2015-06-09T16:55:38Z,180
2015-06-09T16:55:40Z,181
2015-06-09T16:55:41Z,182
2015-06-09T16:55:43Z,184
2015-06-09T16:55:44Z,184
2015-06-09T16:55:46Z,182
2015-06-09T16:55:48Z,183
2015-06-09T16:55:50Z,179
2015-06-09T16:55:52Z,177
2015-06-09T16:55:53Z,176
2015-06-09T16:55:54Z,175
2015-06-09T16:55:56Z,175
2015-06-09T16:55:57Z,175
2015-06-09T16:55:58Z,175
2015-06-09T16:56:00Z,175
2015-06-09T16:56:01Z,174
2015-06-09T16:56:03Z,175
2015-06-09T16:56:04Z,175
2015-06-09T16:56:06Z,174
2015-06-09T16:56:07Z,172
2015-06-09T16:56:08Z,171
2015-06-09T16:56:09Z,171
2015-06-09T16:56:10Z,171
2015-06-09T16:56:12Z,167
2015-06-09T16:56:14Z,168
2015-06-09T16:56:16Z,166
2015-06-09T16:56:17Z,165
2015-06-09T16:56:18Z,164
2015-06-09T16:56:19Z,163
2015-06-09T16:56:20Z,163
2015-06-09T16:56:22Z,164
2015-06-09T16:56:24Z,164
2015-06-09T16:56:25Z,165
2015-06-09T16:56:26Z,163
2015-06-09T16:56:28Z,164
2015-06-09T16:56:30Z,165
2015-06-09T16:56:32Z,167
2015-06-09T16:56:33Z,166
2015-06-09T16:56:34Z,165
2015-06-09T16:56:36Z,162
2015-06-09T16:56:38Z,164
2015-06-09T16:56:39Z,165
2015-06-09T16:56:40Z,165
2015-06-09T16:56:42Z,167
2015-06-09T16:56:44Z,166
2015-06-09T16:56:45Z,165
2015-06-09T16:56:46Z,164
2015-06-09T16:56:48Z,166
2015-06-09T16:56:50Z,170
2015-06-09T16:56:52Z,172
2015-06-09T16:56:54Z,173
2015-06-09T16:56:56Z,174
2015-06-09T16:56:58Z,170
2015-06-09T16:56:59Z,170
2015-06-09T16:57:01Z,170
2015-06-09T16:57:02Z,170
2015-06-09T16:57:04Z,168
2015-06-09T16:57:06Z,168
2015-06-09T16:57:07Z,168
2015-06-09T16:57:08Z,169
2015-06-09T16:57:10Z,165
2015-06-09T16:57:12Z,167
2015-06-09T16:57:13Z,171
2015-06-09T16:57:14Z,173
2015-06-09T16:57:16Z,174
2015-06-09T16:57:17Z,172
2015-06-09T16:57:18Z,172
2015-06-09T16:57:19Z,172
2015-06-09T16:57:20Z,172
2015-06-09T16:57:22Z,177
2015-06-09T16:57:24Z,180
2015-06-09T16:57:26Z,181
2015-06-09T16:57:27Z,181
2015-06-09T16:57:28Z,181
2015-06-09T16:57:30Z,178
2015-06-09T16:57:32Z,177
2015-06-09T16:57:34Z,176
2015-06-09T16:57:36Z,172
2015-06-09T16:57:38Z,174
2015-06-09T16:57:40Z,175
2015-06-09T16:57:42Z,175
2015-06-09T16:57:43Z,174
2015-06-09T16:57:44Z,172
2015-06-09T16:57:46Z,172
2015-06-09T16:57:48Z,171
2015-06-09T16:57:50Z,168
2015-06-09T16:57:52Z,166
2015-06-09T16:57:53Z,166
2015-06-09T16:57:54Z,166
2015-06-09T16:57:56Z,165
2015-06-09T16:57:58Z,165
2015-06-09T16:57:59Z,166
2015-06-09T16:58:00Z,166
2015-06-09T16:58:02Z,169
2015-06-09T16:58:04Z,166
2015-06-09T16:58:05Z,166
2015-06-09T16:58:06Z,166
2015-06-09T16:58:07Z,165
2015-06-09T16:58:08Z,163
2015-06-09T16:58:09Z,161
2015-06-09T16:58:11Z,163
2015-06-09T16:58:12Z,164
2015-06-09T16:58:13Z,165
2015-06-09T16:58:14Z,164
2015-06-09T16:58:16Z,163
2015-06-09T16:58:18Z,163
2015-06-09T16:58:19Z,163
2015-06-09T16:58:21Z,164
2015-06-09T16:58:22Z,164
2015-06-09T16:58:24Z,164
2015-06-09T16:58:25Z,164
2015-06-09T16:58:26Z,164
2015-06-09T16:58:28Z,164
2015-06-09T16:58:29Z,166
2015-06-09T16:58:30Z,165
2015-06-09T16:58:32Z,165
2015-06-09T16:58:34Z,165
2015-06-09T16:58:35Z,165
2015-06-09T16:58:36Z,165
2015-06-09T16:58:38Z,164
2015-06-09T16:58:39Z,163
2015-06-09T16:58:40Z,164
2015-06-09T16:58:41Z,165
2015-06-09T16:58:42Z,168
2015-06-09T16:58:44Z,173
2015-06-09T16:58:46Z,176
2015-06-09T16:58:48Z,177
2015-06-09T16:58:49Z,178
2015-06-09T16:58:51Z,177
2015-06-09T16:58:53Z,176
2015-06-09T16:58:54Z,175
2015-06-09T16:58:56Z,174
2015-06-09T16:58:58Z,175
2015-06-09T16:58:59Z,176
2015-06-09T16:59:01Z,176
2015-06-09T16:59:02Z,176
2015-06-09T16:59:03Z,176
2015-06-09T16:59:04Z,176
2015-06-09T16:59:05Z,176
2015-06-09T16:59:06Z,177
2015-06-09T16:59:08Z,176
2015-06-09T16:59:10Z,174
2015-06-09T16:59:12Z,174
2015-06-09T16:59:13Z,174
2015-06-09T16:59:14Z,174
2015-06-09T16:59:15Z,174
2015-06-09T16:59:17Z,174
2015-06-09T16:59:18Z,174
2015-06-09T16:59:19Z,174
2015-06-09T16:59:20Z,174
2015-06-09T16:59:21Z,174
2015-06-09T16:59:22Z,174
2015-06-09T16:59:23Z,174
2015-06-09T16:59:24Z,174
2015-06-09T16:59:25Z,174
2015-06-09T16:59:26Z,174
2015-06-09T16:59:27Z,174
2015-06-09T16:59:28Z,173
2015-06-09T16:59:30Z,173
2015-06-09T16:59:32Z,171
2015-06-09T16:59:34Z,172
2015-06-09T16:59:35Z,172
2015-06-09T16:59:36Z,172
2015-06-09T16:59:38Z,171
2015-06-09T16:59:40Z,172
2015-06-09T16:59:42Z,172
2015-06-09T16:59:44Z,173
2015-06-09T16:59:46Z,173
2015-06-09T16:59:47Z,174
2015-06-09T16:59:49Z,172
2015-06-09T16:59:51Z,172
2015-06-09T16:59:52Z,172
2015-06-09T16:59:53Z,172
