Time,HR
00:00:00,147
00:00:10,146
00:00:20,146
00:00:30,146
00:00:40,147
00:00:50,149
00:01:00,149
00:01:10,149
00:01:20,150
00:01:30,150
00:01:40,149
00:01:50,148
00:02:00,146
00:02:10,145
00:02:20,144
00:02:30,142
00:02:40,140
00:02:50,137
00:03:00,133
00:03:10,132
00:03:20,133
00:03:30,132
00:03:40,129
00:03:50,127
00:04:00,125
00:04:10,127
00:04:20,128
00:04:30,128
00:04:40,127
00:04:50,126
00:05:00,125
00:05:10,124
00:05:20,125
00:05:30,126
00:05:40,124
00:05:50,125
00:06:00,130
00:06:10,136
00:06:20,140
00:06:30,144
00:06:40,144
00:06:50,146
00:07:00,148
00:07:10,148
00:07:20,143
00:07:30,143
00:07:40,141
00:07:50,138
00:08:00,136
00:08:10,132
00:08:20,133
00:08:30,136
00:08:40,135
00:08:50,136
00:09:00,137
00:09:10,138
00:09:20,138
00:09:30,137
00:09:40,135
00:09:50,134
00:10:00,132
00:10:10,123
00:10:20,129
00:10:30,128
00:10:40,128
00:10:50,124
00:11:00,127
00:11:10,129
00:11:20,131
00:11:30,132
00:11:40,132
00:11:50,129
00:12:00,127
00:12:10,127
00:12:20,129
00:12:30,129
00:12:40,128
00:12:50,130
00:13:00,131
00:13:10,130
00:13:20,131
00:13:30,128
00:13:40,124
00:13:50,118
00:14:00,118
00:14:10,122
00:14:20,126
00:14:30,131
00:14:40,134
00:14:50,138
00:15:00,140
00:15:10,143
00:15:20,144
00:15:30,146
00:15:40,147
00:15:50,148
00:16:00,148
00:16:10,147
00:16:20,144
00:16:30,143
00:16:40,143
00:16:50,144
00:17:00,145
00:17:10,145
00:17:20,145
00:17:30,145
00:17:40,144
00:17:50,143
00:18:00,142
00:18:10,141
00:18:20,141
00:18:30,140
00:18:40,140
00:18:50,139
00:19:00,137
00:19:10,136
00:19:20,134
00:19:30,131
00:19:40,127
00:19:50,122
00:20:00,120
00:20:10,125
00:20:20,126
00:20:30,130
00:20:40,133
00:20:50,135
00:21:00,137
00:21:10,138
00:21:20,138
00:21:30,137
00:21:40,136
00:21:50,136
00:22:00,132
00:22:10,127
00:22:20,123
00:22:30,119
00:22:40,119
00:22:50,120
00:23:00,124
00:23:10,127
00:23:20,132
00:23:30,135
00:23:40,138
00:23:50,139
00:24:00,140
00:24:10,135
00:24:20,130
00:24:30,136
00:24:40,138
00:24:50,142
00:25:00,144
00:25:10,147
00:25:20,151
00:25:30,153
00:25:40,153
00:25:50,154
00:26:00,156
00:26:10,157
00:26:20,158
00:26:30,157
00:26:40,159
00:26:50,160
00:27:00,161
00:27:10,161
00:27:20,162
00:27:30,163
00:27:40,166
00:27:50,169
00:28:00,172
00:28:10,173
00:28:20,171
00:28:30,166
00:28:40,161
00:28:50,158
00:29:00,154
00:29:10,149
00:29:20,144
00:29:30,140
00:29:40,134
00:29:50,131
00:30:00,128
00:30:10,125
00:30:20,124
00:30:30,120
00:30:40,118
00:30:50,118
00:31:00,117
00:31:10,117
00:31:20,116
00:31:30,115
00:31:40,113
00:31:50,110
00:32:00,106
00:32:10,106
00:32:20,105
00:32:30,103
00:32:40,101
00:32:50,96
00:33:00,103
00:33:10,104
00:33:20,104
00:33:30,105
00:33:40,110
00:33:50,112
00:34:00,108
00:34:10,111
00:34:20,102
00:34:30,105
00:34:40,104
00:34:50,103
00:35:00,104
00:35:10,106
00:35:20,105
00:35:30,105
00:35:40,105
00:35:50,104
00:36:00,107
00:36:10,107
00:36:20,105
00:36:30,103
00:36:40,101
00:36:50,105
00:37:00,111
00:37:10,111
00:37:20,107
00:37:30,111
00:37:40,111
00:37:50,110
00:38:00,110
00:38:10,110
