Time,HR
00:00:00,92
00:00:10,88
00:00:20,96
00:00:30,114
00:00:40,126
00:00:50,133
00:01:00,138
00:01:10,144
00:01:20,148
00:01:30,148
00:01:40,145
00:01:50,147
00:02:00,149
00:02:10,152
00:02:20,151
00:02:30,148
00:02:40,148
00:02:50,150
00:03:00,151
00:03:10,152
00:03:20,152
00:03:30,152
00:03:40,151
00:03:50,152
00:04:00,153
00:04:10,154
00:04:20,155
00:04:30,155
00:04:40,155
00:04:50,157
00:05:00,159
00:05:10,160
00:05:20,160
00:05:30,161
00:05:40,162
00:05:50,162
00:06:00,163
00:06:10,163
00:06:20,164
00:06:30,165
00:06:40,163
00:06:50,163
00:07:00,164
00:07:10,163
00:07:20,158
00:07:30,162
00:07:40,166
00:07:50,166
00:08:00,166
00:08:10,164
00:08:20,163
00:08:30,161
00:08:40,162
00:08:50,164
00:09:00,165
00:09:10,167
00:09:20,167
00:09:30,167
00:09:40,167
00:09:50,167
00:10:00,167
00:10:10,167
00:10:20,167
00:10:30,168
00:10:40,169
00:10:50,169
00:11:00,168
00:11:10,168
00:11:20,169
00:11:30,168
00:11:40,169
00:11:50,166
00:12:00,166
00:12:10,166
00:12:20,165
00:12:30,164
00:12:40,164
00:12:50,164
00:13:00,164
00:13:10,165
00:13:20,166
00:13:30,163
00:13:40,162
00:13:50,161
00:14:00,159
00:14:10,159
00:14:20,159
00:14:30,160
00:14:40,159
00:14:50,160
00:15:00,159
00:15:10,160
00:15:20,161
00:15:30,162
00:15:40,161
00:15:50,161
00:16:00,163
00:16:10,163
00:16:20,163
00:16:30,161
00:16:40,159
00:16:50,159
00:17:00,160
00:17:10,159
00:17:20,159
00:17:30,159
00:17:40,156
00:17:50,155
00:18:00,159
00:18:10,158
00:18:20,158
00:18:30,161
00:18:40,163
00:18:50,164
00:19:00,166
00:19:10,167
00:19:20,164
00:19:30,162
00:19:40,163
00:19:50,163
00:20:00,164
00:20:10,165
00:20:20,165
00:20:30,164
00:20:40,164
00:20:50,163
00:21:00,162
00:21:10,164
00:21:20,167
00:21:30,169
00:21:40,170
00:21:50,170
00:22:00,172
00:22:10,172
00:22:20,171
00:22:30,168
00:22:40,165
00:22:50,163
00:23:00,163
00:23:10,164
00:23:20,164
00:23:30,163
00:23:40,163
00:23:50,163
00:24:00,165
00:24:10,167
00:24:20,166
00:24:30,164
00:24:40,164
00:24:50,163
00:25:00,159
00:25:10,163
00:25:20,164
00:25:30,164
00:25:40,163
00:25:50,164
00:26:00,165
00:26:10,165
00:26:20,165
00:26:30,166
00:26:40,167
00:26:50,167
00:27:00,168
00:27:10,167
00:27:20,167
00:27:30,166
00:27:40,166
00:27:50,165
00:28:00,165
00:28:10,164
00:28:20,163
00:28:30,163
00:28:40,164
00:28:50,164
00:29:00,166
00:29:10,165
00:29:20,165
00:29:30,164
00:29:40,163
00:29:50,163
00:30:00,162
00:30:10,163
00:30:20,165
00:30:30,164
00:30:40,162
00:30:50,160
00:31:00,162
00:31:10,164
00:31:20,164
00:31:30,164
00:31:40,165
00:31:50,166
00:32:00,166
00:32:10,168
00:32:20,169
00:32:30,168
00:32:40,166
00:32:50,166
00:33:00,166
00:33:10,166
00:33:20,167
00:33:30,171
00:33:40,172
00:33:50,171
00:34:00,171
00:34:10,172
00:34:20,173
00:34:30,173
00:34:40,171
00:34:50,165
00:35:00,157
00:35:10,145
00:35:20,136
00:35:30,124
00:35:40,120
00:35:50,121
00:36:00,120
