Time,HR
2014-04-21T12:07:27.000Z,121
2014-04-21T12:07:33.000Z,122
2014-04-21T12:07:38.000Z,122
2014-04-21T12:07:43.000Z,123
2014-04-21T12:07:47.000Z,123
2014-04-21T12:07:52.000Z,122
2014-04-21T12:07:53.000Z,122
2014-04-21T12:07:59.000Z,121
2014-04-21T12:08:04.000Z,122
2014-04-21T12:08:09.000Z,121
2014-04-21T12:08:13.000Z,121
2014-04-21T12:08:19.000Z,123
2014-04-21T12:08:24.000Z,121
2014-04-21T12:08:29.000Z,121
2014-04-21T12:08:34.000Z,121
2014-04-21T12:08:40.000Z,121
2014-04-21T12:08:46.000Z,121
2014-04-21T12:08:50.000Z,122
2014-04-21T12:08:56.000Z,121
2014-04-21T12:09:01.000Z,117
2014-04-21T12:09:05.000Z,118
2014-04-21T12:09:09.000Z,121
2014-04-21T12:09:14.000Z,126
2014-04-21T12:09:19.000Z,127
2014-04-21T12:09:23.000Z,128
2014-04-21T12:09:28.000Z,127
2014-04-21T12:09:32.000Z,128
2014-04-21T12:09:36.000Z,129
2014-04-21T12:09:42.000Z,129
2014-04-21T12:09:44.000Z,129
2014-04-21T12:09:49.000Z,129
2014-04-21T12:09:50.000Z,129
2014-04-21T12:09:55.000Z,127
2014-04-21T12:09:59.000Z,126
2014-04-21T12:10:03.000Z,125
2014-04-21T12:10:07.000Z,124
2014-04-21T12:10:11.000Z,123
2014-04-21T12:10:17.000Z,124
2014-04-21T12:10:21.000Z,126
2014-04-21T12:10:26.000Z,126
2014-04-21T12:10:27.000Z,126
2014-04-21T12:10:33.000Z,128
2014-04-21T12:10:37.000Z,130
2014-04-21T12:10:38.000Z,130
2014-04-21T12:10:40.000Z,132
2014-04-21T12:10:45.000Z,138
2014-04-21T12:10:46.000Z,140
2014-04-21T12:10:48.000Z,142
2014-04-21T12:10:51.000Z,145
2014-04-21T12:10:57.000Z,148
2014-04-21T12:10:59.000Z,147
2014-04-21T12:11:05.000Z,143
2014-04-21T12:11:06.000Z,143
2014-04-21T12:11:11.000Z,140
2014-04-21T12:11:18.000Z,136
2014-04-21T12:11:23.000Z,135
2014-04-21T12:11:28.000Z,131
2014-04-21T12:11:33.000Z,128
2014-04-21T12:11:39.000Z,127
2014-04-21T12:11:43.000Z,123
2014-04-21T12:11:47.000Z,123
2014-04-21T12:11:52.000Z,122
2014-04-21T12:11:58.000Z,122
2014-04-21T12:12:03.000Z,121
2014-04-21T12:12:07.000Z,121
2014-04-21T12:12:11.000Z,122
2014-04-21T12:12:12.000Z,123
2014-04-21T12:12:16.000Z,124
2014-04-21T12:12:18.000Z,125
2014-04-21T12:12:23.000Z,128
2014-04-21T12:12:28.000Z,127
2014-04-21T12:12:32.000Z,128
2014-04-21T12:12:37.000Z,126
2014-04-21T12:12:42.000Z,126
2014-04-21T12:12:48.000Z,126
2014-04-21T12:12:53.000Z,126
2014-04-21T12:12:58.000Z,127
2014-04-21T12:13:02.000Z,127
2014-04-21T12:13:07.000Z,129
2014-04-21T12:13:11.000Z,129
2014-04-21T12:13:18.000Z,128
2014-04-21T12:13:24.000Z,129
2014-04-21T12:13:29.000Z,131
2014-04-21T12:13:33.000Z,133
2014-04-21T12:13:38.000Z,131
2014-04-21T12:13:40.000Z,129
2014-04-21T12:13:46.000Z,128
2014-04-21T12:13:51.000Z,130
2014-04-21T12:13:55.000Z,134
2014-04-21T12:14:01.000Z,132
2014-04-21T12:14:04.000Z,131
2014-04-21T12:14:08.000Z,132
2014-04-21T12:14:12.000Z,136
2014-04-21T12:14:15.000Z,141
2014-04-21T12:14:20.000Z,145
2014-04-21T12:14:25.000Z,144
2014-04-21T12:14:31.000Z,139
2014-04-21T12:14:35.000Z,136
2014-04-21T12:14:39.000Z,133
2014-04-21T12:14:45.000Z,129
2014-04-21T12:14:47.000Z,128
2014-04-21T12:14:52.000Z,126
2014-04-21T12:14:56.000Z,125
2014-04-21T12:14:57.000Z,124
2014-04-21T12:15:00.000Z,123
2014-04-21T12:15:06.000Z,124
2014-04-21T12:15:11.000Z,122
2014-04-21T12:15:15.000Z,120
2014-04-21T12:15:19.000Z,121
2014-04-21T12:15:24.000Z,123
2014-04-21T12:15:30.000Z,127
2014-04-21T12:15:34.000Z,122
2014-04-21T12:15:37.000Z,117
2014-04-21T12:15:43.000Z,116
2014-04-21T12:15:48.000Z,115
2014-04-21T12:15:52.000Z,114
2014-04-21T12:15:57.000Z,115
2014-04-21T12:16:03.000Z,118
2014-04-21T12:16:08.000Z,116
2014-04-21T12:16:18.000Z,119
2014-04-21T12:16:23.000Z,118
2014-04-21T12:16:25.000Z,119
2014-04-21T12:16:32.000Z,122
2014-04-21T12:16:38.000Z,120
2014-04-21T12:16:42.000Z,112
2014-04-21T12:16:43.000Z,112
2014-04-21T12:16:47.000Z,112
2014-04-21T12:16:48.000Z,111
2014-04-21T12:16:54.000Z,112
2014-04-21T12:16:57.000Z,113
2014-04-21T12:17:00.000Z,114
2014-04-21T12:17:05.000Z,114
2014-04-21T12:17:07.000Z,114
2014-04-21T12:17:14.000Z,115
2014-04-21T12:17:17.000Z,114
2014-04-21T12:17:21.000Z,114
2014-04-21T12:17:27.000Z,112
2014-04-21T12:17:28.000Z,112
