Time,HR
2015-03-05T10:34:31Z,132
2015-03-05T10:34:32Z,132
2015-03-05T10:34:33Z,132
2015-03-05T10:34:34Z,133
2015-03-05T10:34:35Z,132
2015-03-05T10:34:37Z,132
2015-03-05T10:34:38Z,133
2015-03-05T10:34:39Z,132
2015-03-05T10:34:40Z,132
2015-03-05T10:34:41Z,131
2015-03-05T10:34:42Z,131
2015-03-05T10:34:43Z,131
2015-03-05T10:34:44Z,130
2015-03-05T10:34:45Z,131
2015-03-05T10:34:46Z,131
2015-03-05T10:34:47Z,132
2015-03-05T10:34:48Z,133
2015-03-05T10:34:49Z,133
2015-03-05T10:34:50Z,134
2015-03-05T10:34:51Z,135
2015-03-05T10:34:52Z,134
2015-03-05T10:34:53Z,134
2015-03-05T10:34:54Z,135
2015-03-05T10:34:55Z,134
2015-03-05T10:34:56Z,134
2015-03-05T10:34:57Z,134
2015-03-05T10:34:58Z,134
2015-03-05T10:34:59Z,133
2015-03-05T10:35:00Z,133
2015-03-05T10:35:01Z,133
2015-03-05T10:35:02Z,133
2015-03-05T10:35:03Z,132
2015-03-05T10:35:04Z,133
2015-03-05T10:35:05Z,133
2015-03-05T10:35:06Z,134
2015-03-05T10:35:07Z,135
2015-03-05T10:35:08Z,136
2015-03-05T10:35:09Z,136
2015-03-05T10:35:10Z,136
2015-03-05T10:35:11Z,136
2015-03-05T10:35:12Z,136
2015-03-05T10:35:13Z,137
2015-03-05T10:35:14Z,137
2015-03-05T10:35:16Z,138
2015-03-05T10:35:18Z,137
2015-03-05T10:35:19Z,138
2015-03-05T10:35:20Z,139
2015-03-05T10:35:21Z,140
2015-03-05T10:35:22Z,139
2015-03-05T10:35:23Z,139
2015-03-05T10:35:24Z,140
2015-03-05T10:35:25Z,140
2015-03-05T10:35:26Z,141
2015-03-05T10:35:28Z,141
2015-03-05T10:35:29Z,141
2015-03-05T10:35:31Z,142
2015-03-05T10:35:32Z,142
2015-03-05T10:35:33Z,142
2015-03-05T10:35:34Z,141
2015-03-05T10:35:35Z,143
2015-03-05T10:35:36Z,143
2015-03-05T10:35:37Z,143
2015-03-05T10:35:38Z,141
2015-03-05T10:35:39Z,141
2015-03-05T10:35:40Z,142
2015-03-05T10:35:41Z,142
2015-03-05T10:35:42Z,142
2015-03-05T10:35:43Z,142
2015-03-05T10:35:44Z,143
2015-03-05T10:35:45Z,143
2015-03-05T10:35:46Z,143
2015-03-05T10:35:47Z,143
2015-03-05T10:35:48Z,143
2015-03-05T10:35:49Z,144
2015-03-05T10:35:50Z,144
2015-03-05T10:35:51Z,145
2015-03-05T10:35:52Z,145
2015-03-05T10:35:53Z,144
2015-03-05T10:35:54Z,143
2015-03-05T10:35:55Z,143
2015-03-05T10:35:56Z,143
2015-03-05T10:35:57Z,142
2015-03-05T10:35:58Z,140
2015-03-05T10:35:59Z,139
2015-03-05T10:36:00Z,138
2015-03-05T10:36:02Z,137
2015-03-05T10:36:04Z,137
2015-03-05T10:36:05Z,136
2015-03-05T10:36:06Z,136
2015-03-05T10:36:07Z,136
2015-03-05T10:36:08Z,136
2015-03-05T10:36:09Z,136
2015-03-05T10:36:11Z,137
2015-03-05T10:36:12Z,138
2015-03-05T10:36:14Z,137
2015-03-05T10:36:15Z,138
2015-03-05T10:36:17Z,136
2015-03-05T10:36:18Z,137
2015-03-05T10:36:19Z,137
2015-03-05T10:36:21Z,136
2015-03-05T10:36:22Z,136
2015-03-05T10:36:23Z,137
2015-03-05T10:36:24Z,136
2015-03-05T10:36:25Z,137
2015-03-05T10:36:26Z,137
2015-03-05T10:36:27Z,137
2015-03-05T10:36:28Z,137
2015-03-05T10:36:29Z,137
2015-03-05T10:36:30Z,138
2015-03-05T10:36:31Z,138
2015-03-05T10:36:32Z,138
2015-03-05T10:36:33Z,140
2015-03-05T10:36:34Z,140
2015-03-05T10:36:35Z,140
2015-03-05T10:36:36Z,140
