Time,HR
2015-05-25T22:05:06.000Z,78
2015-05-25T22:05:07.000Z,77
2015-05-25T22:05:13.000Z,80
2015-05-25T22:05:20.000Z,80
2015-05-25T22:05:23.000Z,83
2015-05-25T22:05:30.000Z,84
2015-05-25T22:05:31.000Z,90
2015-05-25T22:05:32.000Z,90
2015-05-25T22:05:33.000Z,94
2015-05-25T22:05:35.000Z,99
2015-05-25T22:05:38.000Z,103
2015-05-25T22:05:40.000Z,107
2015-05-25T22:05:44.000Z,111
2015-05-25T22:05:48.000Z,114
2015-05-25T22:05:53.000Z,117
2015-05-25T22:05:56.000Z,120
2015-05-25T22:05:58.000Z,123
2015-05-25T22:06:06.000Z,125
2015-05-25T22:06:09.000Z,128
2015-05-25T22:06:14.000Z,131
2015-05-25T22:06:21.000Z,134
2015-05-25T22:06:25.000Z,137
2015-05-25T22:06:30.000Z,139
2015-05-25T22:06:34.000Z,142
2015-05-25T22:06:39.000Z,145
2015-05-25T22:06:44.000Z,148
2015-05-25T22:06:49.000Z,151
2015-05-25T22:06:50.000Z,151
2015-05-25T22:06:57.000Z,153
2015-05-25T22:07:01.000Z,157
2015-05-25T22:07:09.000Z,158
2015-05-25T22:07:16.000Z,159
2015-05-25T22:07:21.000Z,164
2015-05-25T22:07:29.000Z,163
2015-05-25T22:07:35.000Z,163
2015-05-25T22:07:41.000Z,164
2015-05-25T22:07:48.000Z,164
2015-05-25T22:07:52.000Z,164
2015-05-25T22:07:59.000Z,164
2015-05-25T22:08:06.000Z,163
2015-05-25T22:08:13.000Z,162
2015-05-25T22:08:20.000Z,163
2015-05-25T22:08:27.000Z,162
2015-05-25T22:08:34.000Z,162
2015-05-25T22:08:41.000Z,163
2015-05-25T22:08:48.000Z,164
2015-05-25T22:08:50.000Z,167
2015-05-25T22:08:57.000Z,164
2015-05-25T22:09:04.000Z,164
2015-05-25T22:09:11.000Z,164
2015-05-25T22:09:16.000Z,161
2015-05-25T22:09:22.000Z,162
2015-05-25T22:09:25.000Z,159
2015-05-25T22:09:32.000Z,157
2015-05-25T22:09:39.000Z,159
2015-05-25T22:09:46.000Z,158
2015-05-25T22:09:51.000Z,155
2015-05-25T22:09:58.000Z,157
2015-05-25T22:10:05.000Z,156
2015-05-25T22:10:12.000Z,155
2015-05-25T22:10:19.000Z,155
2015-05-25T22:10:26.000Z,154
2015-05-25T22:10:33.000Z,154
2015-05-25T22:10:40.000Z,151
2015-05-25T22:10:45.000Z,150
2015-05-25T22:10:47.000Z,147
2015-05-25T22:10:52.000Z,144
2015-05-25T22:11:00.000Z,144
2015-05-25T22:11:08.000Z,146
2015-05-25T22:11:15.000Z,147
2015-05-25T22:11:21.000Z,144
2015-05-25T22:11:26.000Z,141
2015-05-25T22:11:33.000Z,141
2015-05-25T22:11:39.000Z,141
2015-05-25T22:11:46.000Z,142
2015-05-25T22:11:51.000Z,142
