Time,HR
00:00:00,74
00:00:10,70
00:00:20,79
00:00:30,91
00:00:40,84
00:00:50,97
00:01:00,106
00:01:10,104
00:01:20,107
00:01:30,111
00:01:40,112
00:01:50,113
00:02:00,114
00:02:10,113
00:02:20,115
00:02:30,117
00:02:40,114
00:02:50,117
00:03:00,119
00:03:10,126
00:03:20,134
00:03:30,134
00:03:40,133
00:03:50,131
00:04:00,131
00:04:10,129
00:04:20,127
00:04:30,126
00:04:40,126
00:04:50,125
00:05:00,127
00:05:10,131
00:05:20,134
00:05:30,135
00:05:40,137
00:05:50,138
00:06:00,139
00:06:10,138
00:06:20,135
00:06:30,131
00:06:40,130
00:06:50,129
00:07:00,130
00:07:10,130
00:07:20,130
00:07:30,128
00:07:40,130
00:07:50,130
00:08:00,131
00:08:10,132
00:08:20,131
00:08:30,129
00:08:40,126
00:08:50,122
00:09:00,119
00:09:10,119
00:09:20,122
00:09:30,129
00:09:40,136
00:09:50,138
00:10:00,136
00:10:10,136
00:10:20,138
00:10:30,138
00:10:40,136
00:10:50,133
00:11:00,133
00:11:10,132
00:11:20,132
00:11:30,131
00:11:40,132
00:11:50,135
00:12:00,136
00:12:10,137
00:12:20,135
00:12:30,137
00:12:40,140
00:12:50,139
00:13:00,138
00:13:10,136
00:13:20,135
00:13:30,135
00:13:40,139
00:13:50,140
00:14:00,141
00:14:10,143
00:14:20,142
00:14:30,140
00:14:40,135
00:14:50,131
00:15:00,128
00:15:10,126
00:15:20,125
00:15:30,126
00:15:40,125
00:15:50,124
00:16:00,127
00:16:10,133
00:16:20,137
00:16:30,141
00:16:40,143
00:16:50,139
00:17:00,136
00:17:10,139
00:17:20,139
00:17:30,136
00:17:40,135
00:17:50,136
00:18:00,135
00:18:10,135
00:18:20,136
00:18:30,136
00:18:40,134
00:18:50,134
00:19:00,136
00:19:10,137
00:19:20,140
00:19:30,142
00:19:40,142
00:19:50,143
00:20:00,142
00:20:10,142
00:20:20,143
00:20:30,142
00:20:40,143
00:20:50,144
00:21:00,143
00:21:10,140
00:21:20,140
00:21:30,138
00:21:40,138
00:21:50,140
00:22:00,142
00:22:10,142
00:22:20,140
00:22:30,142
00:22:40,141
00:22:50,139
00:23:00,138
00:23:10,137
00:23:20,136
00:23:30,134
00:23:40,131
00:23:50,127
00:24:00,125
00:24:10,128
00:24:20,127
00:24:30,131
00:24:40,135
00:24:50,138
00:25:00,139
00:25:10,137
00:25:20,133
00:25:30,132
00:25:40,132
00:25:50,133
00:26:00,132
00:26:10,130
00:26:20,128
00:26:30,129
00:26:40,134
00:26:50,137
00:27:00,139
00:27:10,141
00:27:20,142
00:27:30,141
00:27:40,139
00:27:50,138
00:28:00,138
00:28:10,138
00:28:20,139
00:28:30,139
00:28:40,142
00:28:50,147
00:29:00,149
00:29:10,148
00:29:20,145
00:29:30,143
00:29:40,140
00:29:50,139
00:30:00,137
00:30:10,140
00:30:20,143
00:30:30,143
00:30:40,143
00:30:50,145
00:31:00,145
00:31:10,146
00:31:20,145
00:31:30,144
00:31:40,144
00:31:50,145
00:32:00,144
00:32:10,142
00:32:20,136
00:32:30,135
00:32:40,135
00:32:50,137
00:33:00,137
00:33:10,137
00:33:20,136
00:33:30,137
00:33:40,139
00:33:50,140
00:34:00,140
00:34:10,141
00:34:20,140
00:34:30,140
00:34:40,140
00:34:50,140
00:35:00,141
00:35:10,141
00:35:20,141
00:35:30,140
00:35:40,141
00:35:50,144
00:36:00,144
00:36:10,145
00:36:20,145
00:36:30,144
00:36:40,147
00:36:50,147
00:37:00,144
00:37:10,143
00:37:20,145
00:37:30,146
00:37:40,145
00:37:50,144
00:38:00,145
00:38:10,149
00:38:20,151
00:38:30,153
00:38:40,153
00:38:50,151
00:39:00,150
00:39:10,148
00:39:20,147
00:39:30,143
00:39:40,137
00:39:50,134
00:40:00,137
00:40:10,138
00:40:20,138
00:40:30,142
00:40:40,144
00:40:50,145
00:41:00,147
00:41:10,152
00:41:20,152
00:41:30,150
00:41:40,150
00:41:50,148
00:42:00,146
00:42:10,143
00:42:20,143
00:42:30,142
00:42:40,144
00:42:50,145
00:43:00,145
00:43:10,145
00:43:20,144
00:43:30,141
00:43:40,140
00:43:50,142
00:44:00,145
00:44:10,146
00:44:20,142
00:44:30,144
00:44:40,146
00:44:50,146
00:45:00,147
00:45:10,147
00:45:20,146
00:45:30,144
00:45:40,143
00:45:50,144
00:46:00,143
00:46:10,143
00:46:20,145
00:46:30,146
00:46:40,146
00:46:50,145
00:47:00,142
00:47:10,142
00:47:20,139
00:47:30,136
00:47:40,135
00:47:50,134
00:48:00,134
00:48:10,134
00:48:20,135
00:48:30,135
00:48:40,133
00:48:50,133
00:49:00,134
00:49:10,133
00:49:20,132
00:49:30,130
00:49:40,133
00:49:50,135
00:50:00,133
00:50:10,132
00:50:20,133
00:50:30,134
00:50:40,136
00:50:50,135
00:51:00,134
00:51:10,134
00:51:20,132
00:51:30,132
00:51:40,133
00:51:50,134
00:52:00,134
00:52:10,135
00:52:20,134
00:52:30,136
00:52:40,141
00:52:50,145
00:53:00,147
00:53:10,149
00:53:20,148
00:53:30,145
00:53:40,145
00:53:50,144
00:54:00,141
00:54:10,142
00:54:20,141
00:54:30,143
00:54:40,145
00:54:50,147
00:55:00,148
00:55:10,153
00:55:20,155
00:55:30,154
00:55:40,150
00:55:50,145
00:56:00,142
00:56:10,140
00:56:20,140
00:56:30,138
00:56:40,138
00:56:50,141
00:57:00,143
00:57:10,142
00:57:20,143
00:57:30,141
00:57:40,141
00:57:50,141
00:58:00,139
00:58:10,141
00:58:20,143
00:58:30,146
00:58:40,150
00:58:50,150
00:59:00,148
00:59:10,148
00:59:20,149
00:59:30,151
00:59:40,154
00:59:50,153
01:00:00,151
01:00:10,150
01:00:20,149
01:00:30,148
01:00:40,150
01:00:50,148
01:01:00,145
01:01:10,140
01:01:20,138
01:01:30,138
01:01:40,138
01:01:50,140
01:02:00,141
01:02:10,144
01:02:20,146
01:02:30,145
01:02:40,145
01:02:50,141
01:03:00,144
01:03:10,148
01:03:20,146
01:03:30,147
01:03:40,147
01:03:50,145
01:04:00,144
01:04:10,141
01:04:20,139
01:04:30,138
01:04:40,140
01:04:50,142
01:05:00,144
01:05:10,146
01:05:20,147
01:05:30,145
01:05:40,144
01:05:50,144
01:06:00,144
01:06:10,144
01:06:20,142
01:06:30,141
01:06:40,139
01:06:50,141
01:07:00,144
01:07:10,143
01:07:20,145
01:07:30,145
01:07:40,145
01:07:50,146
01:08:00,146
01:08:10,146
01:08:20,146
01:08:30,147
01:08:40,145
01:08:50,145
01:09:00,147
01:09:10,147
01:09:20,147
01:09:30,147
01:09:40,145
01:09:50,144
01:10:00,142
01:10:10,143
01:10:20,143
01:10:30,144
01:10:40,144
01:10:50,143
01:11:00,143
01:11:10,143
01:11:20,140
01:11:30,135
01:11:40,131
01:11:50,128
01:12:00,125
01:12:10,122
01:12:20,126
01:12:30,128
01:12:40,129
01:12:50,128
01:13:00,123
01:13:10,117
01:13:20,116
01:13:30,112
01:13:40,113
01:13:50,117
01:14:00,117
01:14:10,116
01:14:20,117
01:14:30,113
01:14:40,114
01:14:50,117
01:15:00,126
01:15:10,128
01:15:20,123
01:15:30,120
01:15:40,116
01:15:50,110
01:16:00,109
01:16:10,110
01:16:20,113
01:16:30,112
01:16:40,110
01:16:50,108
01:17:00,108
01:17:10,107
01:17:20,109
01:17:30,108
01:17:40,109
01:17:50,110
01:18:00,109
01:18:10,105
01:18:20,105
01:18:30,109
01:18:40,113
01:18:50,110
01:19:00,109
01:19:10,111
01:19:20,113
01:19:30,112
01:19:40,109
01:19:50,105
01:20:00,105
01:20:10,106
01:20:20,106
01:20:30,105
01:20:40,102
01:20:50,105
01:21:00,106
01:21:10,108
01:21:20,111
01:21:30,111
01:21:40,109
01:21:50,108
01:22:00,110
01:22:10,111
01:22:20,111
01:22:30,111
01:22:40,109
01:22:50,108
01:23:00,107
01:23:10,106
01:23:20,109
01:23:30,108
01:23:40,115
01:23:50,121
01:24:00,123
01:24:10,121
01:24:20,119
01:24:30,121
01:24:40,123
01:24:50,123
01:25:00,121
01:25:10,119
01:25:20,122
01:25:30,122
01:25:40,120
01:25:50,120
01:26:00,119
01:26:10,118
01:26:20,120
01:26:30,119
01:26:40,118
01:26:50,114
01:27:00,115
01:27:10,121
01:27:20,122
01:27:30,120
01:27:40,120
01:27:50,120
01:28:00,116
01:28:10,114
01:28:20,115
01:28:30,117
01:28:40,115
01:28:50,119
01:29:00,118
01:29:10,119
01:29:20,116
01:29:30,118
01:29:40,120
01:29:50,119
01:30:00,105
01:30:10,91
