Time,HR
00:00:00,55
00:00:10,54
00:00:20,64
00:00:30,58
00:00:40,61
00:00:50,84
00:01:00,89
00:01:10,95
00:01:20,100
00:01:30,105
00:01:40,105
00:01:50,109
00:02:00,111
00:02:10,113
00:02:20,116
00:02:30,114
00:02:40,114
00:02:50,112
00:03:00,114
00:03:10,117
00:03:20,120
00:03:30,116
00:03:40,115
00:03:50,116
00:04:00,113
00:04:10,111
00:04:20,113
00:04:30,108
00:04:40,111
00:04:50,112
00:05:00,112
00:05:10,112
00:05:20,111
00:05:30,109
00:05:40,111
00:05:50,110
00:06:00,110
00:06:10,109
00:06:20,110
00:06:30,112
00:06:40,114
00:06:50,113
00:07:00,112
00:07:10,115
00:07:20,116
00:07:30,116
00:07:40,116
00:07:50,116
00:08:00,116
00:08:10,116
00:08:20,112
00:08:30,113
00:08:40,116
00:08:50,117
00:09:00,118
00:09:10,120
00:09:20,120
00:09:30,121
00:09:40,122
00:09:50,121
00:10:00,121
00:10:10,122
00:10:20,119
00:10:30,120
00:10:40,124
00:10:50,124
00:11:00,124
00:11:10,125
00:11:20,123
00:11:30,126
00:11:40,127
00:11:50,127
00:12:00,126
00:12:10,124
00:12:20,124
00:12:30,125
00:12:40,123
00:12:50,125
00:13:00,129
00:13:10,131
00:13:20,132
00:13:30,132
00:13:40,132
00:13:50,130
00:14:00,128
00:14:10,127
00:14:20,127
00:14:30,125
00:14:40,124
00:14:50,127
00:15:00,129
00:15:10,129
00:15:20,132
00:15:30,132
00:15:40,130
00:15:50,128
00:16:00,127
00:16:10,131
00:16:20,135
00:16:30,132
00:16:40,131
00:16:50,134
00:17:00,136
00:17:10,137
00:17:20,137
00:17:30,137
00:17:40,136
00:17:50,135
00:18:00,137
00:18:10,140
00:18:20,141
00:18:30,140
00:18:40,139
00:18:50,139
00:19:00,140
00:19:10,139
00:19:20,139
00:19:30,140
00:19:40,142
00:19:50,141
00:20:00,139
00:20:10,140
00:20:20,138
00:20:30,136
00:20:40,133
00:20:50,129
00:21:00,129
00:21:10,131
00:21:20,132
00:21:30,135
00:21:40,136
00:21:50,135
00:22:00,134
00:22:10,133
00:22:20,131
00:22:30,129
00:22:40,128
00:22:50,130
00:23:00,131
00:23:10,131
00:23:20,132
00:23:30,132
00:23:40,130
00:23:50,132
00:24:00,134
00:24:10,135
00:24:20,136
00:24:30,138
00:24:40,137
00:24:50,137
00:25:00,135
00:25:10,133
00:25:20,132
00:25:30,134
00:25:40,137
00:25:50,139
00:26:00,138
00:26:10,135
00:26:20,131
00:26:30,129
00:26:40,127
00:26:50,124
00:27:00,125
00:27:10,124
00:27:20,121
00:27:30,118
00:27:40,114
00:27:50,111
00:28:00,115
00:28:10,120
00:28:20,122
00:28:30,119
00:28:40,116
00:28:50,113
00:29:00,111
00:29:10,101
00:29:20,98
00:29:30,107
00:29:40,113
00:29:50,117
00:30:00,121
00:30:10,125
00:30:20,128
00:30:30,130
00:30:40,133
00:30:50,134
00:31:00,133
00:31:10,133
00:31:20,133
00:31:30,131
00:31:40,129
00:31:50,125
00:32:00,123
00:32:10,125
00:32:20,126
00:32:30,130
00:32:40,132
00:32:50,136
00:33:00,139
00:33:10,142
00:33:20,143
00:33:30,143
00:33:40,144
00:33:50,144
00:34:00,142
00:34:10,140
00:34:20,139
00:34:30,136
00:34:40,133
00:34:50,134
00:35:00,132
00:35:10,131
00:35:20,130
00:35:30,129
00:35:40,130
00:35:50,130
00:36:00,128
00:36:10,123
00:36:20,119
00:36:30,118
00:36:40,118
00:36:50,122
00:37:00,127
00:37:10,131
00:37:20,136
00:37:30,140
00:37:40,144
00:37:50,146
00:38:00,147
00:38:10,148
00:38:20,146
00:38:30,144
00:38:40,144
00:38:50,145
00:39:00,143
00:39:10,145
00:39:20,145
00:39:30,146
00:39:40,149
00:39:50,150
00:40:00,152
00:40:10,151
00:40:20,150
00:40:30,149
00:40:40,147
00:40:50,145
00:41:00,145
00:41:10,146
00:41:20,146
00:41:30,147
00:41:40,148
00:41:50,148
00:42:00,147
00:42:10,146
00:42:20,145
00:42:30,145
00:42:40,145
00:42:50,145
00:43:00,144
00:43:10,146
00:43:20,147
00:43:30,146
00:43:40,145
00:43:50,142
00:44:00,141
00:44:10,138
00:44:20,134
00:44:30,132
00:44:40,130
00:44:50,127
00:45:00,127
00:45:10,129
00:45:20,134
00:45:30,136
00:45:40,138
00:45:50,141
00:46:00,143
00:46:10,144
00:46:20,144
00:46:30,143
00:46:40,145
00:46:50,143
00:47:00,143
00:47:10,145
00:47:20,142
00:47:30,141
00:47:40,142
00:47:50,143
00:48:00,144
00:48:10,145
00:48:20,147
00:48:30,147
00:48:40,148
00:48:50,149
00:49:00,149
00:49:10,149
00:49:20,148
00:49:30,147
00:49:40,147
00:49:50,148
00:50:00,148
00:50:10,149
00:50:20,151
00:50:30,151
00:50:40,151
00:50:50,151
00:51:00,152
00:51:10,153
00:51:20,153
00:51:30,151
00:51:40,150
00:51:50,151
00:52:00,152
00:52:10,150
00:52:20,150
