Time,HR
2015-04-21T11:29:47.000Z,60
2015-04-21T11:29:48.000Z,61
2015-04-21T11:29:49.000Z,62
2015-04-21T11:29:51.000Z,66
2015-04-21T11:29:53.000Z,69
2015-04-21T11:29:55.000Z,73
2015-04-21T11:29:56.000Z,74
2015-04-21T11:29:58.000Z,77
2015-04-21T11:30:00.000Z,80
2015-04-21T11:30:02.000Z,83
2015-04-21T11:30:05.000Z,86
2015-04-21T11:30:10.000Z,89
2015-04-21T11:30:13.000Z,91
2015-04-21T11:30:17.000Z,93
2015-04-21T11:30:21.000Z,96
2015-04-21T11:30:24.000Z,100
2015-04-21T11:30:26.000Z,102
2015-04-21T11:30:29.000Z,105
2015-04-21T11:30:33.000Z,107
2015-04-21T11:30:35.000Z,108
2015-04-21T11:30:36.000Z,108
2015-04-21T11:30:37.000Z,108
2015-04-21T11:30:38.000Z,108
2015-04-21T11:30:39.000Z,109
2015-04-21T11:30:40.000Z,109
2015-04-21T11:30:41.000Z,109
2015-04-21T11:30:44.000Z,110
2015-04-21T11:30:46.000Z,110
2015-04-21T11:30:48.000Z,110
2015-04-21T11:30:50.000Z,110
2015-04-21T11:30:53.000Z,111
2015-04-21T11:30:54.000Z,111
2015-04-21T11:30:55.000Z,111
2015-04-21T11:30:56.000Z,111
2015-04-21T11:30:57.000Z,111
2015-04-21T11:30:59.000Z,112
2015-04-21T11:31:01.000Z,113
2015-04-21T11:31:03.000Z,114
2015-04-21T11:31:06.000Z,114
2015-04-21T11:31:13.000Z,114
2015-04-21T11:31:17.000Z,113
2015-04-21T11:31:18.000Z,113
2015-04-21T11:31:21.000Z,113
2015-04-21T11:31:23.000Z,111
2015-04-21T11:31:27.000Z,110
2015-04-21T11:31:29.000Z,109
2015-04-21T11:31:36.000Z,108
2015-04-21T11:31:40.000Z,106
2015-04-21T11:31:46.000Z,106
2015-04-21T11:31:47.000Z,106
2015-04-21T11:31:48.000Z,106
2015-04-21T11:31:55.000Z,105
2015-04-21T11:31:56.000Z,105
2015-04-21T11:32:03.000Z,104
2015-04-21T11:32:09.000Z,107
2015-04-21T11:32:12.000Z,108
2015-04-21T11:32:25.000Z,110
2015-04-21T11:32:29.000Z,110
2015-04-21T11:32:36.000Z,112
2015-04-21T11:32:37.000Z,112
2015-04-21T11:32:44.000Z,114
2015-04-21T11:32:48.000Z,115
2015-04-21T11:33:05.000Z,115
2015-04-21T11:33:08.000Z,114
2015-04-21T11:33:10.000Z,114
2015-04-21T11:33:15.000Z,114
2015-04-21T11:33:24.000Z,114
2015-04-21T11:33:28.000Z,113
2015-04-21T11:33:35.000Z,113
2015-04-21T11:33:36.000Z,113
2015-04-21T11:33:38.000Z,113
2015-04-21T11:33:39.000Z,113
2015-04-21T11:33:43.000Z,113
2015-04-21T11:33:45.000Z,113
2015-04-21T11:33:50.000Z,113
2015-04-21T11:33:54.000Z,114
2015-04-21T11:33:57.000Z,114
2015-04-21T11:34:01.000Z,116
2015-04-21T11:34:04.000Z,116
2015-04-21T11:34:08.000Z,116
2015-04-21T11:34:11.000Z,116
2015-04-21T11:34:12.000Z,116
2015-04-21T11:34:16.000Z,115
2015-04-21T11:34:18.000Z,116
2015-04-21T11:34:21.000Z,117
2015-04-21T11:34:25.000Z,118
2015-04-21T11:34:30.000Z,120
2015-04-21T11:34:40.000Z,121
2015-04-21T11:34:47.000Z,120
2015-04-21T11:34:54.000Z,120
2015-04-21T11:35:01.000Z,120
2015-04-21T11:35:08.000Z,121
2015-04-21T11:35:12.000Z,121
2015-04-21T11:35:16.000Z,120
2015-04-21T11:35:20.000Z,120
2015-04-21T11:35:24.000Z,118
2015-04-21T11:35:37.000Z,117
2015-04-21T11:35:40.000Z,117
2015-04-21T11:35:46.000Z,115
2015-04-21T11:35:53.000Z,115
2015-04-21T11:36:00.000Z,113
2015-04-21T11:36:07.000Z,111
2015-04-21T11:36:13.000Z,109
2015-04-21T11:36:20.000Z,108
2015-04-21T11:36:28.000Z,107
2015-04-21T11:36:35.000Z,108
2015-04-21T11:36:43.000Z,108
2015-04-21T11:36:50.000Z,109
2015-04-21T11:36:58.000Z,110
2015-04-21T11:37:05.000Z,110
2015-04-21T11:37:11.000Z,111
2015-04-21T11:37:17.000Z,112
2015-04-21T11:37:25.000Z,112
2015-04-21T11:37:32.000Z,109
2015-04-21T11:37:40.000Z,109
2015-04-21T11:37:47.000Z,110
2015-04-21T11:37:53.000Z,111
2015-04-21T11:38:00.000Z,109
2015-04-21T11:38:04.000Z,110
2015-04-21T11:38:08.000Z,111
2015-04-21T11:38:14.000Z,111
2015-04-21T11:38:16.000Z,112
2015-04-21T11:38:22.000Z,113
2015-04-21T11:38:28.000Z,112
2015-04-21T11:38:35.000Z,110
2015-04-21T11:38:42.000Z,110
2015-04-21T11:38:49.000Z,111
2015-04-21T11:38:56.000Z,111
2015-04-21T11:39:01.000Z,111
2015-04-21T11:39:05.000Z,112
2015-04-21T11:39:13.000Z,114
2015-04-21T11:39:20.000Z,115
2015-04-21T11:39:28.000Z,116
2015-04-21T11:39:35.000Z,116
2015-04-21T11:39:42.000Z,116
2015-04-21T11:39:49.000Z,116
2015-04-21T11:39:56.000Z,116
2015-04-21T11:40:03.000Z,114
2015-04-21T11:40:04.000Z,114
2015-04-21T11:40:11.000Z,115
2015-04-21T11:40:15.000Z,115
2015-04-21T11:40:17.000Z,116
2015-04-21T11:40:21.000Z,115
2015-04-21T11:40:29.000Z,115
2015-04-21T11:40:53.000Z,95
2015-04-21T11:40:54.000Z,95
2015-04-21T11:40:58.000Z,98
2015-04-21T11:41:01.000Z,101
2015-04-21T11:41:02.000Z,101
2015-04-21T11:41:10.000Z,103
2015-04-21T11:41:19.000Z,105
2015-04-21T11:41:27.000Z,106
2015-04-21T11:41:34.000Z,108
2015-04-21T11:41:40.000Z,110
2015-04-21T11:41:47.000Z,111
2015-04-21T11:41:55.000Z,114
2015-04-21T11:42:03.000Z,115
2015-04-21T11:42:11.000Z,114
2015-04-21T11:42:18.000Z,114
2015-04-21T11:42:24.000Z,113
2015-04-21T11:42:31.000Z,113
2015-04-21T11:42:36.000Z,116
2015-04-21T11:42:43.000Z,116
2015-04-21T11:42:51.000Z,114
2015-04-21T11:42:58.000Z,114
2015-04-21T11:43:06.000Z,112
2015-04-21T11:43:14.000Z,111
2015-04-21T11:43:20.000Z,111
2015-04-21T11:43:28.000Z,110
2015-04-21T11:43:36.000Z,112
2015-04-21T11:43:40.000Z,113
2015-04-21T11:43:48.000Z,115
2015-04-21T11:43:55.000Z,114
2015-04-21T11:44:04.000Z,112
2015-04-21T11:44:12.000Z,111
2015-04-21T11:44:20.000Z,113
2015-04-21T11:44:23.000Z,114
2015-04-21T11:44:29.000Z,114
2015-04-21T11:44:37.000Z,114
2015-04-21T11:44:45.000Z,115
2015-04-21T11:44:50.000Z,118
2015-04-21T11:44:58.000Z,118
2015-04-21T11:45:03.000Z,118
2015-04-21T11:45:11.000Z,117
2015-04-21T11:45:16.000Z,114
2015-04-21T11:45:22.000Z,111
2015-04-21T11:45:34.000Z,112
2015-04-21T11:45:41.000Z,113
2015-04-21T11:45:48.000Z,113
2015-04-21T11:45:52.000Z,112
2015-04-21T11:46:00.000Z,115
2015-04-21T11:46:10.000Z,116
2015-04-21T11:46:19.000Z,116
2015-04-21T11:46:20.000Z,115
2015-04-21T11:46:46.000Z,96
2015-04-21T11:46:47.000Z,96
2015-04-21T11:46:48.000Z,96
2015-04-21T11:46:50.000Z,98
2015-04-21T11:46:53.000Z,101
2015-04-21T11:46:55.000Z,101
2015-04-21T11:47:01.000Z,102
2015-04-21T11:47:07.000Z,104
2015-04-21T11:47:14.000Z,104
2015-04-21T11:47:15.000Z,103
2015-04-21T11:50:02.000Z,75
2015-04-21T11:50:03.000Z,75
2015-04-21T11:50:04.000Z,76
