Time,HR
2015-01-10T09:23:35.000Z,74
2015-01-10T09:23:38.000Z,78
2015-01-10T09:23:39.000Z,80
2015-01-10T09:23:40.000Z,84
2015-01-10T09:23:41.000Z,87
2015-01-10T09:23:43.000Z,92
2015-01-10T09:23:45.000Z,95
2015-01-10T09:23:46.000Z,98
2015-01-10T09:23:48.000Z,102
2015-01-10T09:23:50.000Z,105
2015-01-10T09:23:51.000Z,107
2015-01-10T09:23:56.000Z,110
2015-01-10T09:24:01.000Z,110
2015-01-10T09:24:08.000Z,112
2015-01-10T09:24:11.000Z,115
2015-01-10T09:24:12.000Z,115
2015-01-10T09:24:18.000Z,118
2015-01-10T09:24:21.000Z,119
2015-01-10T09:24:26.000Z,122
2015-01-10T09:24:31.000Z,122
2015-01-10T09:24:38.000Z,124
2015-01-10T09:24:41.000Z,126
2015-01-10T09:24:48.000Z,127
2015-01-10T09:24:51.000Z,129
2015-01-10T09:24:58.000Z,131
2015-01-10T09:25:01.000Z,133
2015-01-10T09:25:04.000Z,136
2015-01-10T09:25:07.000Z,139
2015-01-10T09:25:11.000Z,141
2015-01-10T09:25:18.000Z,142
2015-01-10T09:25:21.000Z,143
2015-01-10T09:25:29.000Z,143
2015-01-10T09:25:31.000Z,143
2015-01-10T09:25:38.000Z,144
2015-01-10T09:25:41.000Z,144
2015-01-10T09:25:48.000Z,145
2015-01-10T09:25:51.000Z,145
2015-01-10T09:25:58.000Z,147
2015-01-10T09:26:01.000Z,148
2015-01-10T09:26:08.000Z,150
2015-01-10T09:26:11.000Z,150
2015-01-10T09:26:16.000Z,153
2015-01-10T09:26:21.000Z,154
2015-01-10T09:26:28.000Z,154
2015-01-10T09:26:31.000Z,154
2015-01-10T09:26:38.000Z,155
2015-01-10T09:26:41.000Z,155
2015-01-10T09:26:49.000Z,155
2015-01-10T09:26:51.000Z,155
2015-01-10T09:26:58.000Z,156
2015-01-10T09:27:01.000Z,157
2015-01-10T09:27:08.000Z,158
2015-01-10T09:27:11.000Z,158
2015-01-10T09:27:18.000Z,157
2015-01-10T09:27:21.000Z,157
2015-01-10T09:27:27.000Z,157
2015-01-10T09:27:31.000Z,158
2015-01-10T09:27:37.000Z,159
2015-01-10T09:27:41.000Z,159
2015-01-10T09:27:48.000Z,158
2015-01-10T09:27:51.000Z,159
2015-01-10T09:27:58.000Z,159
2015-01-10T09:28:01.000Z,157
2015-01-10T09:28:08.000Z,155
2015-01-10T09:28:11.000Z,154
2015-01-10T09:28:18.000Z,153
2015-01-10T09:28:21.000Z,155
2015-01-10T09:28:28.000Z,157
2015-01-10T09:28:31.000Z,157
2015-01-10T09:28:38.000Z,158
2015-01-10T09:28:41.000Z,158
2015-01-10T09:28:48.000Z,157
2015-01-10T09:28:51.000Z,158
2015-01-10T09:28:58.000Z,158
,
,
,
,
2015-01-10T09:29:01.000Z,158
2015-01-10T09:29:09.000Z,158
2015-01-10T09:29:11.000Z,159
2015-01-10T09:29:18.000Z,159
2015-01-10T09:29:21.000Z,159
2015-01-10T09:29:29.000Z,159
2015-01-10T09:29:31.000Z,159
2015-01-10T09:29:38.000Z,162
2015-01-10T09:29:41.000Z,162
2015-01-10T09:29:48.000Z,162
2015-01-10T09:29:51.000Z,163
2015-01-10T09:29:58.000Z,164
2015-01-10T09:30:01.000Z,164
2015-01-10T09:30:08.000Z,164
2015-01-10T09:30:11.000Z,166
2015-01-10T09:30:18.000Z,168
2015-01-10T09:30:21.000Z,168
2015-01-10T09:30:28.000Z,167
2015-01-10T09:30:31.000Z,166
2015-01-10T09:30:38.000Z,167
2015-01-10T09:30:41.000Z,166
2015-01-10T09:30:48.000Z,167
2015-01-10T09:30:51.000Z,167
