Time;HR
10:37:18;119
10:37:23;126
10:37:28;132
10:37:33;137
10:37:38;139
10:37:43;140
10:37:48;140
10:37:53;141
10:37:58;142
10:38:03;143
10:38:08;145
10:38:13;146
10:38:18;148
10:38:23;149
10:38:28;150
10:38:33;152
10:38:38;153
10:38:43;153
10:38:48;154
10:38:53;152
10:38:58;153
10:39:03;155
10:39:08;156
10:39:13;158
10:39:18;158
10:39:23;156
10:39:28;158
10:39:33;155
10:39:38;151
10:39:43;149
10:39:48;157
10:39:53;148
10:39:58;146
10:40:03;148
10:40:08;149
10:40:13;151
10:40:18;154
10:40:23;155
10:40:28;156
10:40:33;158
10:40:38;159
10:40:43;161
10:40:48;162
10:40:53;162
10:40:58;162
10:41:03;161
10:41:08;157
10:41:13;157
10:41:18;156
10:41:23;158
10:41:28;159
10:41:33;161
10:41:38;161
10:41:43;161
10:41:48;162
10:41:53;162
10:41:58;161
10:42:03;159
10:42:08;158
10:42:13;156
10:42:18;155
10:42:23;155
10:42:28;155
10:42:33;155
10:42:38;156
10:42:43;156
10:42:48;158
10:42:53;159
10:42:58;159
10:43:03;160
10:43:08;161
10:43:13;161
10:43:18;161
10:43:23;161
10:43:28;160
10:43:33;159
10:43:38;158
10:43:43;158
10:43:48;158
10:43:53;159
10:43:58;159
10:44:03;161
10:44:08;158
10:44:13;160
10:44:18;161
10:44:23;161
10:44:28;160
10:44:33;160
10:44:38;160
10:44:43;160
10:44:48;160
10:44:53;159
10:44:58;157
10:45:03;156
10:45:08;153
10:45:13;153
10:45:18;152
10:45:23;150
10:45:28;149
10:45:33;150
10:45:38;152
10:45:43;153
10:45:48;153
10:45:53;152
10:45:58;152
10:46:03;153
10:46:08;153
10:46:13;155
10:46:18;158
10:46:23;159
10:46:28;158
10:46:33;157
10:46:38;157
10:46:43;158
10:46:48;156
10:46:53;157
10:46:58;159
10:47:03;160
10:47:08;160
10:47:13;161
10:47:18;160
10:47:23;158
10:47:28;158
10:47:33;159
10:47:38;159
10:47:43;160
10:47:48;160
10:47:53;161
10:47:58;162
10:48:03;164
10:48:08;165
10:48:13;164
10:48:18;163
10:48:23;162
10:48:28;162
10:48:33;162
10:48:38;163
10:48:43;163
10:48:48;163
10:48:53;162
10:48:58;161
10:49:03;160
10:49:08;159
10:49:13;159
10:49:18;160
10:49:23;161
10:49:28;164
10:49:33;166
10:49:38;169
10:49:43;170
10:49:48;170
10:49:53;169
10:49:58;170
10:50:03;171
10:50:08;172
10:50:13;171
10:50:18;171
10:50:23;173
