Time,HR
19:03:00,96
19:03:05,106
19:03:10,112
19:03:15,114
19:03:20,111
19:03:25,111
19:03:30,116
19:03:35,121
19:03:40,123
19:03:45,127
19:03:50,130
19:03:55,132
19:04:00,133
19:04:05,134
19:04:10,134
19:04:15,134
19:04:20,134
19:04:25,134
19:04:30,135
19:04:35,136
19:04:40,135
19:04:45,135
19:04:50,135
19:04:55,135
19:05:00,136
19:05:05,137
19:05:10,138
19:05:15,138
19:05:20,138
19:05:25,138
19:05:30,137
19:05:35,136
19:05:40,136
19:05:45,138
19:05:50,140
19:05:55,140
19:06:00,140
19:06:05,139
19:06:10,137
19:06:15,137
19:06:20,138
19:06:25,139
19:06:30,138
19:06:35,137
19:06:40,138
19:06:45,138
19:06:50,138
19:06:55,138
19:07:00,138
19:07:05,139
19:07:10,140
19:07:15,140
19:07:20,140
19:07:25,141
19:07:30,141
19:07:35,141
19:07:40,142
19:07:45,142
19:07:50,141
19:07:55,141
19:08:00,142
19:08:05,141
19:08:10,142
19:08:15,143
19:08:20,143
19:08:25,143
19:08:30,140
19:08:35,137
19:08:40,136
19:08:45,141
19:08:50,143
19:08:55,145
19:09:00,147
19:09:05,148
19:09:10,148
19:09:15,148
19:09:20,149
19:09:25,150
19:09:30,150
19:09:35,150
19:09:40,152
19:09:45,154
19:09:50,156
19:09:55,158
19:10:00,159
19:10:05,159
19:10:10,159
19:10:15,159
19:10:20,158
19:10:25,158
19:10:30,158
19:10:35,158
19:10:40,159
19:10:45,160
19:10:50,161
19:10:55,163
19:11:00,164
19:11:05,165
19:11:10,165
19:11:15,165
19:11:20,166
19:11:25,166
19:11:30,167
19:11:35,167
19:11:40,167
19:11:45,168
19:11:50,168
19:11:55,168
19:12:00,169
19:12:05,169
19:12:10,168
19:12:15,167
19:12:20,164
19:12:25,163
19:12:30,160
19:12:35,158
19:12:40,155
19:12:45,153
19:12:50,150
19:12:55,148
19:13:00,146
19:13:05,145
19:13:10,143
19:13:15,141
19:13:20,141
19:13:25,139
19:13:30,138
19:13:35,138
19:13:40,138
19:13:45,138
19:13:50,137
19:13:55,138
19:14:00,137
19:14:05,139
19:14:10,141
19:14:15,143
19:14:20,144
19:14:25,144
19:14:30,144
19:14:35,144
19:14:40,145
19:14:45,146
19:14:50,145
19:14:55,145
19:15:00,145
19:15:05,146
19:15:10,148
19:15:15,149
19:15:20,149
19:15:25,149
19:15:30,146
19:15:35,146
19:15:40,147
19:15:45,149
19:15:50,149
19:15:55,150
19:16:00,151
19:16:05,152
19:16:10,152
19:16:15,152
19:16:20,152
19:16:25,150
19:16:30,150
19:16:35,149
19:16:40,148
19:16:45,149
19:16:50,149
19:16:55,150
19:17:00,151
19:17:05,152
19:17:10,152
19:17:15,154
19:17:20,154
19:17:25,154
19:17:30,152
19:17:35,150
19:17:40,149
19:17:45,146
19:17:50,144
19:17:55,142
19:18:00,139
19:18:05,135
19:18:10,133
19:18:15,134
19:18:20,135
19:18:25,137
19:18:30,137
19:18:35,134
19:18:40,136
19:18:45,137
19:18:50,138
19:18:55,141
19:19:00,144
19:19:05,144
19:19:10,143
19:19:15,143
19:19:20,143
19:19:25,143
19:19:30,142
19:19:35,142
19:19:40,142
19:19:45,141
19:19:50,141
19:19:55,141
19:20:00,142
19:20:05,143
19:20:10,143
19:20:15,143
19:20:20,144
19:20:25,145
19:20:30,146
19:20:35,144
19:20:40,144
19:20:45,147
19:20:50,149
19:20:55,151
19:21:00,152
19:21:05,154
19:21:10,155
19:21:15,155
19:21:20,155
19:21:25,153
19:21:30,152
19:21:35,153
19:21:40,154
19:21:45,156
19:21:50,156
19:21:55,157
19:22:00,159
19:22:05,159
19:22:10,160
19:22:15,160
19:22:20,161
19:22:25,161
19:22:30,162
19:22:35,161
19:22:40,161
19:22:45,160
19:22:50,159
19:22:55,158
19:23:00,156
19:23:05,154
19:23:10,151
19:23:15,148
19:23:20,145
19:23:25,143
19:23:30,141
19:23:35,140
19:23:40,138
19:23:45,137
19:23:50,137
19:23:55,139
19:24:00,137
19:24:05,136
19:24:10,135
19:24:15,133
19:24:20,138
19:24:25,144
19:24:30,147
19:24:35,147
19:24:40,147
19:24:45,149
19:24:50,151
19:24:55,151
19:25:00,150
19:25:05,150
19:25:10,148
19:25:15,148
19:25:20,148
19:25:25,149
19:25:30,149
19:25:35,150
19:25:40,151
19:25:45,153
19:25:50,154
19:25:55,155
19:26:00,155
19:26:05,155
19:26:10,156
19:26:15,156
19:26:20,157
19:26:25,159
19:26:30,160
19:26:35,161
19:26:40,162
19:26:45,163
19:26:50,163
19:26:55,163
19:27:00,163
19:27:05,163
19:27:10,161
19:27:15,158
19:27:20,156
19:27:25,154
19:27:30,152
19:27:35,149
19:27:40,148
19:27:45,147
19:27:50,146
19:27:55,144
19:28:00,144
19:28:05,143
19:28:10,142
19:28:15,142
19:28:20,143
19:28:25,144
19:28:30,144
19:28:35,145
19:28:40,145
19:28:45,145
19:28:50,146
19:28:55,148
19:29:00,148
19:29:05,149
19:29:10,150
19:29:15,150
19:29:20,151
19:29:25,152
19:29:30,152
19:29:35,152
19:29:40,151
19:29:45,151
19:29:50,151
19:29:55,151
19:30:00,151
19:30:05,152
19:30:10,153
19:30:15,155
19:30:20,155
19:30:25,157
19:30:30,158
19:30:35,158
19:30:40,158
19:30:45,158
19:30:50,158
19:30:55,157
19:31:00,157
19:31:05,158
19:31:10,158
19:31:15,159
19:31:20,160
19:31:25,160
19:31:30,159
19:31:35,158
19:31:40,156
19:31:45,155
19:31:50,153
19:31:55,151
19:32:00,150
19:32:05,148
19:32:10,148
19:32:15,147
19:32:20,146
19:32:25,145
19:32:30,145
19:32:35,144
19:32:40,144
19:32:45,145
19:32:50,148
19:32:55,149
19:33:00,152
19:33:05,155
19:33:10,158
19:33:15,158
19:33:20,157
19:33:25,155
19:33:30,158
19:33:35,160
19:33:40,162
19:33:45,164
19:33:50,165
19:33:55,166
19:34:00,165
19:34:05,164
19:34:10,163
19:34:15,162
19:34:20,161
19:34:25,158
19:34:30,155
19:34:35,153
19:34:40,149
19:34:45,146
19:34:50,144
19:34:55,143
19:35:00,143
19:35:05,142
19:35:10,142
19:35:15,141
19:35:20,142
19:35:25,142
19:35:30,144
19:35:35,145
19:35:40,146
19:35:45,148
19:35:50,149
19:35:55,151
19:36:00,154
19:36:05,156
19:36:10,157
19:36:15,158
19:36:20,158
19:36:25,156
19:36:30,154
19:36:35,151
19:36:40,148
19:36:45,144
19:36:50,141
19:36:55,139
19:37:00,139
19:37:05,140
19:37:10,142
19:37:15,144
19:37:20,144
19:37:25,145
19:37:30,146
19:37:35,147
19:37:40,148
19:37:45,147
19:37:50,147
19:37:55,147
19:38:00,147
19:38:05,147
19:38:10,148
19:38:15,149
19:38:20,148
19:38:25,148
19:38:30,149
19:38:35,149
19:38:40,150
19:38:45,150
19:38:50,149
19:38:55,148
19:39:00,149
19:39:05,151
19:39:10,152
19:39:15,153
19:39:20,152
19:39:25,151
19:39:30,148
19:39:35,146
19:39:40,145
19:39:45,143
19:39:50,141
19:39:55,140
19:40:00,140
19:40:05,141
19:40:10,141
19:40:15,142
19:40:20,143
19:40:25,143
19:40:30,144
19:40:35,146
19:40:40,148
19:40:45,150
19:40:50,152
19:40:55,153
19:41:00,154
19:41:05,156
19:41:10,158
19:41:15,156
19:41:20,154
19:41:25,153
19:41:30,154
19:41:35,153
19:41:40,149
19:41:45,145
19:41:50,143
19:41:55,143
19:42:00,143
19:42:05,143
19:42:10,143
19:42:15,144
19:42:20,145
19:42:25,147
19:42:30,148
19:42:35,149
19:42:40,149
19:42:45,148
19:42:50,145
19:42:55,143
19:43:00,143
19:43:05,145
19:43:10,146
19:43:15,150
19:43:20,152
19:43:25,154
19:43:30,157
19:43:35,159
19:43:40,160
19:43:45,161
19:43:50,161
19:43:55,161
19:44:00,161
19:44:05,161
19:44:10,161
19:44:15,162
19:44:20,163
19:44:25,164
19:44:30,165
19:44:35,164
19:44:40,163
19:44:45,161
19:44:50,161
19:44:55,160
19:45:00,159
19:45:05,158
19:45:10,157
19:45:15,157
19:45:20,158
19:45:25,160
19:45:30,162
19:45:35,163
19:45:40,165
19:45:45,168
19:45:50,171
19:45:55,172
19:46:00,173
19:46:05,174
19:46:10,173
19:46:15,172
19:46:20,172
19:46:25,171
19:46:30,170
19:46:35,169
19:46:40,168
19:46:45,167
19:46:50,166
19:46:55,165
19:47:00,164
19:47:05,165
19:47:10,166
19:47:15,166
19:47:20,165
19:47:25,165
19:47:30,165
19:47:35,165
19:47:40,165
19:47:45,165
19:47:50,164
19:47:55,159
19:48:00,156
19:48:05,155
19:48:10,153
19:48:15,152
19:48:20,151
19:48:25,150
19:48:30,148
19:48:35,147
19:48:40,147
19:48:45,146
19:48:50,145
19:48:55,145
19:49:00,146
