Time,HR
00:00:00,86
00:00:10,95
00:00:20,99
00:00:30,105
00:00:40,111
00:00:50,118
00:01:00,127
00:01:10,138
00:01:20,144
00:01:30,144
00:01:40,145
00:01:50,146
00:02:00,146
00:02:10,145
00:02:20,146
00:02:30,145
00:02:40,146
00:02:50,145
00:03:00,146
00:03:10,147
00:03:20,149
00:03:30,150
00:03:40,150
00:03:50,154
00:04:00,163
00:04:10,167
00:04:20,169
00:04:30,167
00:04:40,162
00:04:50,158
00:05:00,155
00:05:10,153
00:05:20,153
00:05:30,152
00:05:40,150
00:05:50,151
00:06:00,153
00:06:10,155
00:06:20,154
00:06:30,156
00:06:40,155
00:06:50,154
00:07:00,152
00:07:10,150
00:07:20,150
00:07:30,150
00:07:40,151
00:07:50,153
00:08:00,154
00:08:10,154
00:08:20,153
00:08:30,153
00:08:40,153
00:08:50,152
00:09:00,153
00:09:10,154
00:09:20,154
00:09:30,153
00:09:40,155
00:09:50,155
00:10:00,154
00:10:10,153
00:10:20,153
00:10:30,154
00:10:40,152
00:10:50,145
00:11:00,148
00:11:10,146
00:11:20,150
00:11:30,148
00:11:40,146
00:11:50,146
00:12:00,150
00:12:10,150
00:12:20,151
00:12:30,145
00:12:40,144
00:12:50,138
00:13:00,136
00:13:10,139
00:13:20,143
00:13:30,147
00:13:40,148
00:13:50,148
00:14:00,148
00:14:10,148
00:14:20,148
00:14:30,149
00:14:40,151
00:14:50,153
00:15:00,154
00:15:10,154
00:15:20,152
00:15:30,152
00:15:40,153
00:15:50,151
00:16:00,150
00:16:10,150
00:16:20,148
00:16:30,142
00:16:40,146
00:16:50,149
00:17:00,151
00:17:10,151
00:17:20,151
00:17:30,151
00:17:40,152
00:17:50,152
00:18:00,151
00:18:10,150
00:18:20,151
00:18:30,153
00:18:40,152
00:18:50,153
00:19:00,154
00:19:10,155
00:19:20,155
00:19:30,155
00:19:40,157
00:19:50,157
00:20:00,157
00:20:10,160
00:20:20,160
00:20:30,162
00:20:40,161
00:20:50,158
00:21:00,157
00:21:10,157
00:21:20,156
00:21:30,155
00:21:40,154
00:21:50,152
00:22:00,152
00:22:10,152
00:22:20,153
00:22:30,155
00:22:40,155
00:22:50,155
00:23:00,155
00:23:10,155
00:23:20,156
00:23:30,156
00:23:40,157
00:23:50,155
00:24:00,155
00:24:10,155
00:24:20,155
00:24:30,155
00:24:40,155
00:24:50,157
00:25:00,158
00:25:10,156
00:25:20,156
00:25:30,155
00:25:40,156
00:25:50,154
00:26:00,151
00:26:10,149
00:26:20,155
00:26:30,157
00:26:40,158
00:26:50,157
00:27:00,156
00:27:10,155
00:27:20,155
00:27:30,152
00:27:40,148
00:27:50,147
00:28:00,148
00:28:10,149
00:28:20,151
00:28:30,150
00:28:40,151
00:28:50,153
00:29:00,155
00:29:10,155
00:29:20,154
00:29:30,154
00:29:40,154
00:29:50,154
00:30:00,155
00:30:10,156
00:30:20,157
00:30:30,158
00:30:40,158
00:30:50,159
00:31:00,160
00:31:10,159
00:31:20,160
00:31:30,159
00:31:40,160
00:31:50,161
00:32:00,161
00:32:10,160
00:32:20,162
00:32:30,163
00:32:40,159
00:32:50,158
00:33:00,156
00:33:10,156
00:33:20,157
00:33:30,158
00:33:40,157
00:33:50,157
00:34:00,156
00:34:10,156
00:34:20,155
00:34:30,154
00:34:40,154
00:34:50,154
00:35:00,153
00:35:10,154
00:35:20,154
00:35:30,154
00:35:40,154
00:35:50,153
00:36:00,148
00:36:10,148
00:36:20,154
00:36:30,155
00:36:40,155
00:36:50,155
00:37:00,155
00:37:10,154
00:37:20,153
00:37:30,155
00:37:40,153
00:37:50,154
00:38:00,155
00:38:10,156
00:38:20,155
00:38:30,154
00:38:40,154
00:38:50,155
00:39:00,157
00:39:10,156
00:39:20,154
00:39:30,154
00:39:40,152
00:39:50,150
00:40:00,150
00:40:10,152
00:40:20,155
00:40:30,155
00:40:40,152
00:40:50,150
00:41:00,154
00:41:10,152
00:41:20,154
00:41:30,154
00:41:40,155
00:41:50,154
00:42:00,153
00:42:10,152
00:42:20,141
00:42:30,131
00:42:40,124
00:42:50,120
00:43:00,118
00:43:10,115
00:43:20,119
00:43:30,132
00:43:40,157
00:43:50,159
00:44:00,152
00:44:10,143
00:44:20,133
00:44:30,127
00:44:40,124
00:44:50,123
00:45:00,130
00:45:10,151
00:45:20,164
00:45:30,158
00:45:40,150
00:45:50,140
00:46:00,134
00:46:10,127
00:46:20,124
00:46:30,122
00:46:40,121
00:46:50,148
00:47:00,162
00:47:10,157
00:47:20,152
00:47:30,145
00:47:40,135
00:47:50,127
00:48:00,124
00:48:10,123
00:48:20,131
00:48:30,160
00:48:40,160
00:48:50,156
00:49:00,148
00:49:10,138
00:49:20,133
00:49:30,129
00:49:40,127
00:49:50,122
00:50:00,123
00:50:10,137
00:50:20,158
00:50:30,158
00:50:40,155
00:50:50,147
00:51:00,136
00:51:10,131
00:51:20,128
00:51:30,124
00:51:40,139
00:51:50,160
00:52:00,161
00:52:10,156
00:52:20,149
00:52:30,139
00:52:40,131
00:52:50,126
00:53:00,130
00:53:10,132
00:53:20,132
00:53:30,134
00:53:40,132
00:53:50,134
00:54:00,127
00:54:10,116
00:54:20,108
00:54:30,108
00:54:40,109
00:54:50,108
00:55:00,103
00:55:10,104
00:55:20,108
00:55:30,114
00:55:40,108
00:55:50,106
00:56:00,105
00:56:10,97
00:56:20,92
