Time,HR
00:00:00,93
00:00:10,92
00:00:20,93
00:00:30,92
00:00:40,104
00:00:50,111
00:01:00,118
00:01:10,125
00:01:20,135
00:01:30,145
00:01:40,150
00:01:50,151
00:02:00,151
00:02:10,151
00:02:20,150
00:02:30,150
00:02:40,151
00:02:50,153
00:03:00,154
00:03:10,156
00:03:20,156
00:03:30,156
00:03:40,155
00:03:50,153
00:04:00,151
00:04:10,149
00:04:20,148
00:04:30,148
00:04:40,149
00:04:50,149
00:05:00,149
00:05:10,145
00:05:20,142
00:05:30,139
00:05:40,139
00:05:50,136
00:06:00,141
00:06:10,147
00:06:20,150
00:06:30,149
00:06:40,150
00:06:50,149
00:07:00,151
00:07:10,152
00:07:20,151
00:07:30,149
00:07:40,149
00:07:50,146
00:08:00,145
00:08:10,147
00:08:20,150
00:08:30,153
00:08:40,155
00:08:50,154
00:09:00,152
00:09:10,149
00:09:20,146
00:09:30,146
00:09:40,143
00:09:50,143
00:10:00,141
00:10:10,140
00:10:20,139
00:10:30,141
00:10:40,143
00:10:50,146
00:11:00,150
00:11:10,153
00:11:20,155
00:11:30,156
00:11:40,157
00:11:50,158
00:12:00,158
00:12:10,159
00:12:20,157
00:12:30,157
00:12:40,158
00:12:50,157
00:13:00,157
00:13:10,157
00:13:20,158
00:13:30,159
00:13:40,158
00:13:50,156
00:14:00,155
00:14:10,155
00:14:20,157
00:14:30,157
00:14:40,152
00:14:50,146
00:15:00,143
00:15:10,144
00:15:20,145
00:15:30,144
00:15:40,142
00:15:50,141
00:16:00,145
00:16:10,150
00:16:20,154
00:16:30,155
00:16:40,152
00:16:50,148
00:17:00,146
00:17:10,146
00:17:20,146
00:17:30,148
00:17:40,149
00:17:50,149
00:18:00,149
00:18:10,150
00:18:20,151
00:18:30,152
00:18:40,155
00:18:50,155
00:19:00,156
00:19:10,157
00:19:20,155
00:19:30,154
00:19:40,156
00:19:50,158
00:20:00,159
00:20:10,159
00:20:20,160
00:20:30,160
00:20:40,160
00:20:50,160
00:21:00,159
00:21:10,156
00:21:20,150
00:21:30,150
00:21:40,151
00:21:50,153
00:22:00,157
00:22:10,161
00:22:20,162
00:22:30,161
00:22:40,160
00:22:50,159
00:23:00,156
00:23:10,152
00:23:20,148
00:23:30,146
00:23:40,144
00:23:50,144
00:24:00,147
00:24:10,153
00:24:20,157
00:24:30,158
00:24:40,158
00:24:50,158
00:25:00,159
00:25:10,160
00:25:20,159
00:25:30,156
00:25:40,152
00:25:50,149
00:26:00,143
00:26:10,142
00:26:20,144
00:26:30,145
00:26:40,143
00:26:50,143
00:27:00,143
00:27:10,143
00:27:20,144
00:27:30,141
00:27:40,139
00:27:50,138
00:28:00,134
00:28:10,131
00:28:20,128
00:28:30,131
00:28:40,138
00:28:50,142
00:29:00,147
00:29:10,150
00:29:20,152
00:29:30,152
00:29:40,155
00:29:50,157
00:30:00,157
00:30:10,155
00:30:20,157
00:30:30,154
00:30:40,153
00:30:50,152
00:31:00,151
00:31:10,151
00:31:20,151
00:31:30,153
00:31:40,150
00:31:50,149
00:32:00,148
00:32:10,149
00:32:20,151
00:32:30,152
00:32:40,152
00:32:50,151
00:33:00,152
00:33:10,153
00:33:20,153
00:33:30,153
00:33:40,153
00:33:50,154
00:34:00,152
00:34:10,152
00:34:20,152
00:34:30,150
00:34:40,151
00:34:50,151
00:35:00,150
00:35:10,150
00:35:20,149
00:35:30,149
00:35:40,150
00:35:50,152
00:36:00,153
00:36:10,152
00:36:20,152
00:36:30,152
00:36:40,152
00:36:50,152
00:37:00,151
00:37:10,149
00:37:20,149
00:37:30,152
00:37:40,153
00:37:50,153
00:38:00,154
00:38:10,153
00:38:20,153
00:38:30,153
00:38:40,154
00:38:50,154
00:39:00,156
00:39:10,155
00:39:20,154
00:39:30,155
00:39:40,155
00:39:50,154
00:40:00,156
00:40:10,157
00:40:20,157
00:40:30,154
00:40:40,151
00:40:50,151
00:41:00,151
00:41:10,149
00:41:20,148
00:41:30,148
00:41:40,149
00:41:50,151
00:42:00,152
00:42:10,153
00:42:20,153
00:42:30,154
00:42:40,153
00:42:50,154
00:43:00,155
00:43:10,155
00:43:20,155
00:43:30,155
00:43:40,154
00:43:50,154
00:44:00,155
00:44:10,156
00:44:20,155
00:44:30,156
00:44:40,155
00:44:50,155
00:45:00,153
00:45:10,153
00:45:20,152
00:45:30,151
00:45:40,152
00:45:50,155
00:46:00,155
00:46:10,153
00:46:20,153
00:46:30,154
00:46:40,157
00:46:50,157
00:47:00,154
00:47:10,154
00:47:20,152
00:47:30,151
00:47:40,152
00:47:50,153
00:48:00,155
00:48:10,156
00:48:20,157
00:48:30,158
00:48:40,156
00:48:50,155
00:49:00,155
00:49:10,155
00:49:20,155
00:49:30,155
00:49:40,156
00:49:50,157
00:50:00,157
00:50:10,157
00:50:20,157
00:50:30,158
00:50:40,160
00:50:50,161
00:51:00,161
00:51:10,160
00:51:20,159
00:51:30,157
00:51:40,155
00:51:50,154
00:52:00,152
00:52:10,152
00:52:20,153
00:52:30,154
00:52:40,154
00:52:50,155
00:53:00,153
00:53:10,153
00:53:20,151
00:53:30,150
00:53:40,152
00:53:50,153
00:54:00,154
00:54:10,155
00:54:20,154
00:54:30,153
00:54:40,152
00:54:50,152
00:55:00,153
00:55:10,152
00:55:20,152
00:55:30,150
00:55:40,151
00:55:50,151
00:56:00,151
00:56:10,151
00:56:20,151
00:56:30,151
00:56:40,150
00:56:50,150
00:57:00,150
00:57:10,151
00:57:20,152
00:57:30,153
00:57:40,152
00:57:50,150
00:58:00,149
00:58:10,150
00:58:20,149
00:58:30,149
00:58:40,150
00:58:50,150
00:59:00,150
00:59:10,154
00:59:20,154
00:59:30,152
00:59:40,152
00:59:50,152
01:00:00,149
01:00:10,150
01:00:20,151
01:00:30,151
01:00:40,153
01:00:50,154
01:01:00,155
01:01:10,155
01:01:20,155
01:01:30,157
01:01:40,157
01:01:50,156
01:02:00,155
01:02:10,154
01:02:20,155
01:02:30,156
01:02:40,156
01:02:50,155
01:03:00,155
01:03:10,155
01:03:20,155
01:03:30,156
01:03:40,155
01:03:50,155
01:04:00,154
01:04:10,153
01:04:20,152
01:04:30,152
01:04:40,154
01:04:50,153
01:05:00,151
01:05:10,153
01:05:20,151
01:05:30,151
01:05:40,153
01:05:50,158
01:06:00,161
01:06:10,163
01:06:20,161
01:06:30,159
01:06:40,158
01:06:50,156
01:07:00,154
01:07:10,152
01:07:20,150
01:07:30,151
01:07:40,154
01:07:50,156
01:08:00,158
01:08:10,162
01:08:20,164
01:08:30,164
01:08:40,161
01:08:50,156
01:09:00,152
01:09:10,153
01:09:20,155
01:09:30,155
01:09:40,154
01:09:50,156
01:10:00,159
01:10:10,160
01:10:20,163
01:10:30,164
01:10:40,163
01:10:50,164
01:11:00,164
01:11:10,165
01:11:20,167
01:11:30,166
01:11:40,165
01:11:50,163
01:12:00,163
01:12:10,163
01:12:20,162
01:12:30,158
01:12:40,154
01:12:50,154
01:13:00,154
01:13:10,150
01:13:20,147
01:13:30,142
01:13:40,141
01:13:50,141
01:14:00,141
01:14:10,137
01:14:20,137
01:14:30,137
01:14:40,138
01:14:50,141
01:15:00,142
01:15:10,144
01:15:20,147
01:15:30,154
01:15:40,158
01:15:50,160
01:16:00,159
01:16:10,158
01:16:20,158
01:16:30,157
01:16:40,158
01:16:50,155
01:17:00,154
01:17:10,153
01:17:20,153
01:17:30,157
01:17:40,157
01:17:50,155
01:18:00,154
01:18:10,153
01:18:20,150
01:18:30,149
01:18:40,150
01:18:50,151
01:19:00,153
01:19:10,152
01:19:20,152
01:19:30,152
01:19:40,155
01:19:50,159
01:20:00,159
01:20:10,157
01:20:20,156
01:20:30,155
01:20:40,154
01:20:50,150
01:21:00,147
01:21:10,145
01:21:20,144
01:21:30,148
01:21:40,150
01:21:50,149
01:22:00,149
01:22:10,150
01:22:20,152
01:22:30,152
01:22:40,153
01:22:50,157
01:23:00,158
01:23:10,157
01:23:20,155
01:23:30,156
01:23:40,158
01:23:50,158
01:24:00,156
01:24:10,153
01:24:20,152
01:24:30,152
01:24:40,154
