Time,HR
00:00:00,81
00:00:10,78
00:00:20,87
00:00:30,104
00:00:40,121
00:00:50,130
00:01:00,134
00:01:10,137
00:01:20,140
00:01:30,142
00:01:40,144
00:01:50,146
00:02:00,146
00:02:10,146
00:02:20,147
00:02:30,148
00:02:40,147
00:02:50,147
00:03:00,146
00:03:10,145
00:03:20,143
00:03:30,143
00:03:40,143
00:03:50,143
00:04:00,145
00:04:10,145
00:04:20,147
00:04:30,146
00:04:40,146
00:04:50,148
00:05:00,148
00:05:10,149
00:05:20,148
00:05:30,150
00:05:40,152
00:05:50,153
00:06:00,154
00:06:10,152
00:06:20,152
00:06:30,152
00:06:40,151
00:06:50,151
00:07:00,149
00:07:10,149
00:07:20,148
00:07:30,148
00:07:40,149
00:07:50,149
00:08:00,148
00:08:10,149
00:08:20,149
00:08:30,150
00:08:40,151
00:08:50,152
00:09:00,152
00:09:10,153
00:09:20,154
00:09:30,155
00:09:40,156
00:09:50,157
00:10:00,156
00:10:10,156
00:10:20,157
00:10:30,157
00:10:40,158
00:10:50,159
00:11:00,160
00:11:10,159
00:11:20,160
00:11:30,160
00:11:40,159
00:11:50,156
00:12:00,154
00:12:10,152
00:12:20,152
00:12:30,152
00:12:40,153
00:12:50,153
00:13:00,152
00:13:10,149
00:13:20,147
00:13:30,146
00:13:40,146
00:13:50,144
00:14:00,143
00:14:10,143
00:14:20,142
00:14:30,142
00:14:40,144
00:14:50,146
00:15:00,147
00:15:10,149
00:15:20,148
00:15:30,148
00:15:40,150
00:15:50,153
00:16:00,154
00:16:10,153
00:16:20,153
00:16:30,154
00:16:40,154
00:16:50,155
00:17:00,156
00:17:10,155
00:17:20,155
00:17:30,154
00:17:40,153
00:17:50,152
00:18:00,152
00:18:10,154
00:18:20,154
00:18:30,154
00:18:40,155
00:18:50,155
00:19:00,155
00:19:10,155
00:19:20,153
00:19:30,153
00:19:40,153
00:19:50,153
00:20:00,154
00:20:10,154
00:20:20,155
00:20:30,156
00:20:40,156
00:20:50,156
00:21:00,156
00:21:10,155
00:21:20,154
00:21:30,154
00:21:40,155
00:21:50,155
00:22:00,155
00:22:10,154
00:22:20,154
00:22:30,155
00:22:40,155
00:22:50,155
00:23:00,155
00:23:10,156
00:23:20,156
00:23:30,156
00:23:40,156
00:23:50,156
00:24:00,155
00:24:10,155
00:24:20,153
00:24:30,155
00:24:40,155
00:24:50,154
00:25:00,153
00:25:10,154
00:25:20,155
00:25:30,157
00:25:40,158
00:25:50,158
00:26:00,156
00:26:10,155
00:26:20,155
00:26:30,156
00:26:40,155
00:26:50,154
00:27:00,156
00:27:10,158
00:27:20,158
00:27:30,157
00:27:40,159
00:27:50,160
00:28:00,158
00:28:10,154
00:28:20,154
00:28:30,153
00:28:40,154
00:28:50,157
00:29:00,158
00:29:10,157
00:29:20,156
00:29:30,156
00:29:40,157
00:29:50,157
00:30:00,158
00:30:10,159
00:30:20,158
00:30:30,158
00:30:40,159
00:30:50,159
00:31:00,158
00:31:10,158
00:31:20,159
00:31:30,159
00:31:40,160
00:31:50,160
00:32:00,159
00:32:10,159
00:32:20,158
00:32:30,158
00:32:40,159
00:32:50,160
00:33:00,161
00:33:10,160
00:33:20,161
00:33:30,160
00:33:40,159
00:33:50,158
00:34:00,158
00:34:10,158
00:34:20,158
00:34:30,161
00:34:40,162
00:34:50,163
00:35:00,164
00:35:10,163
00:35:20,162
00:35:30,162
00:35:40,161
00:35:50,161
00:36:00,160
00:36:10,161
00:36:20,162
00:36:30,163
00:36:40,162
00:36:50,161
00:37:00,163
00:37:10,164
00:37:20,163
00:37:30,163
00:37:40,162
00:37:50,162
00:38:00,160
00:38:10,161
00:38:20,163
00:38:30,163
00:38:40,162
00:38:50,163
00:39:00,163
00:39:10,162
00:39:20,161
00:39:30,161
00:39:40,160
00:39:50,161
00:40:00,160
00:40:10,161
00:40:20,162
00:40:30,163
00:40:40,163
00:40:50,163
00:41:00,161
00:41:10,159
00:41:20,159
00:41:30,159
00:41:40,159
00:41:50,158
00:42:00,154
00:42:10,148
00:42:20,140
00:42:30,141
00:42:40,145
00:42:50,146
00:43:00,148
00:43:10,152
00:43:20,156
00:43:30,159
00:43:40,160
00:43:50,160
00:44:00,162
00:44:10,162
00:44:20,162
00:44:30,162
00:44:40,162
00:44:50,161
00:45:00,162
00:45:10,163
00:45:20,165
00:45:30,165
00:45:40,165
00:45:50,164
00:46:00,164
00:46:10,164
00:46:20,163
00:46:30,163
00:46:40,164
00:46:50,164
00:47:00,165
00:47:10,166
00:47:20,166
00:47:30,166
00:47:40,164
00:47:50,163
00:48:00,162
00:48:10,166
00:48:20,167
00:48:30,167
00:48:40,168
00:48:50,168
00:49:00,168
00:49:10,169
00:49:20,170
00:49:30,171
00:49:40,173
00:49:50,175
00:50:00,176
00:50:10,177
00:50:20,179
00:50:30,179
00:50:40,180
00:50:50,178
00:51:00,178
00:51:10,177
00:51:20,177
00:51:30,176
00:51:40,175
00:51:50,174
00:52:00,173
00:52:10,174
00:52:20,172
00:52:30,168
00:52:40,168
00:52:50,167
00:53:00,166
00:53:10,165
00:53:20,166
00:53:30,166
00:53:40,166
00:53:50,167
00:54:00,166
00:54:10,166
00:54:20,166
00:54:30,166
00:54:40,166
00:54:50,162
00:55:00,160
00:55:10,160
00:55:20,164
00:55:30,165
00:55:40,163
00:55:50,158
00:56:00,150
00:56:10,138
00:56:20,126
00:56:30,122
00:56:40,120
00:56:50,115
00:57:00,112
00:57:10,111
00:57:20,116
00:57:30,120
00:57:40,120
00:57:50,119
