Time,HR
2014-04-13T08:04:08.000Z,59
2014-04-13T08:04:11.000Z,79
2014-04-13T08:04:12.000Z,79
2014-04-13T08:04:16.000Z,79
2014-04-13T08:04:19.000Z,88
2014-04-13T08:04:20.000Z,88
2014-04-13T08:04:25.000Z,88
2014-04-13T08:04:27.000Z,101
2014-04-13T08:04:30.000Z,115
2014-04-13T08:04:33.000Z,116
2014-04-13T08:04:40.000Z,120
2014-04-13T08:04:41.000Z,120
2014-04-13T08:04:43.000Z,128
2014-04-13T08:04:44.000Z,128
2014-04-13T08:04:50.000Z,129
2014-04-13T08:04:51.000Z,137
2014-04-13T08:04:53.000Z,141
2014-04-13T08:04:55.000Z,141
2014-04-13T08:04:59.000Z,148
2014-04-13T08:05:00.000Z,148
2014-04-13T08:05:03.000Z,150
2014-04-13T08:05:10.000Z,146
2014-04-13T08:05:15.000Z,148
2014-04-13T08:05:21.000Z,150
2014-04-13T08:05:25.000Z,145
2014-04-13T08:05:27.000Z,150
2014-04-13T08:05:33.000Z,154
2014-04-13T08:05:39.000Z,157
2014-04-13T08:05:46.000Z,160
2014-04-13T08:05:47.000Z,165
2014-04-13T08:05:48.000Z,165
2014-04-13T08:05:52.000Z,157
2014-04-13T08:05:53.000Z,157
2014-04-13T08:05:59.000Z,147
2014-04-13T08:06:01.000Z,147
2014-04-13T08:06:03.000Z,150
2014-04-13T08:06:07.000Z,152
2014-04-13T08:06:09.000Z,152
2014-04-13T08:06:13.000Z,145
2014-04-13T08:06:18.000Z,151
2014-04-13T08:06:24.000Z,157
2014-04-13T08:06:25.000Z,157
2014-04-13T08:06:27.000Z,150
2014-04-13T08:06:28.000Z,150
2014-04-13T08:06:33.000Z,146
2014-04-13T08:06:35.000Z,137
2014-04-13T08:06:36.000Z,132
2014-04-13T08:06:38.000Z,129
2014-04-13T08:06:44.000Z,130
2014-04-13T08:06:45.000Z,137
2014-04-13T08:06:51.000Z,139
2014-04-13T08:06:57.000Z,139
2014-04-13T08:07:04.000Z,141
2014-04-13T08:07:11.000Z,148
2014-04-13T08:07:12.000Z,148
2014-04-13T08:07:17.000Z,149
2014-04-13T08:07:24.000Z,151
2014-04-13T08:07:30.000Z,148
2014-04-13T08:07:36.000Z,148
2014-04-13T08:07:42.000Z,151
2014-04-13T08:07:48.000Z,152
2014-04-13T08:07:54.000Z,145
2014-04-13T08:07:59.000Z,145
2014-04-13T08:08:00.000Z,140
2014-04-13T08:08:01.000Z,140
2014-04-13T08:08:07.000Z,135
2014-04-13T08:08:13.000Z,135
2014-04-13T08:08:20.000Z,131
2014-04-13T08:08:25.000Z,133
2014-04-13T08:08:31.000Z,134
2014-04-13T08:08:38.000Z,137
2014-04-13T08:08:42.000Z,142
2014-04-13T08:08:48.000Z,142
2014-04-13T08:08:54.000Z,141
2014-04-13T08:09:01.000Z,139
2014-04-13T08:09:08.000Z,137
2014-04-13T08:09:11.000Z,132
2014-04-13T08:09:17.000Z,131
2014-04-13T08:09:23.000Z,127
2014-04-13T08:09:30.000Z,124
2014-04-13T08:09:32.000Z,130
2014-04-13T08:09:33.000Z,129
2014-04-13T08:09:37.000Z,135
2014-04-13T08:09:40.000Z,130
2014-04-13T08:09:41.000Z,137
2014-04-13T08:09:42.000Z,137
2014-04-13T08:09:48.000Z,135
2014-04-13T08:09:51.000Z,130
2014-04-13T08:09:58.000Z,135
2014-04-13T08:09:59.000Z,134
2014-04-13T08:10:07.000Z,132
2014-04-13T08:10:12.000Z,132
2014-04-13T08:10:18.000Z,132
2014-04-13T08:10:22.000Z,139
2014-04-13T08:10:27.000Z,144
2014-04-13T08:10:28.000Z,144
2014-04-13T08:10:33.000Z,144
2014-04-13T08:10:35.000Z,141
2014-04-13T08:10:41.000Z,135
2014-04-13T08:10:42.000Z,135
2014-04-13T08:10:48.000Z,133
2014-04-13T08:10:53.000Z,138
2014-04-13T08:10:57.000Z,132
2014-04-13T08:11:04.000Z,128
2014-04-13T08:11:09.000Z,125
2014-04-13T08:11:15.000Z,124
2014-04-13T08:11:19.000Z,129
2014-04-13T08:11:25.000Z,124
2014-04-13T08:11:32.000Z,122
2014-04-13T08:11:39.000Z,121
2014-04-13T08:11:46.000Z,120
2014-04-13T08:11:50.000Z,121
2014-04-13T08:11:55.000Z,120
2014-04-13T08:11:57.000Z,120
2014-04-13T08:12:03.000Z,120
2014-04-13T08:12:08.000Z,120
2014-04-13T08:12:13.000Z,126
2014-04-13T08:12:19.000Z,125
2014-04-13T08:12:24.000Z,125
2014-04-13T08:12:29.000Z,124
2014-04-13T08:12:35.000Z,123
2014-04-13T08:12:40.000Z,123
2014-04-13T08:12:41.000Z,122
2014-04-13T08:12:44.000Z,121
2014-04-13T08:12:50.000Z,120
2014-04-13T08:12:54.000Z,118
2014-04-13T08:12:58.000Z,119
2014-04-13T08:13:04.000Z,123
