Time,HR
00:00:00,82
00:00:10,96
00:00:20,108
00:00:30,119
00:00:40,123
00:00:50,130
00:01:00,139
00:01:10,137
00:01:20,136
00:01:30,132
00:01:40,128
00:01:50,124
00:02:00,121
00:02:10,122
00:02:20,125
00:02:30,127
00:02:40,132
00:02:50,137
00:03:00,140
00:03:10,140
00:03:20,140
00:03:30,140
00:03:40,144
00:03:50,145
00:04:00,144
00:04:10,147
00:04:20,149
00:04:30,151
00:04:40,145
00:04:50,135
00:05:00,120
00:05:10,117
00:05:20,126
00:05:30,127
00:05:40,127
00:05:50,127
00:06:00,127
00:06:10,127
00:06:20,126
00:06:30,125
00:06:40,125
00:06:50,124
00:07:00,124
00:07:10,123
00:07:20,123
00:07:30,122
00:07:40,122
00:07:50,121
00:08:00,121
00:08:10,120
00:08:20,120
00:08:30,120
00:08:40,119
00:08:50,119
00:09:00,118
00:09:10,118
00:09:20,117
00:09:30,117
00:09:40,116
00:09:50,110
00:10:00,108
00:10:10,117
00:10:20,118
00:10:30,118
00:10:40,119
00:10:50,119
00:11:00,119
00:11:10,119
00:11:20,119
00:11:30,120
00:11:40,120
00:11:50,120
00:12:00,120
00:12:10,120
00:12:20,121
00:12:30,121
00:12:40,121
00:12:50,121
00:13:00,121
00:13:10,122
00:13:20,122
00:13:30,122
00:13:40,122
00:13:50,124
00:14:00,127
00:14:10,129
00:14:20,130
00:14:30,130
00:14:40,130
00:14:50,128
00:15:00,125
00:15:10,122
00:15:20,120
00:15:30,118
00:15:40,116
00:15:50,114
00:16:00,112
00:16:10,110
00:16:20,108
00:16:30,107
00:16:40,110
00:16:50,112
00:17:00,112
00:17:10,112
00:17:20,111
00:17:30,112
00:17:40,113
00:17:50,113
00:18:00,113
00:18:10,113
00:18:20,113
00:18:30,109
00:18:40,97
00:18:50,95
00:19:00,95
