Time,HR
2015-04-14T16:32:49.000Z,115
2015-04-14T16:32:50.000Z,115
2015-04-14T16:32:56.000Z,118
2015-04-14T16:32:59.000Z,119
2015-04-14T16:33:05.000Z,122
2015-04-14T16:33:09.000Z,125
2015-04-14T16:33:13.000Z,128
2015-04-14T16:33:16.000Z,131
2015-04-14T16:33:18.000Z,132
2015-04-14T16:33:21.000Z,136
2015-04-14T16:33:25.000Z,139
2015-04-14T16:33:29.000Z,142
2015-04-14T16:33:34.000Z,145
2015-04-14T16:33:39.000Z,146
2015-04-14T16:33:40.000Z,147
2015-04-14T16:33:45.000Z,150
2015-04-14T16:33:50.000Z,152
2015-04-14T16:33:55.000Z,155
2015-04-14T16:34:01.000Z,157
2015-04-14T16:34:06.000Z,159
2015-04-14T16:34:11.000Z,160
2015-04-14T16:34:16.000Z,163
2015-04-14T16:34:21.000Z,165
2015-04-14T16:34:25.000Z,168
2015-04-14T16:34:31.000Z,170
2015-04-14T16:34:34.000Z,172
2015-04-14T16:34:36.000Z,172
2015-04-14T16:34:41.000Z,174
2015-04-14T16:34:46.000Z,174
2015-04-14T16:34:51.000Z,174
2015-04-14T16:34:56.000Z,175
2015-04-14T16:35:01.000Z,175
2015-04-14T16:35:07.000Z,175
2015-04-14T16:35:13.000Z,176
2015-04-14T16:35:18.000Z,177
2015-04-14T16:35:23.000Z,177
2015-04-14T16:35:28.000Z,179
2015-04-14T16:35:33.000Z,178
2015-04-14T16:35:38.000Z,178
2015-04-14T16:35:44.000Z,179
2015-04-14T16:35:50.000Z,180
2015-04-14T16:35:56.000Z,179
2015-04-14T16:36:01.000Z,180
2015-04-14T16:36:06.000Z,180
2015-04-14T16:36:11.000Z,179
2015-04-14T16:36:17.000Z,178
2015-04-14T16:36:23.000Z,178
2015-04-14T16:36:29.000Z,179
2015-04-14T16:36:34.000Z,179
2015-04-14T16:36:39.000Z,179
2015-04-14T16:36:44.000Z,180
2015-04-14T16:36:49.000Z,180
2015-04-14T16:36:54.000Z,181
2015-04-14T16:36:59.000Z,180
2015-04-14T16:37:05.000Z,180
2015-04-14T16:37:11.000Z,180
2015-04-14T16:37:17.000Z,180
2015-04-14T16:37:23.000Z,178
2015-04-14T16:37:29.000Z,177
2015-04-14T16:37:35.000Z,177
2015-04-14T16:37:42.000Z,175
2015-04-14T16:37:43.000Z,175
2015-04-14T16:37:50.000Z,172
2015-04-14T16:37:56.000Z,169
2015-04-14T16:38:00.000Z,166
2015-04-14T16:38:04.000Z,163
2015-04-14T16:38:11.000Z,160
2015-04-14T16:38:17.000Z,157
2015-04-14T16:38:24.000Z,154
2015-04-14T16:38:32.000Z,151
2015-04-14T16:38:33.000Z,151
2015-04-14T16:38:34.000Z,150
2015-04-14T16:38:44.000Z,149
2015-04-14T16:38:52.000Z,146
2015-04-14T16:39:02.000Z,143
2015-04-14T16:39:03.000Z,143
2015-04-14T16:39:07.000Z,140
2015-04-14T16:39:12.000Z,137
2015-04-14T16:39:23.000Z,136
2015-04-14T16:39:33.000Z,135
2015-04-14T16:39:43.000Z,135
2015-04-14T16:39:54.000Z,135
2015-04-14T16:40:03.000Z,135
2015-04-14T16:40:12.000Z,135
2015-04-14T16:40:22.000Z,135
2015-04-14T16:40:31.000Z,132
2015-04-14T16:40:41.000Z,133
2015-04-14T16:40:43.000Z,134
2015-04-14T16:40:51.000Z,136
2015-04-14T16:40:55.000Z,139
2015-04-14T16:40:59.000Z,142
2015-04-14T16:41:03.000Z,145
2015-04-14T16:41:08.000Z,148
2015-04-14T16:41:12.000Z,151
2015-04-14T16:41:17.000Z,154
2015-04-14T16:41:22.000Z,157
2015-04-14T16:41:28.000Z,159
2015-04-14T16:41:34.000Z,162
2015-04-14T16:41:40.000Z,165
2015-04-14T16:41:46.000Z,167
2015-04-14T16:41:48.000Z,168
2015-04-14T16:41:54.000Z,168
2015-04-14T16:42:00.000Z,169
2015-04-14T16:42:06.000Z,169
2015-04-14T16:42:12.000Z,170
2015-04-14T16:42:17.000Z,171
2015-04-14T16:42:22.000Z,171
2015-04-14T16:42:28.000Z,171
2015-04-14T16:42:33.000Z,173
2015-04-14T16:42:38.000Z,174
2015-04-14T16:42:43.000Z,174
2015-04-14T16:42:48.000Z,175
2015-04-14T16:42:53.000Z,175
2015-04-14T16:42:58.000Z,176
2015-04-14T16:43:04.000Z,175
2015-04-14T16:43:09.000Z,176
2015-04-14T16:43:15.000Z,177
2015-04-14T16:43:21.000Z,177
2015-04-14T16:43:26.000Z,177
2015-04-14T16:43:31.000Z,177
2015-04-14T16:43:36.000Z,177
2015-04-14T16:43:42.000Z,177
2015-04-14T16:43:48.000Z,176
2015-04-14T16:43:56.000Z,176
2015-04-14T16:44:03.000Z,175
2015-04-14T16:44:09.000Z,175
2015-04-14T16:44:14.000Z,175
2015-04-14T16:44:15.000Z,175
2015-04-14T16:44:21.000Z,175
2015-04-14T16:44:27.000Z,176
2015-04-14T16:44:32.000Z,176
2015-04-14T16:44:37.000Z,176
2015-04-14T16:44:42.000Z,176
2015-04-14T16:44:48.000Z,175
2015-04-14T16:44:54.000Z,176
2015-04-14T16:45:01.000Z,175
2015-04-14T16:45:08.000Z,175
2015-04-14T16:45:14.000Z,174
2015-04-14T16:45:20.000Z,174
2015-04-14T16:45:26.000Z,173
2015-04-14T16:45:32.000Z,173
2015-04-14T16:45:36.000Z,173
2015-04-14T16:45:44.000Z,172
2015-04-14T16:45:51.000Z,169
2015-04-14T16:45:57.000Z,166
2015-04-14T16:46:01.000Z,163
2015-04-14T16:46:06.000Z,160
2015-04-14T16:46:09.000Z,157
2015-04-14T16:46:12.000Z,155
2015-04-14T16:46:15.000Z,152
2015-04-14T16:46:25.000Z,149
2015-04-14T16:46:36.000Z,146
2015-04-14T16:46:45.000Z,143
2015-04-14T16:46:56.000Z,142
2015-04-14T16:47:07.000Z,140
2015-04-14T16:47:18.000Z,138
2015-04-14T16:47:29.000Z,137
2015-04-14T16:47:40.000Z,138
2015-04-14T16:47:51.000Z,136
2015-04-14T16:47:56.000Z,133
2015-04-14T16:48:08.000Z,134
2015-04-14T16:48:19.000Z,135
2015-04-14T16:48:30.000Z,135
2015-04-14T16:48:36.000Z,135
2015-04-14T16:48:43.000Z,138
2015-04-14T16:48:47.000Z,141
2015-04-14T16:48:51.000Z,144
2015-04-14T16:48:56.000Z,147
2015-04-14T16:49:00.000Z,150
2015-04-14T16:49:04.000Z,153
2015-04-14T16:49:08.000Z,156
2015-04-14T16:49:13.000Z,159
2015-04-14T16:49:19.000Z,162
2015-04-14T16:49:23.000Z,164
2015-04-14T16:49:28.000Z,165
2015-04-14T16:49:33.000Z,167
2015-04-14T16:49:38.000Z,168
2015-04-14T16:49:43.000Z,170
2015-04-14T16:49:48.000Z,171
2015-04-14T16:49:53.000Z,172
2015-04-14T16:49:58.000Z,172
2015-04-14T16:50:03.000Z,173
2015-04-14T16:50:08.000Z,173
2015-04-14T16:50:13.000Z,174
2015-04-14T16:50:18.000Z,174
2015-04-14T16:50:24.000Z,174
2015-04-14T16:50:30.000Z,174
2015-04-14T16:50:36.000Z,174
2015-04-14T16:50:41.000Z,174
2015-04-14T16:50:47.000Z,174
2015-04-14T16:50:53.000Z,175
2015-04-14T16:50:59.000Z,175
2015-04-14T16:51:06.000Z,175
2015-04-14T16:51:11.000Z,176
2015-04-14T16:51:16.000Z,175
2015-04-14T16:51:21.000Z,175
2015-04-14T16:51:27.000Z,174
2015-04-14T16:51:34.000Z,173
2015-04-14T16:51:40.000Z,173
2015-04-14T16:51:46.000Z,173
2015-04-14T16:51:52.000Z,173
2015-04-14T16:51:58.000Z,173
2015-04-14T16:52:04.000Z,173
2015-04-14T16:52:08.000Z,173
2015-04-14T16:52:15.000Z,173
2015-04-14T16:52:21.000Z,173
2015-04-14T16:52:27.000Z,174
2015-04-14T16:52:33.000Z,173
2015-04-14T16:52:39.000Z,174
2015-04-14T16:52:45.000Z,173
2015-04-14T16:52:51.000Z,173
2015-04-14T16:52:57.000Z,173
2015-04-14T16:53:03.000Z,173
2015-04-14T16:53:09.000Z,173
2015-04-14T16:53:16.000Z,174
2015-04-14T16:53:22.000Z,173
2015-04-14T16:53:29.000Z,173
2015-04-14T16:53:33.000Z,172
2015-04-14T16:53:41.000Z,169
2015-04-14T16:53:43.000Z,169
2015-04-14T16:53:46.000Z,168
2015-04-14T16:53:53.000Z,165
2015-04-14T16:53:54.000Z,165
2015-04-14T16:53:56.000Z,163
2015-04-14T16:53:58.000Z,162
2015-04-14T16:54:01.000Z,159
2015-04-14T16:54:04.000Z,156
2015-04-14T16:54:08.000Z,153
2015-04-14T16:54:11.000Z,150
2015-04-14T16:54:16.000Z,147
2015-04-14T16:54:21.000Z,144
2015-04-14T16:54:33.000Z,141
2015-04-14T16:54:34.000Z,141
2015-04-14T16:54:46.000Z,139
2015-04-14T16:54:54.000Z,136
2015-04-14T16:55:01.000Z,133
2015-04-14T16:55:12.000Z,132
2015-04-14T16:55:22.000Z,132
2015-04-14T16:55:34.000Z,131
2015-04-14T16:55:45.000Z,130
2015-04-14T16:55:57.000Z,133
2015-04-14T16:56:08.000Z,133
2015-04-14T16:56:09.000Z,133
2015-04-14T16:56:21.000Z,133
2015-04-14T16:56:27.000Z,133
2015-04-14T16:56:29.000Z,133
2015-04-14T16:56:36.000Z,133
2015-04-14T16:56:41.000Z,136
2015-04-14T16:56:44.000Z,139
2015-04-14T16:56:48.000Z,142
2015-04-14T16:56:51.000Z,145
2015-04-14T16:56:55.000Z,148
2015-04-14T16:57:00.000Z,150
2015-04-14T16:57:03.000Z,153
2015-04-14T16:57:09.000Z,156
2015-04-14T16:57:14.000Z,159
2015-04-14T16:57:19.000Z,161
2015-04-14T16:57:24.000Z,163
2015-04-14T16:57:30.000Z,165
2015-04-14T16:57:35.000Z,166
2015-04-14T16:57:41.000Z,168
