Time,HR
00:00:00,56
00:00:10,70
00:00:20,69
00:00:30,84
00:00:40,102
00:00:50,108
00:01:00,120
00:01:10,128
00:01:20,134
00:01:30,136
00:01:40,140
00:01:50,141
00:02:00,143
00:02:10,142
00:02:20,147
00:02:30,150
00:02:40,151
00:02:50,152
00:03:00,156
00:03:10,160
00:03:20,160
00:03:30,161
00:03:40,163
00:03:50,166
00:04:00,174
00:04:10,155
00:04:20,147
00:04:30,143
00:04:40,137
00:04:50,143
00:05:00,146
00:05:10,143
00:05:20,152
00:05:30,157
00:05:40,161
00:05:50,164
00:06:00,162
00:06:10,161
00:06:20,160
00:06:30,156
00:06:40,157
00:06:50,161
00:07:00,157
00:07:10,151
00:07:20,158
00:07:30,162
00:07:40,161
00:07:50,160
00:08:00,160
00:08:10,162
00:08:20,163
00:08:30,161
00:08:40,162
00:08:50,161
00:09:00,160
00:09:10,160
00:09:20,159
00:09:30,159
00:09:40,159
00:09:50,155
00:10:00,158
00:10:10,160
00:10:20,162
00:10:30,164
00:10:40,165
00:10:50,164
00:11:00,164
00:11:10,164
00:11:20,162
00:11:30,160
00:11:40,162
00:11:50,163
00:12:00,162
00:12:10,163
00:12:20,164
00:12:30,164
00:12:40,163
00:12:50,163
00:13:00,164
00:13:10,165
00:13:20,165
00:13:30,166
00:13:40,164
00:13:50,161
00:14:00,157
00:14:10,157
00:14:20,158
00:14:30,159
00:14:40,161
00:14:50,162
00:15:00,164
00:15:10,165
00:15:20,167
00:15:30,169
00:15:40,169
00:15:50,167
00:16:00,166
00:16:10,167
00:16:20,169
00:16:30,168
00:16:40,168
00:16:50,168
00:17:00,166
00:17:10,167
00:17:20,167
00:17:30,166
00:17:40,166
00:17:50,166
00:18:00,167
00:18:10,165
00:18:20,164
00:18:30,162
00:18:40,164
00:18:50,166
00:19:00,167
00:19:10,169
00:19:20,171
00:19:30,172
00:19:40,172
00:19:50,170
00:20:00,169
00:20:10,171
00:20:20,172
00:20:30,172
00:20:40,170
00:20:50,171
00:21:00,171
00:21:10,171
00:21:20,172
00:21:30,173
00:21:40,173
00:21:50,172
00:22:00,170
00:22:10,168
00:22:20,168
00:22:30,168
00:22:40,167
00:22:50,167
00:23:00,168
00:23:10,169
00:23:20,169
00:23:30,169
00:23:40,175
00:23:50,176
00:24:00,179
00:24:10,180
00:24:20,179
00:24:30,177
00:24:40,175
00:24:50,173
00:25:00,172
00:25:10,172
00:25:20,171
00:25:30,169
00:25:40,168
00:25:50,169
00:26:00,168
00:26:10,170
00:26:20,173
00:26:30,172
00:26:40,171
00:26:50,173
00:27:00,173
00:27:10,172
00:27:20,171
00:27:30,170
00:27:40,169
00:27:50,170
00:28:00,171
00:28:10,169
00:28:20,169
00:28:30,170
00:28:40,171
00:28:50,170
00:29:00,170
00:29:10,170
00:29:20,172
00:29:30,172
00:29:40,170
00:29:50,168
00:30:00,170
00:30:10,172
00:30:20,174
00:30:30,175
00:30:40,177
00:30:50,179
00:31:00,179
00:31:10,177
00:31:20,177
00:31:30,175
00:31:40,174
00:31:50,173
00:32:00,171
00:32:10,170
00:32:20,171
00:32:30,172
00:32:40,173
00:32:50,174
00:33:00,172
00:33:10,171
00:33:20,172
00:33:30,173
00:33:40,174
00:33:50,174
00:34:00,174
00:34:10,176
00:34:20,178
00:34:30,178
00:34:40,178
00:34:50,178
00:35:00,179
00:35:10,181
00:35:20,183
00:35:30,183
00:35:40,182
00:35:50,181
00:36:00,181
00:36:10,179
00:36:20,177
00:36:30,175
00:36:40,175
00:36:50,175
00:37:00,174
00:37:10,173
00:37:20,174
00:37:30,174
00:37:40,173
00:37:50,172
00:38:00,172
00:38:10,171
00:38:20,172
00:38:30,174
00:38:40,175
00:38:50,175
00:39:00,175
00:39:10,176
00:39:20,175
00:39:30,174
00:39:40,173
00:39:50,175
00:40:00,176
00:40:10,176
00:40:20,176
00:40:30,177
00:40:40,177
00:40:50,178
00:41:00,178
00:41:10,178
00:41:20,178
00:41:30,179
00:41:40,179
00:41:50,179
00:42:00,177
00:42:10,175
00:42:20,175
00:42:30,173
00:42:40,172
00:42:50,172
00:43:00,173
00:43:10,175
00:43:20,176
00:43:30,177
00:43:40,176
00:43:50,174
00:44:00,173
00:44:10,171
00:44:20,167
00:44:30,161
00:44:40,163
00:44:50,165
00:45:00,167
00:45:10,171
00:45:20,175
00:45:30,177
00:45:40,178
00:45:50,178
00:46:00,179
00:46:10,180
00:46:20,181
00:46:30,181
00:46:40,182
00:46:50,182
00:47:00,181
00:47:10,180
00:47:20,180
00:47:30,179
00:47:40,179
00:47:50,179
00:48:00,178
00:48:10,177
00:48:20,178
00:48:30,180
00:48:40,181
00:48:50,181
00:49:00,181
00:49:10,178
00:49:20,177
00:49:30,168
00:49:40,152
00:49:50,139
00:50:00,136
00:50:10,126
00:50:20,124
00:50:30,121
00:50:40,125
00:50:50,125
00:51:00,112
00:51:10,109
00:51:20,105
00:51:30,111
00:51:40,107
00:51:50,102
00:52:00,105
00:52:10,115
00:52:20,123
00:52:30,123
00:52:40,113
00:52:50,113
00:53:00,121
00:53:10,126
00:53:20,123
00:53:30,122
00:53:40,102
00:53:50,117
00:54:00,116
00:54:10,129
00:54:20,130
00:54:30,127
00:54:40,132
00:54:50,124
00:55:00,85
00:55:10,69
00:55:20,77
00:55:30,77
00:55:40,77
