Time,HR
00:00:00,74
00:00:10,74
00:00:20,78
00:00:30,76
00:00:40,76
00:00:50,81
00:01:00,81
00:01:10,119
00:01:20,129
00:01:30,137
00:01:40,140
00:01:50,142
00:02:00,144
00:02:10,143
00:02:20,144
00:02:30,144
00:02:40,143
00:02:50,143
00:03:00,146
00:03:10,148
00:03:20,148
00:03:30,147
00:03:40,144
00:03:50,143
00:04:00,147
00:04:10,148
00:04:20,147
00:04:30,148
00:04:40,148
00:04:50,149
00:05:00,151
00:05:10,152
00:05:20,152
00:05:30,151
00:05:40,147
00:05:50,146
00:06:00,149
00:06:10,150
00:06:20,151
00:06:30,151
00:06:40,150
00:06:50,151
00:07:00,153
00:07:10,153
00:07:20,153
00:07:30,152
00:07:40,151
00:07:50,148
00:08:00,149
00:08:10,152
00:08:20,155
00:08:30,154
00:08:40,154
00:08:50,155
00:09:00,155
00:09:10,155
00:09:20,155
00:09:30,155
00:09:40,154
00:09:50,153
00:10:00,154
00:10:10,151
00:10:20,150
00:10:30,152
00:10:40,153
00:10:50,154
00:11:00,154
00:11:10,154
00:11:20,154
00:11:30,154
00:11:40,154
00:11:50,154
00:12:00,155
00:12:10,155
00:12:20,155
00:12:30,155
00:12:40,150
00:12:50,146
00:13:00,149
00:13:10,151
00:13:20,152
00:13:30,153
00:13:40,152
00:13:50,152
00:14:00,152
00:14:10,152
00:14:20,151
00:14:30,151
00:14:40,152
00:14:50,150
00:15:00,151
00:15:10,151
00:15:20,151
00:15:30,153
00:15:40,155
00:15:50,153
00:16:00,151
00:16:10,152
00:16:20,152
00:16:30,151
00:16:40,152
00:16:50,152
00:17:00,147
00:17:10,150
00:17:20,150
00:17:30,150
00:17:40,153
00:17:50,154
00:18:00,157
00:18:10,153
00:18:20,152
00:18:30,153
00:18:40,154
00:18:50,154
00:19:00,153
00:19:10,153
00:19:20,152
00:19:30,152
00:19:40,152
00:19:50,153
00:20:00,153
00:20:10,150
00:20:20,149
00:20:30,152
00:20:40,152
00:20:50,154
00:21:00,153
00:21:10,152
00:21:20,153
00:21:30,153
00:21:40,153
00:21:50,153
00:22:00,153
00:22:10,153
00:22:20,140
00:22:30,116
00:22:40,114
00:22:50,123
00:23:00,136
00:23:10,146
00:23:20,148
00:23:30,143
00:23:40,146
00:23:50,149
00:24:00,151
00:24:10,152
00:24:20,153
00:24:30,153
00:24:40,151
00:24:50,153
00:25:00,156
00:25:10,155
00:25:20,154
00:25:30,154
00:25:40,155
00:25:50,155
00:26:00,156
00:26:10,156
00:26:20,156
00:26:30,154
00:26:40,154
00:26:50,154
00:27:00,153
00:27:10,153
00:27:20,154
00:27:30,154
00:27:40,154
00:27:50,154
00:28:00,156
00:28:10,156
00:28:20,156
00:28:30,158
00:28:40,160
00:28:50,161
00:29:00,161
00:29:10,159
00:29:20,158
00:29:30,155
00:29:40,155
00:29:50,156
00:30:00,153
00:30:10,152
00:30:20,153
00:30:30,157
00:30:40,152
00:30:50,153
00:31:00,156
00:31:10,157
00:31:20,158
00:31:30,156
00:31:40,155
00:31:50,155
00:32:00,154
00:32:10,155
00:32:20,155
00:32:30,156
00:32:40,158
00:32:50,157
00:33:00,154
00:33:10,152
00:33:20,149
00:33:30,148
00:33:40,149
00:33:50,150
00:34:00,153
00:34:10,155
00:34:20,155
00:34:30,155
00:34:40,157
00:34:50,157
00:35:00,156
00:35:10,156
00:35:20,155
00:35:30,155
00:35:40,154
00:35:50,151
00:36:00,150
00:36:10,148
00:36:20,137
00:36:30,125
00:36:40,105
00:36:50,109
00:37:00,103
00:37:10,101
00:37:20,99
00:37:30,96
00:37:40,97
