Time,HR
2015-04-05T16:10:13.000Z,84
2015-04-05T16:10:14.000Z,84
2015-04-05T16:10:21.000Z,84
2015-04-05T16:10:27.000Z,86
2015-04-05T16:10:29.000Z,87
2015-04-05T16:10:33.000Z,90
2015-04-05T16:10:37.000Z,93
2015-04-05T16:10:38.000Z,94
2015-04-05T16:10:43.000Z,97
2015-04-05T16:10:49.000Z,99
2015-04-05T16:10:56.000Z,101
2015-04-05T16:11:02.000Z,102
2015-04-05T16:11:05.000Z,102
2015-04-05T16:11:12.000Z,104
2015-04-05T16:11:19.000Z,104
2015-04-05T16:11:25.000Z,105
2015-04-05T16:11:29.000Z,106
2015-04-05T16:11:31.000Z,106
2015-04-05T16:11:38.000Z,107
2015-04-05T16:11:44.000Z,107
2015-04-05T16:11:47.000Z,107
2015-04-05T16:11:54.000Z,106
2015-04-05T16:12:00.000Z,104
2015-04-05T16:12:07.000Z,105
2015-04-05T16:12:10.000Z,106
2015-04-05T16:12:16.000Z,107
2015-04-05T16:12:23.000Z,109
2015-04-05T16:12:30.000Z,110
2015-04-05T16:12:37.000Z,111
2015-04-05T16:12:39.000Z,111
2015-04-05T16:12:44.000Z,111
2015-04-05T16:12:51.000Z,111
2015-04-05T16:12:52.000Z,111
2015-04-05T16:12:59.000Z,110
2015-04-05T16:13:06.000Z,110
2015-04-05T16:13:13.000Z,110
2015-04-05T16:13:21.000Z,109
2015-04-05T16:13:28.000Z,110
2015-04-05T16:13:35.000Z,111
2015-04-05T16:13:42.000Z,110
2015-04-05T16:13:49.000Z,112
2015-04-05T16:13:54.000Z,113
2015-04-05T16:14:00.000Z,114
2015-04-05T16:14:07.000Z,116
2015-04-05T16:14:14.000Z,114
2015-04-05T16:14:21.000Z,115
2015-04-05T16:14:28.000Z,115
2015-04-05T16:14:35.000Z,116
2015-04-05T16:14:42.000Z,114
2015-04-05T16:14:45.000Z,115
2015-04-05T16:14:51.000Z,114
2015-04-05T16:14:56.000Z,114
2015-04-05T16:15:02.000Z,115
2015-04-05T16:15:08.000Z,115
2015-04-05T16:15:15.000Z,114
2015-04-05T16:15:21.000Z,115
2015-04-05T16:15:24.000Z,116
2015-04-05T16:15:31.000Z,117
2015-04-05T16:15:38.000Z,117
2015-04-05T16:15:45.000Z,118
2015-04-05T16:15:52.000Z,118
2015-04-05T16:15:59.000Z,117
2015-04-05T16:16:06.000Z,117
2015-04-05T16:16:13.000Z,118
2015-04-05T16:16:20.000Z,119
2015-04-05T16:16:27.000Z,118
2015-04-05T16:16:30.000Z,117
2015-04-05T16:16:37.000Z,118
2015-04-05T16:16:43.000Z,119
2015-04-05T16:16:47.000Z,118
2015-04-05T16:16:54.000Z,119
2015-04-05T16:17:01.000Z,119
2015-04-05T16:17:07.000Z,118
2015-04-05T16:17:14.000Z,119
2015-04-05T16:17:21.000Z,119
2015-04-05T16:17:28.000Z,120
2015-04-05T16:17:35.000Z,120
2015-04-05T16:17:39.000Z,121
2015-04-05T16:17:46.000Z,120
2015-04-05T16:17:53.000Z,119
2015-04-05T16:18:00.000Z,120
2015-04-05T16:18:07.000Z,119
2015-04-05T16:18:14.000Z,118
2015-04-05T16:18:17.000Z,118
2015-04-05T16:18:21.000Z,118
2015-04-05T16:18:23.000Z,119
2015-04-05T16:18:24.000Z,120
2015-04-05T16:18:29.000Z,123
2015-04-05T16:18:36.000Z,126
2015-04-05T16:18:43.000Z,126
2015-04-05T16:18:46.000Z,126
2015-04-05T16:18:53.000Z,125
2015-04-05T16:19:00.000Z,125
2015-04-05T16:19:07.000Z,125
2015-04-05T16:19:13.000Z,124
2015-04-05T16:19:19.000Z,124
2015-04-05T16:19:25.000Z,125
2015-04-05T16:19:29.000Z,126
2015-04-05T16:19:36.000Z,125
2015-04-05T16:19:43.000Z,124
2015-04-05T16:19:50.000Z,123
2015-04-05T16:19:57.000Z,121
2015-04-05T16:20:04.000Z,121
2015-04-05T16:20:11.000Z,120
2015-04-05T16:20:18.000Z,120
2015-04-05T16:20:25.000Z,119
2015-04-05T16:20:32.000Z,119
2015-04-05T16:20:36.000Z,119
2015-04-05T16:20:40.000Z,120
2015-04-05T16:20:47.000Z,121
2015-04-05T16:20:54.000Z,120
2015-04-05T16:21:01.000Z,118
2015-04-05T16:21:08.000Z,116
2015-04-05T16:21:15.000Z,118
2015-04-05T16:21:20.000Z,118
2015-04-05T16:21:27.000Z,119
2015-04-05T16:21:34.000Z,119
2015-04-05T16:21:41.000Z,117
2015-04-05T16:21:48.000Z,116
2015-04-05T16:21:55.000Z,116
2015-04-05T16:22:02.000Z,116
2015-04-05T16:22:09.000Z,117
2015-04-05T16:22:16.000Z,118
2015-04-05T16:22:22.000Z,118
2015-04-05T16:22:28.000Z,119
2015-04-05T16:22:35.000Z,118
2015-04-05T16:22:42.000Z,118
2015-04-05T16:22:49.000Z,118
2015-04-05T16:22:52.000Z,118
2015-04-05T16:22:59.000Z,119
2015-04-05T16:23:06.000Z,119
2015-04-05T16:23:13.000Z,119
2015-04-05T16:23:20.000Z,120
2015-04-05T16:23:27.000Z,119
2015-04-05T16:23:34.000Z,119
2015-04-05T16:23:41.000Z,120
2015-04-05T16:23:46.000Z,119
2015-04-05T16:23:53.000Z,119
2015-04-05T16:23:59.000Z,119
2015-04-05T16:24:05.000Z,119
2015-04-05T16:24:11.000Z,119
2015-04-05T16:24:18.000Z,118
2015-04-05T16:24:24.000Z,119
2015-04-05T16:24:31.000Z,120
2015-04-05T16:24:38.000Z,119
2015-04-05T16:24:45.000Z,120
2015-04-05T16:24:52.000Z,120
2015-04-05T16:24:59.000Z,120
2015-04-05T16:25:06.000Z,119
2015-04-05T16:25:13.000Z,116
2015-04-05T16:25:20.000Z,117
2015-04-05T16:25:27.000Z,118
2015-04-05T16:25:33.000Z,119
2015-04-05T16:25:37.000Z,120
2015-04-05T16:25:40.000Z,119
2015-04-05T16:25:47.000Z,117
2015-04-05T16:25:55.000Z,117
2015-04-05T16:25:56.000Z,117
2015-04-05T16:26:02.000Z,117
2015-04-05T16:26:06.000Z,117
2015-04-05T16:26:10.000Z,117
2015-04-05T16:26:11.000Z,117
2015-04-05T16:26:16.000Z,120
2015-04-05T16:26:23.000Z,120
2015-04-05T16:26:29.000Z,120
2015-04-05T16:26:36.000Z,121
2015-04-05T16:26:42.000Z,120
2015-04-05T16:26:43.000Z,121
2015-04-05T16:26:49.000Z,121
2015-04-05T16:26:50.000Z,121
2015-04-05T16:26:57.000Z,120
2015-04-05T16:27:04.000Z,119
2015-04-05T16:27:11.000Z,119
2015-04-05T16:27:18.000Z,119
2015-04-05T16:27:25.000Z,119
2015-04-05T16:27:32.000Z,119
2015-04-05T16:27:39.000Z,122
2015-04-05T16:27:46.000Z,122
2015-04-05T16:27:53.000Z,120
2015-04-05T16:28:00.000Z,119
2015-04-05T16:28:07.000Z,118
2015-04-05T16:28:14.000Z,117
2015-04-05T16:28:21.000Z,118
2015-04-05T16:28:28.000Z,116
2015-04-05T16:28:35.000Z,118
2015-04-05T16:28:42.000Z,119
2015-04-05T16:28:44.000Z,118
2015-04-05T16:28:51.000Z,118
2015-04-05T16:28:58.000Z,117
2015-04-05T16:29:05.000Z,118
2015-04-05T16:29:12.000Z,118
2015-04-05T16:29:19.000Z,118
2015-04-05T16:29:26.000Z,117
2015-04-05T16:29:33.000Z,117
2015-04-05T16:29:40.000Z,119
