Time,HR
00:00:00,127
00:00:10,127
00:00:20,149
00:00:30,156
00:00:40,158
00:00:50,165
00:01:00,169
00:01:10,170
00:01:20,163
00:01:30,156
00:01:40,161
00:01:50,167
00:02:00,171
00:02:10,174
00:02:20,174
00:02:30,167
00:02:40,157
00:02:50,150
00:03:00,146
00:03:10,157
00:03:20,165
00:03:30,170
00:03:40,174
00:03:50,176
00:04:00,176
00:04:10,173
00:04:20,166
00:04:30,156
00:04:40,149
00:04:50,142
00:05:00,142
00:05:10,153
00:05:20,162
00:05:30,167
00:05:40,173
00:05:50,175
00:06:00,177
00:06:10,177
00:06:20,175
00:06:30,171
00:06:40,163
00:06:50,155
00:07:00,149
00:07:10,144
00:07:20,140
00:07:30,141
00:07:40,152
00:07:50,160
00:08:00,166
00:08:10,171
00:08:20,174
00:08:30,176
00:08:40,177
00:08:50,178
00:09:00,178
00:09:10,175
00:09:20,170
00:09:30,162
00:09:40,155
00:09:50,149
00:10:00,146
00:10:10,143
00:10:20,141
00:10:30,146
00:10:40,157
00:10:50,164
00:11:00,168
00:11:10,171
00:11:20,173
00:11:30,175
00:11:40,176
00:11:50,177
00:12:00,176
00:12:10,174
00:12:20,168
00:12:30,161
00:12:40,154
00:12:50,149
00:13:00,142
00:13:10,140
00:13:20,138
00:13:30,147
00:13:40,157
00:13:50,163
00:14:00,167
00:14:10,171
00:14:20,174
00:14:30,175
00:14:40,176
00:14:50,175
00:15:00,169
00:15:10,161
00:15:20,153
00:15:30,148
00:15:40,143
00:15:50,142
00:16:00,149
00:16:10,157
00:16:20,164
00:16:30,168
00:16:40,172
00:16:50,174
00:17:00,175
00:17:10,172
00:17:20,167
00:17:30,161
00:17:40,155
00:17:50,152
00:18:00,155
00:18:10,164
00:18:20,170
00:18:30,173
00:18:40,175
00:18:50,174
00:19:00,170
00:19:10,165
00:19:20,158
00:19:30,162
00:19:40,168
00:19:50,173
00:20:00,176
00:20:10,173
00:20:20,170
00:20:30,170
00:20:40,173
00:20:50,172
