Time,HR
2015-01-31T16:33:21.000Z,147
2015-01-31T16:33:22.000Z,147
2015-01-31T16:33:24.000Z,151
2015-01-31T16:33:25.000Z,151
2015-01-31T16:33:26.000Z,153
2015-01-31T16:33:27.000Z,157
2015-01-31T16:33:29.000Z,160
2015-01-31T16:33:30.000Z,160
2015-01-31T16:33:33.000Z,160
2015-01-31T16:33:35.000Z,164
2015-01-31T16:33:37.000Z,164
2015-01-31T16:33:38.000Z,164
2015-01-31T16:33:44.000Z,165
2015-01-31T16:33:47.000Z,165
2015-01-31T16:33:53.000Z,165
2015-01-31T16:33:56.000Z,168
2015-01-31T16:33:58.000Z,168
2015-01-31T16:34:00.000Z,168
2015-01-31T16:34:01.000Z,168
2015-01-31T16:34:06.000Z,171
2015-01-31T16:34:11.000Z,171
2015-01-31T16:34:16.000Z,172
2015-01-31T16:34:19.000Z,171
2015-01-31T16:34:22.000Z,180
2015-01-31T16:34:23.000Z,181
2015-01-31T16:34:25.000Z,179
2015-01-31T16:34:28.000Z,178
2015-01-31T16:34:31.000Z,172
2015-01-31T16:34:32.000Z,170
2015-01-31T16:34:35.000Z,173
2015-01-31T16:34:36.000Z,173
2015-01-31T16:34:42.000Z,173
2015-01-31T16:34:45.000Z,173
2015-01-31T16:34:46.000Z,172
2015-01-31T16:34:49.000Z,172
2015-01-31T16:34:52.000Z,172
2015-01-31T16:34:54.000Z,172
2015-01-31T16:34:55.000Z,177
2015-01-31T16:34:56.000Z,191
2015-01-31T16:34:57.000Z,191
2015-01-31T16:34:58.000Z,203
2015-01-31T16:34:59.000Z,200
2015-01-31T16:35:00.000Z,200
2015-01-31T16:35:01.000Z,200
2015-01-31T16:35:02.000Z,197
2015-01-31T16:35:07.000Z,194
2015-01-31T16:35:09.000Z,187
2015-01-31T16:35:10.000Z,187
2015-01-31T16:35:11.000Z,187
2015-01-31T16:35:12.000Z,190
2015-01-31T16:35:16.000Z,190
2015-01-31T16:35:17.000Z,186
2015-01-31T16:35:18.000Z,178
2015-01-31T16:35:19.000Z,178
2015-01-31T16:35:20.000Z,178
2015-01-31T16:35:26.000Z,175
2015-01-31T16:35:27.000Z,175
2015-01-31T16:35:31.000Z,174
2015-01-31T16:35:32.000Z,174
2015-01-31T16:35:38.000Z,174
2015-01-31T16:35:40.000Z,179
2015-01-31T16:35:41.000Z,179
2015-01-31T16:35:43.000Z,175
2015-01-31T16:35:44.000Z,175
