Time,HR
2015-03-29T06:26:49.000Z,79
2015-03-29T06:26:50.000Z,80
2015-03-29T06:26:51.000Z,79
2015-03-29T06:26:54.000Z,79
2015-03-29T06:26:56.000Z,79
2015-03-29T06:27:01.000Z,81
2015-03-29T06:27:05.000Z,81
2015-03-29T06:27:11.000Z,86
2015-03-29T06:27:12.000Z,86
2015-03-29T06:27:13.000Z,86
2015-03-29T06:27:15.000Z,86
2015-03-29T06:27:18.000Z,86
2015-03-29T06:27:22.000Z,86
2015-03-29T06:27:23.000Z,86
2015-03-29T06:27:25.000Z,86
2015-03-29T06:27:30.000Z,89
2015-03-29T06:27:31.000Z,89
2015-03-29T06:27:34.000Z,89
2015-03-29T06:27:36.000Z,89
2015-03-29T06:27:41.000Z,89
2015-03-29T06:27:45.000Z,89
2015-03-29T06:27:46.000Z,89
2015-03-29T06:27:49.000Z,89
2015-03-29T06:27:51.000Z,89
2015-03-29T06:27:52.000Z,89
2015-03-29T06:27:53.000Z,98
2015-03-29T06:27:54.000Z,106
2015-03-29T06:27:55.000Z,111
2015-03-29T06:27:56.000Z,118
2015-03-29T06:27:57.000Z,121
2015-03-29T06:27:58.000Z,124
2015-03-29T06:27:59.000Z,124
2015-03-29T06:28:00.000Z,124
2015-03-29T06:28:01.000Z,124
2015-03-29T06:28:05.000Z,124
2015-03-29T06:28:06.000Z,124
2015-03-29T06:34:51.000Z,79
2015-03-29T06:34:52.000Z,80
2015-03-29T06:34:53.000Z,81
2015-03-29T06:34:55.000Z,84
2015-03-29T06:34:56.000Z,87
2015-03-29T06:34:58.000Z,90
2015-03-29T06:34:59.000Z,91
2015-03-29T06:35:03.000Z,97
2015-03-29T06:35:04.000Z,100
2015-03-29T06:35:07.000Z,101
2015-03-29T06:35:09.000Z,107
2015-03-29T06:35:10.000Z,110
2015-03-29T06:35:12.000Z,113
2015-03-29T06:35:13.000Z,115
2015-03-29T06:35:17.000Z,116
2015-03-29T06:35:18.000Z,116
2015-03-29T06:35:20.000Z,115
2015-03-29T06:35:22.000Z,113
2015-03-29T06:35:23.000Z,112
