Time,HR
2015-04-11T07:36:08.000Z,124
2015-04-11T07:36:09.000Z,124
2015-04-11T07:36:13.000Z,125
2015-04-11T07:36:19.000Z,126
2015-04-11T07:36:25.000Z,127
2015-04-11T07:36:30.000Z,127
2015-04-11T07:36:36.000Z,128
2015-04-11T07:36:42.000Z,130
2015-04-11T07:36:47.000Z,130
2015-04-11T07:36:52.000Z,131
2015-04-11T07:36:58.000Z,131
2015-04-11T07:37:03.000Z,132
2015-04-11T07:37:08.000Z,132
2015-04-11T07:37:13.000Z,132
2015-04-11T07:37:18.000Z,133
2015-04-11T07:37:23.000Z,133
2015-04-11T07:37:28.000Z,133
2015-04-11T07:37:33.000Z,134
2015-04-11T07:37:38.000Z,134
2015-04-11T07:37:43.000Z,134
2015-04-11T07:37:48.000Z,134
2015-04-11T07:37:53.000Z,134
2015-04-11T07:37:58.000Z,133
2015-04-11T07:38:03.000Z,135
2015-04-11T07:38:09.000Z,134
2015-04-11T07:38:15.000Z,134
2015-04-11T07:38:20.000Z,133
2015-04-11T07:38:25.000Z,133
2015-04-11T07:38:30.000Z,134
2015-04-11T07:38:35.000Z,134
2015-04-11T07:38:41.000Z,134
2015-04-11T07:38:47.000Z,134
2015-04-11T07:38:52.000Z,133
2015-04-11T07:38:56.000Z,133
2015-04-11T07:39:02.000Z,132
2015-04-11T07:39:03.000Z,132
2015-04-11T07:39:09.000Z,133
2015-04-11T07:39:15.000Z,133
2015-04-11T07:39:20.000Z,133
2015-04-11T07:39:26.000Z,134
2015-04-11T07:39:31.000Z,134
2015-04-11T07:39:37.000Z,134
2015-04-11T07:39:43.000Z,135
2015-04-11T07:39:49.000Z,136
2015-04-11T07:39:55.000Z,136
2015-04-11T07:40:00.000Z,138
2015-04-11T07:40:05.000Z,137
2015-04-11T07:40:10.000Z,136
2015-04-11T07:40:15.000Z,136
2015-04-11T07:40:20.000Z,137
2015-04-11T07:40:25.000Z,137
2015-04-11T07:40:31.000Z,138
2015-04-11T07:40:37.000Z,138
2015-04-11T07:40:42.000Z,139
2015-04-11T07:40:47.000Z,138
2015-04-11T07:40:52.000Z,138
2015-04-11T07:40:55.000Z,138
2015-04-11T07:41:01.000Z,136
2015-04-11T07:41:06.000Z,137
2015-04-11T07:41:11.000Z,137
2015-04-11T07:41:17.000Z,137
2015-04-11T07:41:22.000Z,137
2015-04-11T07:41:28.000Z,136
2015-04-11T07:41:33.000Z,136
2015-04-11T07:41:38.000Z,134
2015-04-11T07:41:43.000Z,132
2015-04-11T07:41:48.000Z,132
2015-04-11T07:41:53.000Z,134
2015-04-11T07:41:58.000Z,136
2015-04-11T07:42:03.000Z,137
2015-04-11T07:42:08.000Z,138
2015-04-11T07:42:13.000Z,138
2015-04-11T07:42:18.000Z,140
2015-04-11T07:42:24.000Z,139
2015-04-11T07:42:26.000Z,139
2015-04-11T07:42:33.000Z,138
2015-04-11T07:42:36.000Z,138
2015-04-11T07:42:41.000Z,138
2015-04-11T07:42:46.000Z,138
2015-04-11T07:42:51.000Z,138
2015-04-11T07:42:54.000Z,138
2015-04-11T07:42:58.000Z,137
2015-04-11T07:43:03.000Z,136
2015-04-11T07:43:08.000Z,136
2015-04-11T07:43:13.000Z,136
2015-04-11T07:43:19.000Z,136
2015-04-11T07:43:25.000Z,136
2015-04-11T07:43:30.000Z,136
2015-04-11T07:43:35.000Z,137
2015-04-11T07:43:40.000Z,137
2015-04-11T07:43:45.000Z,137
2015-04-11T07:43:50.000Z,138
2015-04-11T07:43:56.000Z,139
2015-04-11T07:44:02.000Z,139
2015-04-11T07:44:07.000Z,139
2015-04-11T07:44:12.000Z,139
2015-04-11T07:44:17.000Z,139
2015-04-11T07:44:23.000Z,140
2015-04-11T07:44:28.000Z,141
2015-04-11T07:44:33.000Z,141
2015-04-11T07:44:38.000Z,141
2015-04-11T07:44:43.000Z,142
2015-04-11T07:44:46.000Z,141
2015-04-11T07:44:51.000Z,141
2015-04-11T07:44:56.000Z,141
2015-04-11T07:45:01.000Z,141
2015-04-11T07:45:07.000Z,141
2015-04-11T07:45:12.000Z,140
2015-04-11T07:45:18.000Z,139
2015-04-11T07:45:23.000Z,139
2015-04-11T07:45:24.000Z,138
2015-04-11T07:45:29.000Z,138
2015-04-11T07:45:35.000Z,137
2015-04-11T07:45:41.000Z,137
2015-04-11T07:45:47.000Z,138
2015-04-11T07:45:53.000Z,139
2015-04-11T07:45:58.000Z,138
2015-04-11T07:46:03.000Z,138
2015-04-11T07:46:09.000Z,139
2015-04-11T07:46:15.000Z,138
2015-04-11T07:46:20.000Z,138
2015-04-11T07:46:25.000Z,138
2015-04-11T07:46:30.000Z,138
2015-04-11T07:46:36.000Z,138
2015-04-11T07:46:41.000Z,137
2015-04-11T07:46:47.000Z,137
2015-04-11T07:46:53.000Z,136
2015-04-11T07:46:58.000Z,137
2015-04-11T07:47:03.000Z,137
2015-04-11T07:47:08.000Z,137
2015-04-11T07:47:13.000Z,137
2015-04-11T07:47:19.000Z,137
2015-04-11T07:47:24.000Z,138
2015-04-11T07:47:29.000Z,139
2015-04-11T07:47:34.000Z,139
2015-04-11T07:47:39.000Z,139
2015-04-11T07:47:44.000Z,139
2015-04-11T07:47:49.000Z,139
2015-04-11T07:47:54.000Z,139
2015-04-11T07:47:59.000Z,139
2015-04-11T07:48:04.000Z,140
2015-04-11T07:48:09.000Z,140
2015-04-11T07:48:14.000Z,140
2015-04-11T07:48:19.000Z,140
2015-04-11T07:48:24.000Z,140
2015-04-11T07:48:29.000Z,141
2015-04-11T07:48:35.000Z,141
2015-04-11T07:48:41.000Z,141
2015-04-11T07:48:47.000Z,141
2015-04-11T07:48:52.000Z,140
2015-04-11T07:48:57.000Z,140
2015-04-11T07:49:02.000Z,141
2015-04-11T07:49:08.000Z,140
2015-04-11T07:49:13.000Z,141
2015-04-11T07:49:19.000Z,141
2015-04-11T07:49:25.000Z,140
2015-04-11T07:49:31.000Z,138
2015-04-11T07:49:36.000Z,136
2015-04-11T07:49:41.000Z,137
2015-04-11T07:49:46.000Z,139
2015-04-11T07:49:51.000Z,140
2015-04-11T07:49:56.000Z,140
2015-04-11T07:50:01.000Z,141
2015-04-11T07:50:07.000Z,141
2015-04-11T07:50:12.000Z,140
2015-04-11T07:50:17.000Z,140
2015-04-11T07:50:22.000Z,140
2015-04-11T07:50:27.000Z,140
2015-04-11T07:50:32.000Z,141
2015-04-11T07:50:37.000Z,141
2015-04-11T07:50:42.000Z,141
2015-04-11T07:50:47.000Z,141
2015-04-11T07:50:52.000Z,142
2015-04-11T07:50:57.000Z,141
2015-04-11T07:51:03.000Z,140
2015-04-11T07:51:04.000Z,141
2015-04-11T07:51:08.000Z,141
2015-04-11T07:51:12.000Z,140
2015-04-11T07:51:13.000Z,140
2015-04-11T07:51:18.000Z,140
2015-04-11T07:51:23.000Z,139
2015-04-11T07:51:24.000Z,139
2015-04-11T07:51:26.000Z,140
2015-04-11T07:51:30.000Z,139
2015-04-11T07:51:35.000Z,138
2015-04-11T07:51:40.000Z,138
