Time,HR
00:00:00,78
00:00:10,76
00:00:20,71
00:00:30,76
00:00:40,87
00:00:50,90
00:01:00,90
00:01:10,91
00:01:20,86
00:01:30,88
00:01:40,95
00:01:50,96
00:02:00,96
00:02:10,97
00:02:20,120
00:02:30,121
00:02:40,129
00:02:50,134
00:03:00,138
00:03:10,133
00:03:20,138
00:03:30,140
00:03:40,143
00:03:50,144
00:04:00,142
00:04:10,144
00:04:20,146
00:04:30,146
00:04:40,145
00:04:50,143
00:05:00,141
00:05:10,145
00:05:20,142
00:05:30,141
00:05:40,140
00:05:50,142
00:06:00,143
00:06:10,140
00:06:20,141
00:06:30,143
00:06:40,142
00:06:50,140
00:07:00,146
00:07:10,147
00:07:20,148
00:07:30,149
00:07:40,152
00:07:50,150
00:08:00,153
00:08:10,149
00:08:20,143
00:08:30,144
00:08:40,148
00:08:50,147
00:09:00,153
00:09:10,152
00:09:20,150
00:09:30,150
00:09:40,151
00:09:50,150
00:10:00,150
00:10:10,153
00:10:20,155
00:10:30,157
00:10:40,163
00:10:50,166
00:11:00,167
00:11:10,169
00:11:20,171
00:11:30,169
00:11:40,168
00:11:50,168
00:12:00,169
00:12:10,168
00:12:20,164
00:12:30,158
00:12:40,152
00:12:50,147
00:13:00,148
00:13:10,150
00:13:20,150
00:13:30,150
00:13:40,148
00:13:50,153
00:14:00,155
00:14:10,157
00:14:20,157
00:14:30,157
00:14:40,158
00:14:50,157
00:15:00,156
00:15:10,158
00:15:20,162
00:15:30,158
00:15:40,159
00:15:50,159
00:16:00,160
00:16:10,160
00:16:20,158
00:16:30,156
00:16:40,156
00:16:50,160
00:17:00,160
00:17:10,163
00:17:20,164
00:17:30,161
00:17:40,156
00:17:50,161
00:18:00,160
00:18:10,158
00:18:20,158
00:18:30,155
00:18:40,155
00:18:50,159
00:19:00,163
00:19:10,160
00:19:20,160
00:19:30,160
00:19:40,158
00:19:50,160
00:20:00,161
00:20:10,160
00:20:20,159
00:20:30,158
00:20:40,158
00:20:50,161
00:21:00,161
00:21:10,158
00:21:20,157
00:21:30,158
00:21:40,159
00:21:50,160
00:22:00,160
00:22:10,161
00:22:20,161
00:22:30,160
00:22:40,154
00:22:50,152
00:23:00,149
00:23:10,144
00:23:20,145
00:23:30,142
00:23:40,144
00:23:50,146
00:24:00,154
00:24:10,149
00:24:20,144
00:24:30,146
00:24:40,145
00:24:50,145
00:25:00,144
00:25:10,144
00:25:20,143
00:25:30,150
00:25:40,153
00:25:50,149
00:26:00,148
00:26:10,146
00:26:20,146
00:26:30,146
00:26:40,148
00:26:50,153
00:27:00,154
00:27:10,151
00:27:20,155
00:27:30,158
00:27:40,160
00:27:50,163
00:28:00,163
00:28:10,166
00:28:20,165
00:28:30,167
00:28:40,171
00:28:50,172
00:29:00,169
00:29:10,167
00:29:20,163
00:29:30,161
00:29:40,161
00:29:50,164
00:30:00,165
00:30:10,167
00:30:20,166
00:30:30,161
00:30:40,159
00:30:50,160
00:31:00,161
00:31:10,157
00:31:20,156
00:31:30,157
00:31:40,159
00:31:50,162
00:32:00,165
00:32:10,166
00:32:20,168
00:32:30,172
00:32:40,172
00:32:50,170
00:33:00,129
00:33:10,95
00:33:20,84
00:33:30,123
00:33:40,173
00:33:50,178
00:34:00,176
00:34:10,178
00:34:20,179
00:34:30,180
00:34:40,181
00:34:50,182
00:35:00,180
00:35:10,180
00:35:20,180
00:35:30,180
00:35:40,180
00:35:50,179
00:36:00,178
00:36:10,176
00:36:20,174
00:36:30,170
00:36:40,167
00:36:50,169
00:37:00,167
00:37:10,165
00:37:20,164
00:37:30,161
