Time,HR
00:00:00,71
00:00:01,71
00:00:02,71
00:00:03,75
00:00:04,80
00:00:05,82
00:00:06,85
00:00:07,89
00:00:08,90
00:00:09,94
00:00:10,97
00:00:11,100
00:00:12,103
00:00:13,105
00:00:14,107
00:00:15,109
00:00:16,110
00:00:17,112
00:00:18,114
00:00:19,115
00:00:20,116
00:00:21,116
00:00:22,117
00:00:23,117
00:00:24,117
00:00:25,117
00:00:26,117
00:00:27,117
00:00:28,117
00:00:29,117
00:00:30,118
00:00:31,118
00:00:32,118
00:00:33,119
00:00:34,118
00:00:35,119
00:00:36,119
00:00:37,119
00:00:38,118
00:00:39,119
00:00:40,119
00:00:41,120
00:00:42,121
00:00:43,122
00:00:44,123
00:00:45,124
00:00:46,124
00:00:47,125
00:00:48,125
00:00:49,125
00:00:50,125
00:00:51,125
00:00:52,126
00:00:53,126
00:00:54,126
00:00:55,126
00:00:56,126
00:00:57,127
00:00:58,128
00:00:59,129
00:01:00,129
00:01:01,130
00:01:02,130
00:01:03,131
00:01:04,132
00:01:05,133
00:01:06,133
00:01:07,134
00:01:08,134
00:01:09,134
00:01:10,134
00:01:11,134
00:01:12,135
00:01:13,135
00:01:14,135
00:01:15,135
00:01:16,136
00:01:17,135
00:01:18,136
00:01:19,136
00:01:20,136
00:01:21,136
00:01:22,136
00:01:23,136
00:01:24,136
00:01:25,135
00:01:26,136
00:01:27,135
00:01:28,135
00:01:29,134
00:01:30,134
00:01:31,134
00:01:32,133
00:01:33,133
00:01:34,132
00:01:35,131
00:01:36,131
00:01:37,131
00:01:38,130
00:01:39,131
00:01:40,131
00:01:41,131
00:01:42,132
00:01:43,132
00:01:44,132
00:01:45,131
00:01:46,130
00:01:47,129
00:01:48,128
00:01:49,127
00:01:50,127
00:01:51,127
00:01:52,128
00:01:53,128
00:01:54,128
00:01:55,127
00:01:56,127
00:01:57,126
00:01:58,126
00:01:59,125
00:02:00,124
00:02:01,125
00:02:02,125
00:02:03,125
00:02:04,126
00:02:05,127
00:02:06,128
00:02:07,128
00:02:08,129
00:02:09,129
00:02:10,128
00:02:11,128
00:02:12,127
00:02:13,127
00:02:14,127
00:02:15,126
00:02:16,125
00:02:17,125
00:02:18,125
00:02:19,126
00:02:20,126
00:02:21,126
00:02:22,125
00:02:23,124
00:02:24,124
00:02:25,123
00:02:26,123
00:02:27,123
00:02:28,124
00:02:29,123
00:02:30,124
00:02:31,123
00:02:32,123
00:02:33,122
00:02:34,122
00:02:35,122
00:02:36,121
00:02:37,120
00:02:38,119
00:02:39,118
00:02:40,118
00:02:41,117
00:02:42,117
00:02:43,117
00:02:44,116
00:02:45,115
00:02:46,115
00:02:47,114
00:02:48,114
00:02:49,114
00:02:50,115
00:02:51,115
00:02:52,116
00:02:53,116
00:02:54,117
00:02:55,117
00:02:56,118
00:02:57,118
00:02:58,119
00:02:59,118
00:03:00,118
00:03:01,118
00:03:02,117
00:03:03,117
00:03:04,117
00:03:05,117
00:03:06,118
00:03:07,119
00:03:08,119
00:03:09,119
00:03:10,119
00:03:11,119
00:03:12,118
00:03:13,118
00:03:14,118
00:03:15,119
00:03:16,119
00:03:17,119
00:03:18,119
00:03:19,119
00:03:20,120
00:03:21,121
00:03:22,121
00:03:23,122
00:03:24,122
00:03:25,122
00:03:26,122
00:03:27,122
00:03:28,122
00:03:29,122
00:03:30,122
00:03:31,122
00:03:32,122
00:03:33,123
00:03:34,123
00:03:35,123
00:03:36,123
00:03:37,123
00:03:38,123
00:03:39,124
00:03:40,124
00:03:41,125
00:03:42,125
00:03:43,126
00:03:44,126
00:03:45,127
00:03:46,127
00:03:47,128
00:03:48,129
00:03:49,129
00:03:50,130
00:03:51,130
00:03:52,130
00:03:53,131
00:03:54,131
00:03:55,131
00:03:56,131
00:03:57,131
00:03:58,132
00:03:59,133
00:04:00,133
00:04:01,133
00:04:02,133
00:04:03,132
00:04:04,131
00:04:05,130
00:04:06,129
00:04:07,129
00:04:08,128
00:04:09,128
00:04:10,128
00:04:11,128
00:04:12,129
00:04:13,130
00:04:14,131
00:04:15,131
00:04:16,132
00:04:17,132
00:04:18,133
00:04:19,133
00:04:20,134
00:04:21,134
00:04:22,134
00:04:23,135
00:04:24,135
00:04:25,135
00:04:26,135
00:04:27,136
00:04:28,135
00:04:29,136
00:04:30,136
00:04:31,135
00:04:32,133
00:04:33,130
00:04:34,130
00:04:35,129
00:04:36,129
00:04:37,129
00:04:38,130
00:04:39,129
00:04:40,130
00:04:41,130
00:04:42,130
00:04:43,130
00:04:44,130
00:04:45,129
00:04:46,130
00:04:47,130
00:04:48,130
00:04:49,131
00:04:50,131
00:04:51,131
00:04:52,130
00:04:53,130
00:04:54,130
00:04:55,129
00:04:56,129
00:04:57,129
00:04:58,130
00:04:59,130
00:05:00,131
00:05:01,131
00:05:02,132
00:05:03,132
00:05:04,131
00:05:05,131
00:05:06,130
00:05:07,130
00:05:08,130
00:05:09,129
00:05:10,129
00:05:11,128
00:05:12,128
00:05:13,127
00:05:14,127
00:05:15,127
00:05:16,126
00:05:17,125
00:05:18,125
00:05:19,124
00:05:20,124
00:05:21,124
00:05:22,124
00:05:23,125
00:05:24,125
00:05:25,125
00:05:26,125
00:05:27,124
00:05:28,125
00:05:29,125
00:05:30,126
00:05:31,127
00:05:32,128
00:05:33,128
00:05:34,128
00:05:35,128
00:05:36,128
00:05:37,129
00:05:38,129
00:05:39,129
00:05:40,129
00:05:41,130
00:05:42,130
00:05:43,130
00:05:44,130
00:05:45,131
00:05:46,131
00:05:47,132
00:05:48,132
00:05:49,131
00:05:50,131
00:05:51,131
00:05:52,131
00:05:53,131
00:05:54,130
00:05:55,129
00:05:56,129
00:05:57,128
00:05:58,128
00:05:59,127
00:06:00,127
00:06:01,127
00:06:02,127
00:06:03,126
00:06:04,126
00:06:05,126
00:06:06,125
00:06:07,125
00:06:08,125
00:06:09,125
00:06:10,126
00:06:11,126
00:06:12,127
00:06:13,127
00:06:14,128
00:06:15,128
00:06:16,128
00:06:17,128
00:06:18,127
00:06:19,127
00:06:20,127
00:06:21,127
00:06:22,127
00:06:23,127
00:06:24,128
00:06:25,128
00:06:26,128
00:06:27,128
00:06:28,128
00:06:29,128
00:06:30,128
00:06:31,128
00:06:32,128
00:06:33,129
00:06:34,129
00:06:35,130
00:06:36,130
00:06:37,129
00:06:38,129
00:06:39,129
00:06:40,130
00:06:41,129
00:06:42,130
00:06:43,130
00:06:44,131
00:06:45,131
00:06:46,131
00:06:47,130
00:06:48,130
00:06:49,129
00:06:50,129
00:06:51,129
00:06:52,129
00:06:53,129
00:06:54,129
00:06:55,129
00:06:56,130
00:06:57,130
00:06:58,130
00:06:59,130
00:07:00,130
00:07:01,131
00:07:02,132
00:07:03,132
00:07:04,132
00:07:05,132
00:07:06,132
00:07:07,132
00:07:08,133
00:07:09,133
00:07:10,133
00:07:11,134
00:07:12,135
00:07:13,136
00:07:14,136
00:07:15,136
00:07:16,137
00:07:17,137
00:07:18,138
00:07:19,138
00:07:20,138
00:07:21,139
00:07:22,139
00:07:23,140
00:07:24,140
00:07:25,140
00:07:26,141
00:07:27,140
00:07:28,140
00:07:29,139
00:07:30,138
00:07:31,138
00:07:32,138
00:07:33,137
00:07:34,137
00:07:35,136
00:07:36,136
00:07:37,136
00:07:38,136
00:07:39,137
00:07:40,136
00:07:41,135
00:07:42,135
00:07:43,134
00:07:44,134
00:07:45,133
00:07:46,133
00:07:47,133
00:07:48,133
00:07:49,132
00:07:50,132
00:07:51,131
00:07:52,131
00:07:53,131
00:07:54,130
00:07:55,130
00:07:56,130
00:07:57,129
00:07:58,130
00:07:59,130
00:08:00,129
00:08:01,130
00:08:02,130
00:08:03,130
00:08:04,131
00:08:05,131
00:08:06,131
00:08:07,131
00:08:08,131
00:08:09,132
00:08:10,132
00:08:11,132
00:08:12,132
00:08:13,132
00:08:14,132
00:08:15,131
00:08:16,131
00:08:17,131
00:08:18,131
00:08:19,131
00:08:20,132
00:08:21,131
00:08:22,132
00:08:23,132
00:08:24,132
00:08:25,132
00:08:26,132
00:08:27,131
00:08:28,131
00:08:29,131
00:08:30,130
00:08:31,130
00:08:32,131
00:08:33,131
00:08:34,131
00:08:35,132
00:08:36,132
00:08:37,133
00:08:38,133
00:08:39,133
00:08:40,133
00:08:41,133
00:08:42,133
00:08:43,133
00:08:44,133
00:08:45,133
00:08:46,133
00:08:47,134
00:08:48,134
00:08:49,135
00:08:50,136
00:08:51,137
00:08:52,138
00:08:53,138
00:08:54,138
00:08:55,138
00:08:56,138
00:08:57,137
00:08:58,137
00:08:59,137
00:09:00,136
00:09:01,134
00:09:02,132
00:09:03,131
00:09:04,129
00:09:05,127
00:09:06,125
00:09:07,123
00:09:08,120
00:09:09,119
00:09:10,118
00:09:11,117
00:09:12,116
00:09:13,115
00:09:14,115
00:09:15,114
